nameWithOwner;tag;typeRelease;isFirstRow(bool);isNotaMax(bool);isLOCchanged(bool);isMetricChanged(bool);qtDias;qtDiasChangedRel;porcValF(%);deltaLOC(qtd);deltaSLOC(qtd);deltaMIF;deltaMIT;deltaDiff;deltaEff;deltaTimeH;deltaBug;deltaFiles(qtd);totalFiles(qtd)
10se1ucgo/DisableWinTracking;v3.0.1;VR;0;0;1;1;37;37;100;85;57;-3,261;-1,118;0,511;174,084;9,6713;0,007;0;3
10se1ucgo/DisableWinTracking;v3.1.0;VR;0;0;1;1;369;369;66,7;-425;-336;5,954;5,276;-0,5714;-241,3624;-13,409;-0,02279;0;3
10se1ucgo/DisableWinTracking;v3.2.0;VR;0;0;1;1;0;262;33,3;-289;-189;7,17;5,705;-0,7857;-342,2032;-19,0113;-0,02787;0;3
10se1ucgo/DisableWinTracking;3.2.3;VR;0;0;1;1;371;378;66,7;508;332;-13,665;-9,879;2,1089;1990,16;110,5644;0,1015;0;3
1adrianb/face-alignment;v1.0.1;VR;0;0;1;1;68;344;65;-55;-39;0;3,941;0;0;0;0;0;20
a1studmuffin/SpaceshipGenerator;v1.1.2;VR;0;0;1;1;152;154;100;1;1;-0,067;-0,067;0;0;0;0;0;3
achael/eht-imaging;v1.1.0;VR;0;0;1;1;54;79;84,3;1246;744;-1,431;-0,096;0,1189;24,2029;1,3446;0,00095;4;70
achael/eht-imaging;v1.2;VR;0;0;1;1;409;420;85,3;893;667;0,359;0,096;-0,3152;-115,2295;-6,4016;-0,01153;5;75
ActivityWatch/activitywatch;v0.7.0b1;VR;0;0;1;1;299;341;100;73;43;-9,879;-9,879;1,2;38,0391;2,1133;0,00528;1;2
ActivityWatch/activitywatch;v0.7.0b2;VR;0;0;1;1;56;56;100;138;87;-5,104;-5,104;0,6;15,1597;0,8422;0,00421;2;4
ActivityWatch/activitywatch;v0.7.1;VR;0;0;1;1;15;89;100;-341;-56;-9,914;-9,914;0,6;22,8794;1,2711;0,00107;-1;3
ActivityWatch/activitywatch;v0.8.0b1;VR;0;0;1;1;182;182;100;7;7;-8,496;-8,496;-0,1143;26,7163;1,4842;0,00442;0;3
ActivityWatch/activitywatch;v0.9.0;VR;0;0;1;1;99;681;100;140;72;6,426;6,426;-0,3929;-30,0003;-1,6667;-0,00274;1;4
ageitgey/face_recognition;v1.2.2;VR;0;0;1;1;354;354;33,3;592;337;1,591;-4,161;0,5879;377,3007;20,9612;0,04269;10;24
aio-libs/aiohttp;v0.10.0;VR;0;0;1;1;14;28;85,4;2741;1983;0,82;-0,333;-0,2009;-58,1139;-3,2285;-0,01353;9;48
aio-libs/aiohttp;v0.12.0;VR;0;0;1;1;13;29;83,3;-1056;-697;-0,327;0,051;0;-8,2738;-0,4597;-0,00203;0;48
aio-libs/aiohttp;v0.13.0;VR;0;0;1;1;17;17;83,7;274;220;0,327;0,351;0;-2,0112;-0,1117;-0,00028;1;49
aio-libs/aiohttp;v0.14.1;VR;0;0;1;1;15;17;81,8;1268;969;0,889;1,566;0;4,0224;0,2235;0,00056;6;55
aio-libs/aiohttp;v0.14.3;VR;0;0;1;1;5;13;82,1;63;47;0;2,676;-0,15;-3,2173;-0,1787;-0,00028;1;56
aio-libs/aiohttp;v0.15.0;VR;0;0;1;1;57;58;83,1;2893;2090;-0,558;-4,355;0,15;6,3486;0,3527;0,00084;9;65
