nameWithOwner,totalLoc,totalSloc,cc,miMultiFalse,miMultiTrue,difficulty,effort,timeHas,bugs
aliyun/aliyun-odps-python-sdk,57605.0,38798.0,2.0,59.61211287486044,60.22708977574921,3.1578947368421053,502.8258640410065,27.93477022450036,0.04907467994689246
anymail/django-anymail,12330.0,8713.0,1.0,62.32510950472562,63.987303531739876,1.5,54.77433396175722,3.0430185534309566,0.012684582601670092
Azure/batch-shipyard,10274.0,7070.0,3.0,53.5103133061881,55.76903283083292,5.806924882629108,2844.0336651608327,158.00187028671292,0.1760947179499
chartbeat-labs/textacy,11417.0,6352.0,2.0,50.963133524363826,59.23137970050409,2.5,207.27272727272725,11.515151515151514,0.032
DeepSpace2/StyleFrame,940.0,646.0,2.0,67.31618632323855,71.37495905587855,1.5681818181818183,470.79081168632655,26.155045093684805,0.03747638657517035
e2nIEE/pandapower,31741.5,19649.5,4.0,57.42080718295206,59.94370916297032,4.065001212709192,2166.3962729565774,120.35534849758764,0.18071149425594912
Ericsson/codechecker,16514.0,10669.0,2.0,65.04591149044754,69.25400360140924,1.575,126.37439964780638,7.020799980433688,0.028268854589677907
espressif/esptool,6331.5,4140.5,2.0,45.460790917578,47.41074633860831,7.453333333333333,4192.823042768098,232.93461348711656,0.28206184734716205
flasgger/flasgger,3690.0,2021.0,1.0,65.39867286519335,80.17883259718612,1.0,27.0,1.5,0.009
holoviz/datashader,8569.0,5823.5,2.0,49.58341726316287,51.76263943672865,4.791267942583732,1585.2478718770938,88.0693262153941,0.11894881433734185
ibm-watson-iot/iot-python,3508.0,2284.0,1.0,52.9547554365122,54.57965806138386,4.0,2383.231491862991,132.40174954794395,0.18774913834449422
jantman/awslimitchecker,21826.0,15055.0,3.0,45.525409056857626,60.32714282245081,3.380952380952381,1515.1286756519296,84.1738153139961,0.13966825308680547
Kinto/kinto,24447.0,17933.0,1.0,57.77678923109415,63.519884815951414,1.1111111111111112,42.793987519471216,2.377443751081734,0.011229419688230418
kozec/sc-controller,18988.0,12512.0,2.0,54.515139776482236,63.30096443410277,3.3473360655737707,513.3520987872677,28.51956104373709,0.054178322214038455
litl/backoff,1869.0,1261.0,2.0,69.11541398525509,69.11541398525509,2.513888888888889,202.44700019311992,11.24705556628444,0.024563313775452747
micahflee/onionshare,3933.5,2113.0,2.0,65.9809245997919,74.51866016011451,1.5,81.02039569498656,4.501133094165921,0.015860347675396843
nabla-c0d3/sslyze,3712.5,2316.0,3.0,63.420601304806624,69.79865510759281,2.9166666666666665,258.214586627774,14.345254812654112,0.03196942501105773
neovim/pynvim,2579.0,1577.0,1.0,59.55665153958236,67.64648285141796,1.3333333333333333,41.79470570797252,2.321928094887362,0.012
PSLmodels/Tax-Calculator,19756.0,12839.5,3.0,59.44881491779556,62.662750676852184,3.109126984126984,906.0818950921614,50.33788306067564,0.08083308753677898
pyexcel/pyexcel,12816.0,7886.5,2.0,52.50911122978427,63.934730393054465,1.0,42.793987519471216,2.377443751081734,0.01850219859070546
pypa/auditwheel,2047.5,1239.5,3.0,66.16565797932873,71.54180565117835,2.4583333333333335,120.73017907229308,6.707232170682949,0.019425331974597636
samuelcolvin/arq,3570.0,2471.0,2.0,59.91867175011985,64.19020649586518,1.5,74.00879436282185,4.1115996868234355,0.024669598120940616
tensorflow/magenta,60369.0,37475.5,2.0,63.95951822075016,66.47615499883736,3.7029411764705884,492.8631357553956,27.3812853197442,0.049830084413718494
tensorlayer/tensorlayer,28051.5,12949.5,2.0,63.798428996260576,64.45083068011301,3.34375,725.3816729785267,40.29898183214038,0.059733637634784266
tqdm/tqdm,3291.5,2018.0,3.0,61.49329210638399,64.19952708918565,2.888888888888889,252.5448208897608,14.030267827208935,0.03367141005954359
