nameWithOwner,url,tagName,publishedAt,totalLoc,totalSloc,validFiles,invalidFiles,filesNotRead,filesNoMetric,cc,ccRank,miMultiFalse,miMultiFalseRank,miMultiTrue,miMultiTrueRank,difficulty,effort,timeHas,bugs
IDSIA/sacred,https://github.com/IDSIA/sacred.git,9,2014-03-31,17803,12220,97,0,2,16,2,A,52.941272034210996,A,61.544859401009845,A,2.0,416.91453522105803,23.16191862339211,0.06243204266092216
IDSIA/sacred,https://github.com/IDSIA/sacred.git,0.6.8,2016-01-13,7043,4604,59,0,0,9,2,A,62.691061129720396,A,66.34236484564359,A,1.5949367088607596,250.19550008653874,13.899750004807707,0.04169925001442312
IDSIA/sacred,https://github.com/IDSIA/sacred.git,0.6.10,2016-08-08,7334,4783,60,0,0,9,2,A,62.63799106499543,A,68.67620620818576,A,1.5915860014892034,215.09775004326937,11.949875002403854,0.03752932501298081
IDSIA/sacred,https://github.com/IDSIA/sacred.git,0.7.0,2017-05-07,11785,7848,76,0,0,12,2,A,55.62483734599396,A,62.602045689759564,A,1.9375,401.98445898494106,22.332469943607837,0.063258944233925
IDSIA/sacred,https://github.com/IDSIA/sacred.git,0.7.1,2018-05-06,12898,8459,82,0,1,15,2,A,56.58587165023468,A,60.78267935679586,A,2.0,600.3882848097697,33.35490471165387,0.07682851878746853
IDSIA/sacred,https://github.com/IDSIA/sacred.git,0.7.2,2018-05-06,13121,8634,82,0,1,15,2,A,56.58587165023468,A,60.04265298874309,A,2.0,600.3882848097697,33.35490471165387,0.07682851878746853
IDSIA/sacred,https://github.com/IDSIA/sacred.git,0.7.3,2018-05-06,13336,8820,83,0,2,15,2,A,58.08626270113954,A,61.66393941952565,A,2.0,593.3103819500678,32.96168788611488,0.07101014711554522
IDSIA/sacred,https://github.com/IDSIA/sacred.git,0.7.4,2018-06-12,13507,8924,83,0,2,15,2,A,58.08626270113954,A,61.66393941952565,A,2.0,593.3103819500678,32.96168788611488,0.07101014711554522
IDSIA/sacred,https://github.com/IDSIA/sacred.git,0.7.5,2019-06-20,15542,10321,91,0,2,16,2,A,54.94853708573296,A,62.028173911326626,A,2.0,421.05238964955953,23.39179942497553,0.06498346252956741
IDSIA/sacred,https://github.com/IDSIA/sacred.git,0.8.0,2019-10-14,17186,11741,95,0,2,16,2,A,54.60364561088605,A,61.84522475104105,A,2.0,385.2690187442449,21.403834374680272,0.04864912501682698
