nameWithOwner,url,tagName,publishedAt,totalLoc,totalSloc,validFiles,invalidFiles,filesNotRead,filesNoMetric,cc,ccRank,miMultiFalse,miMultiFalseRank,miMultiTrue,miMultiTrueRank,difficulty,effort,timeHas,bugs
androguard/androguard,https://github.com/androguard/androguard.git,17,2014-09-12,22170,15116,66,2,2,18,2,A,47.31774063854226,A,49.91218948919985,A,4.44502457002457,1483.0781978412256,82.39323321340143,0.11539255200447526
androguard/androguard,https://github.com/androguard/androguard.git,v3.1.0-pre,2017-09-07,-1,-1,-1,-1,-1,-1,-1,Z,-1,Z,-1,Z,-1,-1,-1,-1
androguard/androguard,https://github.com/androguard/androguard.git,v3.1.0-pre.2,2017-09-12,-1,-1,-1,-1,-1,-1,-1,Z,-1,Z,-1,Z,-1,-1,-1,-1
androguard/androguard,https://github.com/androguard/androguard.git,v2.0,2017-09-12,-1,-1,-1,-1,-1,-1,-1,Z,-1,Z,-1,Z,-1,-1,-1,-1
androguard/androguard,https://github.com/androguard/androguard.git,v3.1.0-rc1,2018-02-15,-1,-1,-1,-1,-1,-1,-1,Z,-1,Z,-1,Z,-1,-1,-1,-1
androguard/androguard,https://github.com/androguard/androguard.git,v3.1.0-rc2,2018-02-21,-1,-1,-1,-1,-1,-1,-1,Z,-1,Z,-1,Z,-1,-1,-1,-1
androguard/androguard,https://github.com/androguard/androguard.git,v3.1.0,2018-03-15,20415,13866,68,2,3,18,2,A,49.515025259923085,A,52.85271147896026,A,4.141666666666667,1299.645167803701,72.20250932242783,0.10285656140942302
androguard/androguard,https://github.com/androguard/androguard.git,v3.1.1,2018-04-26,20703,14003,70,2,3,18,2,A,49.98287855774372,A,53.2369183760862,A,4.141666666666667,1299.645167803701,72.20250932242783,0.1067757399311694
androguard/androguard,https://github.com/androguard/androguard.git,v3.1.2,2018-04-28,-1,-1,-1,-1,-1,-1,-1,Z,-1,Z,-1,Z,-1,-1,-1,-1
androguard/androguard,https://github.com/androguard/androguard.git,v3.2.0,2018-05-01,20466,13829,69,2,2,17,2,A,50.18510586344032,A,53.09049367413506,A,3.701923076923077,943.2508082416782,52.40282268009324,0.09550664503653075
androguard/androguard,https://github.com/androguard/androguard.git,v.3.2.1,2018-07-19,19139,13191,68,2,2,18,2,A,50.37740334669431,A,53.39703818511681,A,3.5909615384615385,920.2709898867686,51.12616610482047,0.08490979484616695
androguard/androguard,https://github.com/androguard/androguard.git,v3.3.0,2019-01-03,20153,14013,70,2,2,21,2,A,49.98287855774372,A,52.9907279527074,A,3.8926282051282053,1073.317267850983,59.62873710283239,0.10465714795548892
androguard/androguard,https://github.com/androguard/androguard.git,v3.3.1,2019-01-04,20178,14029,70,2,2,21,2,A,49.98287855774372,A,52.9907279527074,A,3.8926282051282053,1073.317267850983,59.62873710283239,0.10465714795548892
androguard/androguard,https://github.com/androguard/androguard.git,v3.3.2,2019-01-25,-1,-1,-1,-1,-1,-1,-1,Z,-1,Z,-1,Z,-1,-1,-1,-1
androguard/androguard,https://github.com/androguard/androguard.git,v3.3.3,2019-01-28,20301,14121,70,2,2,21,2,A,49.98287855774372,A,52.9907279527074,A,3.8926282051282053,1073.317267850983,59.62873710283239,0.10465714795548892
androguard/androguard,https://github.com/androguard/androguard.git,v3.3.4,2019-01-28,20329,14145,70,2,2,21,2,A,49.515025259923085,A,52.98356005793861,A,3.8926282051282053,1073.317267850983,59.62873710283239,0.10465714795548892
androguard/androguard,https://github.com/androguard/androguard.git,v3.3.5,2019-02-18,21139,14317,69,2,2,21,2,A,49.249399267799056,A,52.01536550059404,A,3.701923076923077,943.2508082416782,52.40282268009324,0.10936241254975979
androguard/androguard,https://github.com/androguard/androguard.git,v3.4.0a1,2020-04-17,22170,15116,66,2,2,18,2,A,47.31774063854226,A,49.91218948919985,A,4.44502457002457,1483.0781978412256,82.39323321340143,0.11539255200447526
