nameWithOwner,url,tagName,publishedAt,totalLoc,totalSloc,validFiles,invalidFiles,filesNotRead,filesNoMetric,cc,ccRank,miMultiFalse,miMultiFalseRank,miMultiTrue,miMultiTrueRank,difficulty,effort,timeHas,bugs
anymail/django-anymail,https://github.com/anymail/django-anymail.git,39,2020-05-13,21053,15399,74,0,3,11,1,A,66.19106787511268,A,66.646035259907,A,1.0555555555555556,57.502107537721685,3.194561529873427,0.012151379172195532
anymail/django-anymail,https://github.com/anymail/django-anymail.git,v0.1.dev1,2016-03-10,2904,1788,21,2,1,6,1,A,63.554238396680574,A,66.24584270126081,A,1.5,42.793987519471216,2.377443751081734,0.020756589711823786
anymail/django-anymail,https://github.com/anymail/django-anymail.git,v0.1.dev2,2016-03-12,3791,2411,24,2,1,6,1,A,63.4181416742928,A,66.35298638711345,A,1.6363636363636362,87.81413388508042,4.87856299361558,0.021447818210136027
anymail/django-anymail,https://github.com/anymail/django-anymail.git,v0.1,2016-03-14,4705,3089,27,2,1,6,1,A,63.331867226015746,A,66.50967647524475,A,1.5,42.793987519471216,2.377443751081734,0.020756589711823786
anymail/django-anymail,https://github.com/anymail/django-anymail.git,v0.2,2016-04-30,6710,4623,33,2,3,3,1,A,61.68267935250755,A,63.54445457720749,A,1.5,42.793987519471216,2.377443751081734,0.01
anymail/django-anymail,https://github.com/anymail/django-anymail.git,v0.3,2016-05-13,7353,5104,35,2,3,3,1,A,61.33652884375621,A,64.55925136056699,A,1.5,42.793987519471216,2.377443751081734,0.01
anymail/django-anymail,https://github.com/anymail/django-anymail.git,v0.3.1,2016-05-18,7369,5120,35,2,3,3,1,A,61.33652884375621,A,64.55925136056699,A,1.5,42.793987519471216,2.377443751081734,0.01
anymail/django-anymail,https://github.com/anymail/django-anymail.git,v0.4.1,2016-06-22,8696,6119,40,2,3,8,1,A,61.76770641622704,A,64.48300318653611,A,1.5,42.793987519471216,2.377443751081734,0.011643856189774725
anymail/django-anymail,https://github.com/anymail/django-anymail.git,v0.4,2016-06-23,8697,6122,40,2,3,8,1,A,61.76770641622704,A,64.48300318653611,A,1.5,42.793987519471216,2.377443751081734,0.011643856189774725
anymail/django-anymail,https://github.com/anymail/django-anymail.git,v0.4.2,2016-06-24,8755,6161,40,2,3,8,1,A,61.76770641622704,A,64.48300318653611,A,1.5,42.793987519471216,2.377443751081734,0.011643856189774725
anymail/django-anymail,https://github.com/anymail/django-anymail.git,v0.5,2016-08-22,8763,6168,40,2,3,8,1,A,61.76770641622704,A,64.48300318653611,A,1.5,42.793987519471216,2.377443751081734,0.011643856189774725
anymail/django-anymail,https://github.com/anymail/django-anymail.git,v0.6,2016-10-25,8766,6183,40,2,3,8,1,A,61.76770641622704,A,64.48300318653611,A,1.5,42.793987519471216,2.377443751081734,0.011643856189774725
anymail/django-anymail,https://github.com/anymail/django-anymail.git,v0.6.1,2016-11-01,8778,6195,40,2,3,8,1,A,61.76770641622704,A,64.48300318653611,A,1.5,42.793987519471216,2.377443751081734,0.011643856189774725
anymail/django-anymail,https://github.com/anymail/django-anymail.git,v0.7,2016-12-30,9088,6397,41,2,3,8,1,A,61.33652884375621,A,64.15159723207704,A,1.5,42.793987519471216,2.377443751081734,0.013287712379549451
anymail/django-anymail,https://github.com/anymail/django-anymail.git,v0.8,2017-02-02,10526,7414,44,2,3,9,1,A,60.78853701701119,A,63.110474471047866,A,1.5,54.77433396175722,3.0430185534309566,0.01529243523636797
anymail/django-anymail,https://github.com/anymail/django-anymail.git,v0.9,2017-04-04,10572,7429,44,2,3,9,1,A,60.78853701701119,A,63.110474471047866,A,1.5,54.77433396175722,3.0430185534309566,0.01529243523636797
anymail/django-anymail,https://github.com/anymail/django-anymail.git,v0.10,2017-05-22,10851,7575,44,2,3,9,1,A,61.688363157095324,A,63.818519433413755,A,1.5,54.77433396175722,3.0430185534309566,0.01529243523636797
anymail/django-anymail,https://github.com/anymail/django-anymail.git,v0.11,2017-07-13,12221,8650,49,2,3,9,1,A,62.32510950472562,A,63.987303531739876,A,1.5,51.89147427955947,2.8828596821977484,0.012684582601670092
anymail/django-anymail,https://github.com/anymail/django-anymail.git,v0.11.1,2017-07-24,12221,8650,49,2,3,9,1,A,62.32510950472562,A,63.987303531739876,A,1.5,51.89147427955947,2.8828596821977484,0.012684582601670092
anymail/django-anymail,https://github.com/anymail/django-anymail.git,v1.0.rc0,2017-09-09,12153,8600,49,2,3,9,1,A,62.32510950472562,A,64.51082479147279,A,1.5,57.65719364395497,3.203177424664165,0.012684582601670092
anymail/django-anymail,https://github.com/anymail/django-anymail.git,v1.0,2017-09-18,12169,8609,49,2,3,9,1,A,62.32510950472562,A,64.51082479147279,A,1.5,57.65719364395497,3.203177424664165,0.012684582601670092
anymail/django-anymail,https://github.com/anymail/django-anymail.git,v1.1,2017-10-28,12439,8776,49,2,3,10,1,A,62.32510950472562,A,63.59579962137182,A,1.5,61.021056277764515,3.3900586820980285,0.012684582601670092
