nameWithOwner,url,tagName,publishedAt,totalLoc,totalSloc,validFiles,invalidFiles,filesNotRead,filesNoMetric,cc,ccRank,miMultiFalse,miMultiFalseRank,miMultiTrue,miMultiTrueRank,difficulty,effort,timeHas,bugs
tensorflow/magenta,https://github.com/tensorflow/magenta.git,41,2020-05-13,84897,53095,318,0,0,63,2,A,65.7726383429845,A,67.06332393868172,A,3.8285714285714283,564.2975736415688,31.349865202309378,0.05458898942194923
tensorflow/magenta,https://github.com/tensorflow/magenta.git,v0.1.2,2016-10-07,13960,7643,78,4,0,8,1,A,78.56802448378359,A,71.65526366071634,A,1.0,15.509775004326936,0.861654166907052,0.005169925001442312
tensorflow/magenta,https://github.com/tensorflow/magenta.git,v0.1.3,2016-10-12,14985,8168,79,3,0,8,1,A,78.26379645569762,A,71.11253322395173,A,1.0,15.509775004326936,0.861654166907052,0.005169925001442312
tensorflow/magenta,https://github.com/tensorflow/magenta.git,v0.1.4,2016-10-18,13862,7804,55,3,0,6,1,A,66.65240093462056,A,66.50414267458704,A,3.25,372.3528326710279,20.686268481723772,0.0329970759911659
tensorflow/magenta,https://github.com/tensorflow/magenta.git,v0.1.5,2016-11-01,16030,8839,75,3,0,6,2,A,70.22283801572286,A,71.11253322395173,A,2.857142857142857,262.2788656468968,14.571048091494267,0.029974727502502494
tensorflow/magenta,https://github.com/tensorflow/magenta.git,v0.1.6,2016-11-09,21055,11781,91,6,0,7,2,A,69.6642118117277,A,70.21321296940593,A,2.9166666666666665,271.0451250937503,15.05806250520835,0.030579450010576957
tensorflow/magenta,https://github.com/tensorflow/magenta.git,v0.1.7,2016-12-16,26744,15317,112,5,0,8,2,A,71.18890464471659,A,73.4897257648552,A,2.7735042735042734,266.66199537032355,14.814555298351308,0.028887113756058954
tensorflow/magenta,https://github.com/tensorflow/magenta.git,v0.1.8,2016-12-16,26750,15319,112,5,0,8,2,A,71.18890464471659,A,73.4897257648552,A,2.7735042735042734,266.66199537032355,14.814555298351308,0.028887113756058954
tensorflow/magenta,https://github.com/tensorflow/magenta.git,v0.1.9,2017-01-27,26806,15344,112,5,0,8,2,A,70.87498149347473,A,72.89511067248172,A,2.7735042735042734,266.66199537032355,14.814555298351308,0.030277088756539727
tensorflow/magenta,https://github.com/tensorflow/magenta.git,v0.1.10,2017-03-16,27073,15492,116,5,0,10,2,A,71.27220899271578,A,73.628329768736,A,2.621153846153846,246.16350939139954,13.675750521744419,0.029789122623815615
tensorflow/magenta,https://github.com/tensorflow/magenta.git,v0.1.11,2017-05-16,31947,18303,137,7,0,11,2,A,71.38103992924933,A,72.809060307327,A,2.6923076923076925,246.98786547004468,13.721548081669148,0.029974727502502494
tensorflow/magenta,https://github.com/tensorflow/magenta.git,v0.1.12,2017-05-19,33791,19624,141,7,0,11,2,A,70.23403221791054,A,72.3140571901541,A,2.7777777777777777,271.0451250937503,15.05806250520835,0.031694139362507326
tensorflow/magenta,https://github.com/tensorflow/magenta.git,v0.1.13,2017-06-05,34115,19805,141,7,0,11,2,A,70.23403221791054,A,72.3302929432938,A,2.769230769230769,262.2788656468968,14.571048091494267,0.030579450010576957
tensorflow/magenta,https://github.com/tensorflow/magenta.git,v0.1.14,2017-06-08,34228,19874,142,8,0,11,2,A,70.74285135974368,A,72.34527690129784,A,2.730769230769231,254.63336555847076,14.146298086581709,0.03113679468654214
tensorflow/magenta,https://github.com/tensorflow/magenta.git,v0.1.15,2017-06-09,34228,19874,142,8,0,11,2,A,70.74285135974368,A,72.34527690129784,A,2.730769230769231,254.63336555847076,14.146298086581709,0.03113679468654214
tensorflow/magenta,https://github.com/tensorflow/magenta.git,v0.2.0,2017-06-13,34634,20117,142,8,0,11,2,A,70.19351661851806,A,72.30117471680865,A,2.817460317460317,266.66199537032355,14.814555298351308,0.03188230845986506
tensorflow/magenta,https://github.com/tensorflow/magenta.git,v0.2.3,2017-06-29,37103,21644,154,9,0,12,2,A,70.43981579468613,A,72.48029647946632,A,2.730769230769231,266.66199537032355,14.814555298351308,0.03188230845986506
tensorflow/magenta,https://github.com/tensorflow/magenta.git,v0.3.0,2017-08-22,40120,23872,156,4,0,13,2,A,69.44166105791784,A,71.04364555373095,A,3.1174089068825914,374.82854747014505,20.823808192785833,0.03324709103617081
tensorflow/magenta,https://github.com/tensorflow/magenta.git,v0.3.1,2017-08-25,40969,24503,160,0,0,13,2,A,69.0686516139333,A,70.7579895165513,A,3.2039473684210527,388.80853120386206,21.600473955770113,0.033967412385318696
tensorflow/magenta,https://github.com/tensorflow/magenta.git,v0.3.2,2017-11-03,48814,29818,182,0,0,14,2,A,67.70292281715433,A,67.79932841123436,A,3.2613636363636367,388.80853120386206,21.600473955770113,0.04367483912734184
tensorflow/magenta,https://github.com/tensorflow/magenta.git,v0.3.6,2018-02-28,57261,35371,207,0,0,17,2,A,64.2642663091484,A,66.65882291680927,A,3.857142857142857,527.0780907334513,29.282116151858403,0.05071880002307701
tensorflow/magenta,https://github.com/tensorflow/magenta.git,v0.3.8,2018-06-01,60029,37226,214,0,0,17,2,A,63.65477013235193,A,66.47615499883736,A,3.8285714285714283,505.55573536183533,28.086429742324185,0.05042841184162433
tensorflow/magenta,https://github.com/tensorflow/magenta.git,v0.3.9,2018-06-29,60709,37725,216,0,0,17,2,A,63.65477013235193,A,66.47615499883736,A,3.7,480.1705361489559,26.676140897164217,0.04952214516726533
tensorflow/magenta,https://github.com/tensorflow/magenta.git,v0.3.11,2018-08-14,61838,38515,216,4,0,17,2,A,63.65477013235193,A,66.47615499883736,A,3.7,480.1705361489559,26.676140897164217,0.04952214516726533
tensorflow/magenta,https://github.com/tensorflow/magenta.git,v0.3.13,2018-11-01,69196,43069,247,4,0,27,2,A,64.2642663091484,A,66.29348708086543,A,3.7058823529411766,532.332567438387,29.57403152435483,0.05013802366017166
