nameWithOwner,url,tagName,publishedAt,totalLoc,totalSloc,validFiles,invalidFiles,filesNotRead,filesNoMetric,cc,ccRank,miMultiFalse,miMultiFalseRank,miMultiTrue,miMultiTrueRank,difficulty,effort,timeHas,bugs
wemake-services/wemake-python-styleguide,https://github.com/wemake-services/wemake-python-styleguide.git,46,2020-05-13,50203,31922,367,0,20,12,1,A,100.0,A,100.0,A,0,0,0.0,0.0
wemake-services/wemake-python-styleguide,https://github.com/wemake-services/wemake-python-styleguide.git,0.0.2,2018-07-01,2361,1282,35,0,0,7,1,A,100.0,A,100.0,A,0,0,0.0,0.0
wemake-services/wemake-python-styleguide,https://github.com/wemake-services/wemake-python-styleguide.git,0.0.3,2018-07-13,2640,1530,43,0,0,9,1,A,100.0,A,100.0,A,0.5,1.0,0.05555555555555555,0.0006666666666666666
wemake-services/wemake-python-styleguide,https://github.com/wemake-services/wemake-python-styleguide.git,0.0.4,2018-07-19,2999,1715,48,0,0,9,1,A,100.0,A,100.0,A,0.0,0.0,0.0,0.0
wemake-services/wemake-python-styleguide,https://github.com/wemake-services/wemake-python-styleguide.git,0.0.5,2018-08-01,3209,1854,50,0,0,9,1,A,100.0,A,100.0,A,0.0,0.0,0.0,0.0
wemake-services/wemake-python-styleguide,https://github.com/wemake-services/wemake-python-styleguide.git,0.0.6,2018-08-28,3507,1978,55,0,0,9,1,A,100.0,A,100.0,A,0,0,0.0,0.0
wemake-services/wemake-python-styleguide,https://github.com/wemake-services/wemake-python-styleguide.git,0.0.7,2018-09-06,3814,2083,58,0,2,10,1,A,100.0,A,100.0,A,0.0,0.0,0.0,0.0
wemake-services/wemake-python-styleguide,https://github.com/wemake-services/wemake-python-styleguide.git,0.0.8,2018-09-06,4495,2494,67,0,0,11,1,A,100.0,A,100.0,A,0,0,0.0,0.0
wemake-services/wemake-python-styleguide,https://github.com/wemake-services/wemake-python-styleguide.git,0.0.9,2018-09-06,4493,2494,67,0,0,11,1,A,100.0,A,100.0,A,0,0,0.0,0.0
wemake-services/wemake-python-styleguide,https://github.com/wemake-services/wemake-python-styleguide.git,0.0.10,2018-09-10,5160,2789,77,0,0,12,1,A,100.0,A,100.0,A,0,0,0.0,0.0
wemake-services/wemake-python-styleguide,https://github.com/wemake-services/wemake-python-styleguide.git,0.0.11,2018-09-11,5235,2812,78,0,0,12,1,A,100.0,A,100.0,A,0.0,0.0,0.0,0.0
wemake-services/wemake-python-styleguide,https://github.com/wemake-services/wemake-python-styleguide.git,0.0.12,2018-09-13,5339,2770,77,0,0,12,1,A,100.0,A,100.0,A,0,0,0.0,0.0
wemake-services/wemake-python-styleguide,https://github.com/wemake-services/wemake-python-styleguide.git,0.0.13,2018-09-15,5702,2940,81,0,0,12,1,A,100.0,A,100.0,A,0,0,0.0,0.0
wemake-services/wemake-python-styleguide,https://github.com/wemake-services/wemake-python-styleguide.git,0.0.14,2018-09-23,6552,3369,92,0,0,18,1,A,100.0,A,100.0,A,0.0,0.0,0.0,0.0
wemake-services/wemake-python-styleguide,https://github.com/wemake-services/wemake-python-styleguide.git,0.0.15,2018-09-25,6901,3562,94,0,0,18,1,A,100.0,A,100.0,A,0.0,0.0,0.0,0.0
wemake-services/wemake-python-styleguide,https://github.com/wemake-services/wemake-python-styleguide.git,0.0.16,2018-09-30,7861,4033,101,0,0,17,1,A,100.0,A,100.0,A,0,0,0.0,0.0
wemake-services/wemake-python-styleguide,https://github.com/wemake-services/wemake-python-styleguide.git,0.1.0,2018-10-01,8334,4119,100,0,0,15,1,A,100.0,A,100.0,A,0.0,0.0,0.0,0.0
wemake-services/wemake-python-styleguide,https://github.com/wemake-services/wemake-python-styleguide.git,0.2.0,2018-10-04,9004,4613,102,0,0,15,1,A,100.0,A,100.0,A,0.0,0.0,0.0,0.0
wemake-services/wemake-python-styleguide,https://github.com/wemake-services/wemake-python-styleguide.git,0.3.0,2018-10-27,13024,7082,122,0,0,16,1,A,100.0,A,100.0,A,0.0,0.0,0.0,0.0
wemake-services/wemake-python-styleguide,https://github.com/wemake-services/wemake-python-styleguide.git,0.4.0,2018-10-30,12989,7079,123,0,0,16,1,A,100.0,A,100.0,A,0,0,0.0,0.0
wemake-services/wemake-python-styleguide,https://github.com/wemake-services/wemake-python-styleguide.git,0.5.0,2018-11-10,14898,8518,139,0,0,16,1,A,100.0,A,100.0,A,0,0,0.0,0.0
wemake-services/wemake-python-styleguide,https://github.com/wemake-services/wemake-python-styleguide.git,0.5.1,2018-11-15,14930,8534,141,0,0,17,1,A,100.0,A,100.0,A,0,0,0.0,0.0
wemake-services/wemake-python-styleguide,https://github.com/wemake-services/wemake-python-styleguide.git,0.6.0,2018-12-19,17836,10468,159,0,0,18,1,A,100.0,A,100.0,A,0,0,0.0,0.0
wemake-services/wemake-python-styleguide,https://github.com/wemake-services/wemake-python-styleguide.git,0.6.1,2019-01-05,17891,10497,160,0,0,18,1,A,100.0,A,100.0,A,0.0,0.0,0.0,0.0
wemake-services/wemake-python-styleguide,https://github.com/wemake-services/wemake-python-styleguide.git,0.6.2,2019-01-05,17920,10514,160,0,0,18,1,A,100.0,A,100.0,A,0.0,0.0,0.0,0.0
wemake-services/wemake-python-styleguide,https://github.com/wemake-services/wemake-python-styleguide.git,0.6.3,2019-01-23,17981,10549,161,0,0,18,1,A,100.0,A,100.0,A,0,0,0.0,0.0
wemake-services/wemake-python-styleguide,https://github.com/wemake-services/wemake-python-styleguide.git,0.7.0,2019-01-23,22491,13308,191,0,0,18,1,A,100.0,A,100.0,A,0,0,0.0,0.0
wemake-services/wemake-python-styleguide,https://github.com/wemake-services/wemake-python-styleguide.git,0.7.1,2019-02-08,22508,13317,191,0,0,18,1,A,100.0,A,100.0,A,0,0,0.0,0.0
wemake-services/wemake-python-styleguide,https://github.com/wemake-services/wemake-python-styleguide.git,0.8.0,2019-03-03,23924,14178,202,0,0,18,1,A,100.0,A,100.0,A,0.0,0.0,0.0,0.0
wemake-services/wemake-python-styleguide,https://github.com/wemake-services/wemake-python-styleguide.git,0.8.1,2019-06-13,23962,14201,202,0,0,18,1,A,100.0,A,100.0,A,0.0,0.0,0.0,0.0
wemake-services/wemake-python-styleguide,https://github.com/wemake-services/wemake-python-styleguide.git,0.9.0,2019-06-20,24619,14628,205,0,0,18,1,A,100.0,A,100.0,A,0,0,0.0,0.0
wemake-services/wemake-python-styleguide,https://github.com/wemake-services/wemake-python-styleguide.git,0.9.1,2019-07-12,24619,14628,205,0,0,18,1,A,100.0,A,100.0,A,0,0,0.0,0.0
wemake-services/wemake-python-styleguide,https://github.com/wemake-services/wemake-python-styleguide.git,0.10.0,2019-07-13,28657,17138,234,0,0,20,1,A,100.0,A,100.0,A,0.0,0.0,0.0,0.0
wemake-services/wemake-python-styleguide,https://github.com/wemake-services/wemake-python-styleguide.git,0.11.0,2019-07-18,29312,17534,241,0,1,21,1,A,100.0,A,100.0,A,0,0,0.0,0.0
wemake-services/wemake-python-styleguide,https://github.com/wemake-services/wemake-python-styleguide.git,0.11.1,2019-07-18,29312,17534,241,0,1,21,1,A,100.0,A,100.0,A,0,0,0.0,0.0
wemake-services/wemake-python-styleguide,https://github.com/wemake-services/wemake-python-styleguide.git,0.12.0,2019-08-14,40273,24956,301,0,1,25,1,A,100.0,A,100.0,A,0,0,0.0,0.0
wemake-services/wemake-python-styleguide,https://github.com/wemake-services/wemake-python-styleguide.git,0.12.1,2019-08-15,40273,24956,301,0,1,25,1,A,100.0,A,100.0,A,0,0,0.0,0.0
wemake-services/wemake-python-styleguide,https://github.com/wemake-services/wemake-python-styleguide.git,0.12.2,2019-08-19,40307,24985,301,0,1,25,1,A,100.0,A,100.0,A,0,0,0.0,0.0
wemake-services/wemake-python-styleguide,https://github.com/wemake-services/wemake-python-styleguide.git,0.12.3,2019-08-25,40378,25032,301,0,1,25,1,A,100.0,A,100.0,A,0,0,0.0,0.0
wemake-services/wemake-python-styleguide,https://github.com/wemake-services/wemake-python-styleguide.git,0.12.4,2019-08-29,40378,25032,301,0,1,25,1,A,100.0,A,100.0,A,0,0,0.0,0.0
wemake-services/wemake-python-styleguide,https://github.com/wemake-services/wemake-python-styleguide.git,0.12.5,2019-09-19,40610,25220,302,0,1,25,1,A,100.0,A,100.0,A,0.0,0.0,0.0,0.0
wemake-services/wemake-python-styleguide,https://github.com/wemake-services/wemake-python-styleguide.git,0.13.0,2019-11-18,45771,28467,338,0,1,25,1,A,100.0,A,100.0,A,0.0,0.0,0.0,0.0
wemake-services/wemake-python-styleguide,https://github.com/wemake-services/wemake-python-styleguide.git,0.13.1,2019-11-26,45830,28492,338,0,1,25,1,A,100.0,A,100.0,A,0.0,0.0,0.0,0.0
wemake-services/wemake-python-styleguide,https://github.com/wemake-services/wemake-python-styleguide.git,0.13.2,2019-12-10,45911,28551,338,0,1,25,1,A,100.0,A,100.0,A,0.0,0.0,0.0,0.0
wemake-services/wemake-python-styleguide,https://github.com/wemake-services/wemake-python-styleguide.git,0.13.3,2019-12-15,45911,28551,338,0,1,25,1,A,100.0,A,100.0,A,0.0,0.0,0.0,0.0
wemake-services/wemake-python-styleguide,https://github.com/wemake-services/wemake-python-styleguide.git,0.13.4,2020-01-19,46067,28629,339,0,1,25,1,A,100.0,A,100.0,A,0,0,0.0,0.0
wemake-services/wemake-python-styleguide,https://github.com/wemake-services/wemake-python-styleguide.git,0.14.0,2020-03-22,50135,31880,367,0,20,12,1,A,100.0,A,100.0,A,0,0,0.0,0.0
