nameWithOwner,url,tagName,publishedAt,totalLoc,totalSloc,validFiles,invalidFiles,filesNotRead,filesNoMetric,cc,ccRank,miMultiFalse,miMultiFalseRank,miMultiTrue,miMultiTrueRank,difficulty,effort,timeHas,bugs
Jahaja/psdash,https://github.com/Jahaja/psdash.git,10,2020-05-13,2364,1855,11,0,1,3,1,A,33.689158187659274,A,33.689158187659274,A,2.3076923076923075,475.7572853689484,26.43096029827491,0.042792983340064136
Jahaja/psdash,https://github.com/Jahaja/psdash.git,v0.1.0,2014-03-10,309,204,3,1,2,1,2,A,57.61955083483278,A,58.3849382670771,A,4.295454545454546,876.4239349846063,48.690218610255904,0.06801173393178601
Jahaja/psdash,https://github.com/Jahaja/psdash.git,v0.1.1,2014-03-29,152,103,2,2,2,1,2,A,57.36480049620138,A,61.35736430781222,A,2.647727272727273,445.9668549944666,24.775936388581478,0.03659082946661416
Jahaja/psdash,https://github.com/Jahaja/psdash.git,v0.1.2,2014-03-31,152,103,2,2,2,1,2,A,57.36480049620138,A,61.35736430781222,A,2.647727272727273,445.9668549944666,24.775936388581478,0.03659082946661416
Jahaja/psdash,https://github.com/Jahaja/psdash.git,v0.2.0,2014-04-05,152,103,2,2,1,2,2,A,57.36480049620138,A,61.35736430781222,A,2.647727272727273,445.9668549944666,24.775936388581478,0.03659082946661416
Jahaja/psdash,https://github.com/Jahaja/psdash.git,v0.3.0,2014-04-15,860,632,4,0,1,2,2,A,52.84382042413529,A,55.933753353753865,A,4.697727272727272,1166.0118530296347,64.77843627942416,0.08157448693565325
Jahaja/psdash,https://github.com/Jahaja/psdash.git,v0.4.0,2014-07-24,1369,1021,9,0,1,2,1,A,54.11605337602502,A,54.11605337602502,A,2.7083333333333335,492.7486169892678,27.374923166070435,0.044321304173637846
Jahaja/psdash,https://github.com/Jahaja/psdash.git,v0.5.0,2014-09-06,2206,1754,11,0,1,2,1,A,44.50133418950736,A,47.510980413704,A,2.0,226.38255736155728,12.576808742308737,0.03269970273000272
Jahaja/psdash,https://github.com/Jahaja/psdash.git,v0.6.0,2014-09-24,2229,1773,11,0,1,2,1,A,44.25275193045489,A,46.898711507998925,A,2.0,226.38255736155728,12.576808742308737,0.03269970273000272
Jahaja/psdash,https://github.com/Jahaja/psdash.git,v0.6.1,2014-12-13,2439,1930,11,0,1,2,1,A,33.689158187659274,A,33.689158187659274,A,2.3076923076923075,475.7572853689484,26.43096029827491,0.042792983340064136
Jahaja/psdash,https://github.com/Jahaja/psdash.git,v0.6.2,2015-12-02,2364,1855,11,0,1,2,1,A,33.689158187659274,A,33.689158187659274,A,2.3076923076923075,475.7572853689484,26.43096029827491,0.042792983340064136
