nameWithOwner,url,tagName,publishedAt,totalLoc,totalSloc,validFiles,invalidFiles,filesNotRead,filesNoMetric,cc,ccRank,miMultiFalse,miMultiFalseRank,miMultiTrue,miMultiTrueRank,difficulty,effort,timeHas,bugs
PSLmodels/Tax-Calculator,https://github.com/PSLmodels/Tax-Calculator.git,81,2020-05-09,17611,11601,49,0,0,12,3,A,54.61256238787376,A,60.361756533261236,A,5.108910891089109,2130.6252531925247,118.36806962180692,0.13962406251802892
PSLmodels/Tax-Calculator,https://github.com/PSLmodels/Tax-Calculator.git,0.6.2,2016-04-22,11115,7052,35,0,0,6,3,A,55.598918321763286,A,57.33957140920144,A,4.25,2199.6171852643447,122.20095473690805,0.1539118723898095
PSLmodels/Tax-Calculator,https://github.com/PSLmodels/Tax-Calculator.git,0.6.3,2016-05-09,11457,7290,35,0,0,6,3,A,53.16414745567592,A,57.33957140920144,A,4.829268292682927,2199.6171852643447,122.20095473690805,0.1539118723898095
PSLmodels/Tax-Calculator,https://github.com/PSLmodels/Tax-Calculator.git,0.6.5,2016-08-06,12682,8081,41,0,0,6,3,A,53.667412334649164,A,57.24186557447551,A,3.5142857142857142,1853.3873107104118,102.965961706134,0.15650092208828204
PSLmodels/Tax-Calculator,https://github.com/PSLmodels/Tax-Calculator.git,0.6.4,2016-08-06,12383,7925,38,0,0,6,3,A,52.080110828412316,A,55.19748909934541,A,4.110294117647059,2026.5022479873783,112.58345822152103,0.15830159022114426
PSLmodels/Tax-Calculator,https://github.com/PSLmodels/Tax-Calculator.git,0.6.6,2016-08-13,12994,8185,41,0,0,6,3,A,52.50741719821875,A,56.38290444572914,A,3.795918367346939,2040.9379658071339,113.38544254484077,0.1601022583540065
PSLmodels/Tax-Calculator,https://github.com/PSLmodels/Tax-Calculator.git,0.6.7,2016-09-29,14442,9273,75,0,0,8,2,A,59.07225952967651,A,64.67974361688549,A,1.0,53.58021388263111,2.9766785490350616,0.01729715809318649
PSLmodels/Tax-Calculator,https://github.com/PSLmodels/Tax-Calculator.git,0.6.8,2016-11-09,13665,8681,63,0,1,8,3,A,59.07841331505337,A,63.60967012625541,A,2.8,539.191590084808,29.955088338044888,0.0641894750100962
PSLmodels/Tax-Calculator,https://github.com/PSLmodels/Tax-Calculator.git,0.6.9,2016-11-09,15700,10043,67,0,1,9,3,A,58.196539737688255,A,62.66477616731039,A,2.943548387096774,619.2857142857142,34.4047619047619,0.07030275834439108
PSLmodels/Tax-Calculator,https://github.com/PSLmodels/Tax-Calculator.git,0.7.0,2016-11-09,15685,10042,67,0,1,9,3,A,58.196539737688255,A,62.66477616731039,A,2.943548387096774,619.2857142857142,34.4047619047619,0.07030275834439108
PSLmodels/Tax-Calculator,https://github.com/PSLmodels/Tax-Calculator.git,0.7.1,2016-11-15,15881,10165,67,0,1,9,3,A,58.196539737688255,A,62.66477616731039,A,2.943548387096774,619.2857142857142,34.4047619047619,0.07030275834439108
PSLmodels/Tax-Calculator,https://github.com/PSLmodels/Tax-Calculator.git,0.7.2,2016-12-05,15851,10145,67,0,1,9,3,A,58.196539737688255,A,62.66477616731039,A,2.943548387096774,619.2857142857142,34.4047619047619,0.07030275834439108
PSLmodels/Tax-Calculator,https://github.com/PSLmodels/Tax-Calculator.git,0.7.3,2017-01-02,16655,10744,67,0,1,9,3,A,57.970305003566786,A,63.29187818381143,A,2.943548387096774,548.5714285714286,30.476190476190474,0.07030275834439108
PSLmodels/Tax-Calculator,https://github.com/PSLmodels/Tax-Calculator.git,0.7.4,2017-01-24,16154,10411,63,0,1,9,3,A,57.970305003566786,A,60.86664761153902,A,2.727272727272727,511.877885305565,28.43766029475361,0.05501955000865388
PSLmodels/Tax-Calculator,https://github.com/PSLmodels/Tax-Calculator.git,0.7.5,2017-01-31,16278,10490,63,0,1,9,3,A,57.970305003566786,A,60.693554976691885,A,2.727272727272727,511.877885305565,28.43766029475361,0.05501955000865388
PSLmodels/Tax-Calculator,https://github.com/PSLmodels/Tax-Calculator.git,0.7.6,2017-02-15,16219,10456,63,0,1,9,3,A,57.970305003566786,A,60.693554976691885,A,2.727272727272727,511.877885305565,28.43766029475361,0.05501955000865388
PSLmodels/Tax-Calculator,https://github.com/PSLmodels/Tax-Calculator.git,0.7.7,2017-02-16,16162,10394,63,0,1,9,3,A,57.970305003566786,A,60.693554976691885,A,2.727272727272727,511.877885305565,28.43766029475361,0.05501955000865388
PSLmodels/Tax-Calculator,https://github.com/PSLmodels/Tax-Calculator.git,0.7.8,2017-03-01,15913,10217,65,0,0,10,3,A,59.44881491779556,A,61.0158914326979,A,2.4,396.14076006230795,22.007820003461553,0.04975918151662715
PSLmodels/Tax-Calculator,https://github.com/PSLmodels/Tax-Calculator.git,0.7.81,2017-03-06,15835,10179,64,0,0,10,3,A,58.82267732774191,A,60.979857626672406,A,2.4727272727272727,406.96357128404316,22.609087293557955,0.05073200920808958
PSLmodels/Tax-Calculator,https://github.com/PSLmodels/Tax-Calculator.git,0.7.82,2017-03-06,15759,10145,63,0,0,8,3,A,59.44881491779556,A,60.94382382064691,A,2.5454545454545454,417.78638250577836,23.210354583654354,0.05170483689955202
PSLmodels/Tax-Calculator,https://github.com/PSLmodels/Tax-Calculator.git,0.7.9,2017-03-08,15785,10145,63,0,0,8,3,A,60.106996310037225,A,60.94382382064691,A,2.5454545454545454,396.14076006230795,22.007820003461553,0.05501955000865388
PSLmodels/Tax-Calculator,https://github.com/PSLmodels/Tax-Calculator.git,0.8.0,2017-03-24,15959,10246,64,0,0,9,3,A,60.06614296940762,A,61.419140577425686,A,2.7574884792626726,475.86388128108376,26.43688229339354,0.056039100017307754
PSLmodels/Tax-Calculator,https://github.com/PSLmodels/Tax-Calculator.git,0.8.1,2017-04-13,16157,10388,65,0,0,9,3,A,59.44881491779556,A,61.0158914326979,A,2.943548387096774,511.877885305565,28.43766029475361,0.05705865002596163
PSLmodels/Tax-Calculator,https://github.com/PSLmodels/Tax-Calculator.git,0.8.2,2017-04-13,16157,10388,65,0,0,9,3,A,59.44881491779556,A,61.0158914326979,A,2.943548387096774,511.877885305565,28.43766029475361,0.05705865002596163
PSLmodels/Tax-Calculator,https://github.com/PSLmodels/Tax-Calculator.git,0.8.3,2017-05-01,16921,10970,67,0,0,9,3,A,59.44881491779556,A,61.0158914326979,A,3.0,578.0584663344446,32.11435924080248,0.05710012649612389
PSLmodels/Tax-Calculator,https://github.com/PSLmodels/Tax-Calculator.git,0.8.4,2017-05-12,16625,10734,68,0,0,9,3,A,59.76088921642919,A,61.419140577425686,A,2.971774193548387,544.9681758200047,30.276009767778042,0.057079388261042766
PSLmodels/Tax-Calculator,https://github.com/PSLmodels/Tax-Calculator.git,0.8.5,2017-06-08,16776,10782,68,0,0,9,3,A,59.76088921642919,A,61.48504775644485,A,2.971774193548387,544.9681758200047,30.276009767778042,0.057079388261042766
