nameWithOwner,url,tagName,publishedAt,totalLoc,totalSloc,validFiles,invalidFiles,filesNotRead,filesNoMetric,cc,ccRank,miMultiFalse,miMultiFalseRank,miMultiTrue,miMultiTrueRank,difficulty,effort,timeHas,bugs
ScottfreeLLC/AlphaPy,https://github.com/ScottfreeLLC/AlphaPy.git,9,2020-05-12,14099,5031,21,0,1,2,2,A,55.44918630631214,A,45.98551804405091,A,6.166666666666667,1909.918341652732,106.10657453626288,0.08987851019542267
ScottfreeLLC/AlphaPy,https://github.com/ScottfreeLLC/AlphaPy.git,2.0,2017-05-01,12128,4345,19,0,1,2,2,A,62.938089172692386,A,53.586512771298125,A,5.775,1372.9737662497016,76.27632034720564,0.07924812503605781
ScottfreeLLC/AlphaPy,https://github.com/ScottfreeLLC/AlphaPy.git,2.0.1,2017-05-30,12136,4357,19,0,1,2,2,A,63.191568247117516,A,53.51202533620871,A,5.775,1372.9737662497016,76.27632034720564,0.07924812503605781
ScottfreeLLC/AlphaPy,https://github.com/ScottfreeLLC/AlphaPy.git,2.1,2017-10-20,12295,4452,19,0,1,2,2,A,61.96393213232995,A,53.180921427819996,A,6.0,1976.0865658878115,109.78258699376731,0.08911762944199934
ScottfreeLLC/AlphaPy,https://github.com/ScottfreeLLC/AlphaPy.git,2.2.1,2017-12-31,12410,4506,19,0,1,2,2,A,60.29573933995647,A,50.06881388508073,A,6.0,1976.0865658878115,109.78258699376731,0.08911762944199934
ScottfreeLLC/AlphaPy,https://github.com/ScottfreeLLC/AlphaPy.git,2.2.2,2018-01-25,12439,4506,19,0,1,2,2,A,59.123437123723555,A,54.88856065760231,A,6.0,1976.0865658878115,109.78258699376731,0.08911762944199934
ScottfreeLLC/AlphaPy,https://github.com/ScottfreeLLC/AlphaPy.git,2.3.1,2018-05-21,12344,4518,19,0,1,2,2,A,58.83356057767673,A,54.88856065760231,A,6.363636363636363,1976.0865658878115,109.78258699376731,0.08911762944199934
ScottfreeLLC/AlphaPy,https://github.com/ScottfreeLLC/AlphaPy.git,2.3.3,2018-09-16,12340,4514,19,0,1,2,2,A,59.41605437449533,A,54.88856065760231,A,6.363636363636363,1654.9603736097822,91.94224297832123,0.08668840052241716
ScottfreeLLC/AlphaPy,https://github.com/ScottfreeLLC/AlphaPy.git,2.3.9,2019-11-17,12645,4635,19,0,1,2,2,A,58.86264581321623,A,54.88856065760231,A,6.363636363636363,1654.9603736097822,91.94224297832123,0.08668840052241716
ScottfreeLLC/AlphaPy,https://github.com/ScottfreeLLC/AlphaPy.git,2.4.0,2020-02-09,12698,4671,19,0,1,2,2,A,58.82870380144659,A,54.88856065760231,A,6.363636363636363,1654.9603736097822,91.94224297832123,0.08668840052241716
