nameWithOwner,url,tagName,publishedAt,totalLoc,totalSloc,validFiles,invalidFiles,filesNotRead,filesNoMetric,cc,ccRank,miMultiFalse,miMultiFalseRank,miMultiTrue,miMultiTrueRank,difficulty,effort,timeHas,bugs
aliyun/aliyun-odps-python-sdk,https://github.com/aliyun/aliyun-odps-python-sdk.git,65,2020-05-13,69546,47212,312,0,1,112,2,A,59.388746074991104,A,59.806298271860655,A,3.2403846153846154,533.2014314789144,29.62230174882858,0.054482458350160315
aliyun/aliyun-odps-python-sdk,https://github.com/aliyun/aliyun-odps-python-sdk.git,v0.2.0,2015-11-13,10430,6718,83,7,0,26,2,A,74.45998475134724,A,74.45998475134724,A,2.0,98.90266155758918,5.494592308754955,0.01729715809318649
aliyun/aliyun-odps-python-sdk,https://github.com/aliyun/aliyun-odps-python-sdk.git,v0.2.1,2015-11-20,12329,7331,87,3,0,27,2,A,72.95048969641446,A,73.86542792070448,A,2.0,129.05865002596164,7.169925001442313,0.02150977500432694
aliyun/aliyun-odps-python-sdk,https://github.com/aliyun/aliyun-odps-python-sdk.git,v0.3.0,2016-02-01,23991,14835,117,1,0,30,2,A,67.47242549276066,A,67.55539838477326,A,2.909090909090909,305.6164524381023,16.978691802116796,0.03678716557125306
aliyun/aliyun-odps-python-sdk,https://github.com/aliyun/aliyun-odps-python-sdk.git,v0.3.4,2016-02-05,24023,14860,117,1,0,30,2,A,67.47242549276066,A,67.55539838477326,A,2.909090909090909,305.6164524381023,16.978691802116796,0.03678716557125306
aliyun/aliyun-odps-python-sdk,https://github.com/aliyun/aliyun-odps-python-sdk.git,v0.3.6,2016-02-13,24095,14929,117,1,0,30,2,A,67.47242549276066,A,67.55539838477326,A,2.909090909090909,305.6164524381023,16.978691802116796,0.03678716557125306
aliyun/aliyun-odps-python-sdk,https://github.com/aliyun/aliyun-odps-python-sdk.git,v0.3.7,2016-02-15,-1,-1,-1,-1,-1,-1,-1,Z,-1,Z,-1,Z,-1,-1,-1,-1
aliyun/aliyun-odps-python-sdk,https://github.com/aliyun/aliyun-odps-python-sdk.git,v0.3.9,2016-02-17,-1,-1,-1,-1,-1,-1,-1,Z,-1,Z,-1,Z,-1,-1,-1,-1
aliyun/aliyun-odps-python-sdk,https://github.com/aliyun/aliyun-odps-python-sdk.git,v0.4.0,2016-03-19,28657,18529,134,8,0,31,2,A,67.97142279730951,A,68.44051667028296,A,2.801282051282051,276.79353844113234,15.377418802285131,0.03790516875841703
aliyun/aliyun-odps-python-sdk,https://github.com/aliyun/aliyun-odps-python-sdk.git,v0.4.1,2016-04-04,28624,18535,132,8,0,32,2,A,68.41058670373702,A,68.80472213579515,A,2.7081447963800906,246.09982292073727,13.672212384485402,0.03697454786328194
aliyun/aliyun-odps-python-sdk,https://github.com/aliyun/aliyun-odps-python-sdk.git,v0.4.2,2016-04-05,28677,18574,132,8,0,32,2,A,68.41058670373702,A,68.80472213579515,A,2.7081447963800906,246.09982292073727,13.672212384485402,0.03697454786328194
aliyun/aliyun-odps-python-sdk,https://github.com/aliyun/aliyun-odps-python-sdk.git,v0.4.3,2016-04-06,28721,18605,132,8,0,32,2,A,68.41058670373702,A,68.80472213579515,A,2.7081447963800906,246.09982292073727,13.672212384485402,0.03697454786328194
aliyun/aliyun-odps-python-sdk,https://github.com/aliyun/aliyun-odps-python-sdk.git,v0.4.5,2016-04-19,29019,18835,132,8,0,32,2,A,68.41058670373702,A,68.80472213579515,A,2.7081447963800906,246.09982292073727,13.672212384485402,0.03697454786328194
aliyun/aliyun-odps-python-sdk,https://github.com/aliyun/aliyun-odps-python-sdk.git,v0.4.8,2016-05-04,29365,19104,132,8,0,32,2,A,68.41058670373702,A,68.80472213579515,A,2.801282051282051,269.62854125443266,14.979363403024038,0.03697454786328194
aliyun/aliyun-odps-python-sdk,https://github.com/aliyun/aliyun-odps-python-sdk.git,v0.5.0,2016-05-21,35469,23132,154,8,0,37,2,A,65.16755165462254,A,66.67687424040852,A,3.0625,402.24492393794594,22.346940218774776,0.04271959626936954
aliyun/aliyun-odps-python-sdk,https://github.com/aliyun/aliyun-odps-python-sdk.git,v0.5.2,2016-05-26,35609,23235,154,8,0,37,2,A,64.37975847820042,A,65.39594484003052,A,3.1414473684210527,409.27226997439357,22.737348331910756,0.04328096936005219
aliyun/aliyun-odps-python-sdk,https://github.com/aliyun/aliyun-odps-python-sdk.git,v0.5.3,2016-06-03,34386,22300,154,8,0,39,2,A,64.0132419300486,A,65.22986767413926,A,3.1671826625387,428.0789441748591,23.782163565269947,0.04428913866590045
