nameWithOwner,url,tagName,publishedAt,totalLoc,totalSloc,validFiles,invalidFiles,filesNotRead,filesNoMetric,cc,ccRank,miMultiFalse,miMultiFalseRank,miMultiTrue,miMultiTrueRank,difficulty,effort,timeHas,bugs
controlscanmdr/cyphon,https://github.com/controlscanmdr/cyphon.git,25,2020-05-05,68333,30698,527,0,1,274,1,A,100.0,A,100.0,A,0,0,0.0,0.0
controlscanmdr/cyphon,https://github.com/controlscanmdr/cyphon.git,1.0.0,2017-04-04,56430,25222,437,0,0,264,1,A,100.0,A,100.0,A,0,0,0.0,0.0
controlscanmdr/cyphon,https://github.com/controlscanmdr/cyphon.git,1.0.1,2017-04-07,56437,25229,437,0,0,264,1,A,100.0,A,100.0,A,0,0,0.0,0.0
controlscanmdr/cyphon,https://github.com/controlscanmdr/cyphon.git,1.0.2,2017-04-07,56464,25256,437,0,0,264,1,A,100.0,A,100.0,A,0,0,0.0,0.0
controlscanmdr/cyphon,https://github.com/controlscanmdr/cyphon.git,1.0.3,2017-05-14,57010,25507,439,0,0,263,1,A,100.0,A,100.0,A,0,0,0.0,0.0
controlscanmdr/cyphon,https://github.com/controlscanmdr/cyphon.git,1.1.0,2017-05-14,57262,25547,439,0,0,264,1,A,100.0,A,100.0,A,0,0,0.0,0.0
controlscanmdr/cyphon,https://github.com/controlscanmdr/cyphon.git,1.1.1,2017-05-16,57268,25553,439,0,0,264,1,A,100.0,A,100.0,A,0,0,0.0,0.0
controlscanmdr/cyphon,https://github.com/controlscanmdr/cyphon.git,1.1.2,2017-05-16,57276,25558,439,0,0,264,1,A,100.0,A,100.0,A,0,0,0.0,0.0
controlscanmdr/cyphon,https://github.com/controlscanmdr/cyphon.git,1.1.3,2017-05-28,57422,25603,442,0,0,264,1,A,100.0,A,100.0,A,0.0,0.0,0.0,0.0
controlscanmdr/cyphon,https://github.com/controlscanmdr/cyphon.git,1.2.0,2017-06-05,57598,25707,450,0,0,266,1,A,100.0,A,100.0,A,0.0,0.0,0.0,0.0
controlscanmdr/cyphon,https://github.com/controlscanmdr/cyphon.git,1.3.0,2017-06-28,58382,26135,458,0,0,267,1,A,100.0,A,100.0,A,0.0,0.0,0.0,0.0
controlscanmdr/cyphon,https://github.com/controlscanmdr/cyphon.git,1.4.0,2017-08-14,64402,28697,496,0,0,273,1,A,100.0,A,100.0,A,0.0,0.0,0.0,0.0
controlscanmdr/cyphon,https://github.com/controlscanmdr/cyphon.git,1.4.1,2017-08-14,64426,28712,496,0,0,273,1,A,100.0,A,100.0,A,0.0,0.0,0.0,0.0
controlscanmdr/cyphon,https://github.com/controlscanmdr/cyphon.git,1.4.2,2017-08-21,64460,28730,496,0,0,273,1,A,100.0,A,100.0,A,0.0,0.0,0.0,0.0
controlscanmdr/cyphon,https://github.com/controlscanmdr/cyphon.git,1.5.0,2017-09-26,67673,30225,524,0,1,274,1,A,100.0,A,100.0,A,0.0,0.0,0.0,0.0
controlscanmdr/cyphon,https://github.com/controlscanmdr/cyphon.git,1.5.1,2017-10-02,67680,30229,524,0,1,274,1,A,100.0,A,100.0,A,0.0,0.0,0.0,0.0
controlscanmdr/cyphon,https://github.com/controlscanmdr/cyphon.git,1.5.2,2017-10-03,67681,30232,524,0,1,274,1,A,100.0,A,100.0,A,0.0,0.0,0.0,0.0
controlscanmdr/cyphon,https://github.com/controlscanmdr/cyphon.git,1.5.3,2017-10-13,67698,30245,524,0,1,274,1,A,100.0,A,100.0,A,0.0,0.0,0.0,0.0
controlscanmdr/cyphon,https://github.com/controlscanmdr/cyphon.git,1.6.0,2018-01-11,68133,30577,527,0,1,274,1,A,100.0,A,100.0,A,0,0,0.0,0.0
controlscanmdr/cyphon,https://github.com/controlscanmdr/cyphon.git,1.6.1,2018-02-06,68160,30607,527,0,1,274,1,A,100.0,A,100.0,A,0,0,0.0,0.0
controlscanmdr/cyphon,https://github.com/controlscanmdr/cyphon.git,1.6.2,2018-03-22,68275,30663,527,0,1,274,1,A,100.0,A,100.0,A,0,0,0.0,0.0
controlscanmdr/cyphon,https://github.com/controlscanmdr/cyphon.git,1.6.3,2018-04-02,68295,30674,527,0,1,274,1,A,100.0,A,100.0,A,0,0,0.0,0.0
controlscanmdr/cyphon,https://github.com/controlscanmdr/cyphon.git,1.6.4,2018-05-01,68320,30688,527,0,1,274,1,A,100.0,A,100.0,A,0,0,0.0,0.0
controlscanmdr/cyphon,https://github.com/controlscanmdr/cyphon.git,1.6.5,2018-06-11,68320,30688,527,0,1,274,1,A,100.0,A,100.0,A,0,0,0.0,0.0
controlscanmdr/cyphon,https://github.com/controlscanmdr/cyphon.git,1.6.6,2018-06-14,68333,30698,527,0,1,274,1,A,100.0,A,100.0,A,0,0,0.0,0.0
controlscanmdr/cyphon,https://github.com/controlscanmdr/cyphon.git,1.6.7,2018-12-17,68333,30698,527,0,1,274,1,A,100.0,A,100.0,A,0,0,0.0,0.0
