nameWithOwner,url,tagName,publishedAt,totalLoc,totalSloc,validFiles,invalidFiles,filesNotRead,filesNoMetric,cc,ccRank,miMultiFalse,miMultiFalseRank,miMultiTrue,miMultiTrueRank,difficulty,effort,timeHas,bugs
litl/backoff,https://github.com/litl/backoff.git,17,2020-05-13,2132,1461,11,0,1,1,2,A,63.55746148633721,A,67.33446598457691,A,2.9411764705882355,406.5952358169301,22.58862421205167,0.046080793392585404
litl/backoff,https://github.com/litl/backoff.git,v1.1.0,2015-12-08,783,412,2,0,0,1,3,A,39.38705980507294,A,43.86972836896453,A,4.583333333333333,3421.089259425731,190.0605144125406,0.2820198258531744
litl/backoff,https://github.com/litl/backoff.git,v1.2.1,2016-05-27,862,549,2,0,0,1,3,A,35.74601014665831,A,42.486683299058996,A,5.945719116048786,7267.102171987734,403.727898443763,0.44860697688731577
litl/backoff,https://github.com/litl/backoff.git,v1.3.0,2016-08-08,992,632,3,0,0,0,2,A,47.284333517834476,A,58.658166937230355,A,5.5397727272727275,3616.3918087821403,200.91065604345224,0.18276388711049527
litl/backoff,https://github.com/litl/backoff.git,v1.3.1,2016-08-08,992,632,3,0,0,0,2,A,47.284333517834476,A,58.658166937230355,A,5.5397727272727275,3616.3918087821403,200.91065604345224,0.18276388711049527
litl/backoff,https://github.com/litl/backoff.git,v1.3.2,2016-11-18,979,623,3,0,0,0,2,A,48.64908239741781,A,59.93830703343198,A,5.5397727272727275,2892.9369244054633,160.71871802252574,0.16071871802252571
litl/backoff,https://github.com/litl/backoff.git,v1.4.0,2017-02-05,1740,1167,12,0,1,1,2,A,69.11541398525509,A,69.11541398525509,A,2.513888888888889,202.44700019311992,11.24705556628444,0.024563313775452747
litl/backoff,https://github.com/litl/backoff.git,v1.4.1,2017-04-21,1869,1261,12,0,1,1,2,A,69.11541398525509,A,69.11541398525509,A,2.513888888888889,202.44700019311992,11.24705556628444,0.024563313775452747
litl/backoff,https://github.com/litl/backoff.git,v1.4.2,2017-04-25,1869,1261,12,0,1,1,2,A,69.11541398525509,A,69.11541398525509,A,2.513888888888889,202.44700019311992,11.24705556628444,0.024563313775452747
litl/backoff,https://github.com/litl/backoff.git,v1.4.3,2017-05-22,1869,1261,12,0,1,1,2,A,69.11541398525509,A,69.11541398525509,A,2.513888888888889,202.44700019311992,11.24705556628444,0.024563313775452747
litl/backoff,https://github.com/litl/backoff.git,v1.5.0,2018-04-12,2005,1369,12,0,1,1,2,A,66.42837746577453,A,66.74447792673959,A,3.0,421.0913300766958,23.393962782038656,0.05471601877826175
litl/backoff,https://github.com/litl/backoff.git,v1.6.0,2018-07-14,2004,1368,12,0,1,1,2,A,66.57396200891424,A,66.89006246987933,A,3.0,421.0913300766958,23.393962782038656,0.05471601877826175
litl/backoff,https://github.com/litl/backoff.git,v1.7.0,2018-11-23,1926,1301,11,0,1,1,2,A,66.70226506264676,A,67.33446598457691,A,3.0555555555555554,469.9478254348119,26.108212524156215,0.05126703550197948
litl/backoff,https://github.com/litl/backoff.git,v1.7.1,2018-11-28,1926,1301,11,0,1,1,2,A,66.70226506264676,A,67.33446598457691,A,3.0555555555555554,469.9478254348119,26.108212524156215,0.05126703550197948
litl/backoff,https://github.com/litl/backoff.git,v1.8.0,2018-12-21,2191,1499,11,0,1,1,2,A,63.55746148633721,A,67.33446598457691,A,2.9411764705882355,406.5952358169301,22.58862421205167,0.046080793392585404
litl/backoff,https://github.com/litl/backoff.git,v1.9.0,2019-11-16,2196,1504,11,0,1,1,2,A,63.55746148633721,A,67.33446598457691,A,2.9411764705882355,406.5952358169301,22.58862421205167,0.046080793392585404
litl/backoff,https://github.com/litl/backoff.git,v1.9.2,2019-11-20,2196,1504,11,0,1,1,2,A,63.55746148633721,A,67.33446598457691,A,2.9411764705882355,406.5952358169301,22.58862421205167,0.046080793392585404
litl/backoff,https://github.com/litl/backoff.git,v1.10.0,2019-12-07,2132,1461,11,0,1,1,2,A,63.55746148633721,A,67.33446598457691,A,2.9411764705882355,406.5952358169301,22.58862421205167,0.046080793392585404
