nameWithOwner,url,tagName,publishedAt,totalLoc,totalSloc,validFiles,invalidFiles,filesNotRead,filesNoMetric,cc,ccRank,miMultiFalse,miMultiFalseRank,miMultiTrue,miMultiTrueRank,difficulty,effort,timeHas,bugs
maximdanilchenko/aiohttp-apispec,https://github.com/maximdanilchenko/aiohttp-apispec.git,15,2020-04-30,1262,923,15,0,2,4,2,A,71.86923788828112,A,87.43151654414046,A,0.5,3.1699250014423126,0.17610694452457293,0.002113283334294875
maximdanilchenko/aiohttp-apispec,https://github.com/maximdanilchenko/aiohttp-apispec.git,v0.7.6,2018-11-12,974,704,9,0,1,2,2,A,56.89972373270071,A,70.54042466501852,A,1.0,114.22064766172812,6.345591536762673,0.025382366147050694
maximdanilchenko/aiohttp-apispec,https://github.com/maximdanilchenko/aiohttp-apispec.git,v0.7.7,2019-01-09,974,704,9,0,1,2,2,A,56.89972373270071,A,70.54042466501852,A,1.0,114.22064766172812,6.345591536762673,0.025382366147050694
maximdanilchenko/aiohttp-apispec,https://github.com/maximdanilchenko/aiohttp-apispec.git,v0.8.0,2019-02-04,977,702,9,0,1,2,2,A,56.89972373270071,A,70.35016064091812,A,1.0,114.22064766172812,6.345591536762673,0.025382366147050694
maximdanilchenko/aiohttp-apispec,https://github.com/maximdanilchenko/aiohttp-apispec.git,v0.9.1,2019-02-11,975,702,9,0,1,2,2,A,56.89972373270071,A,69.23156352077085,A,1.0,114.22064766172812,6.345591536762673,0.025382366147050694
maximdanilchenko/aiohttp-apispec,https://github.com/maximdanilchenko/aiohttp-apispec.git,v0.9.2,2019-02-12,975,702,9,0,1,2,2,A,56.89972373270071,A,69.23156352077085,A,1.0,114.22064766172812,6.345591536762673,0.025382366147050694
maximdanilchenko/aiohttp-apispec,https://github.com/maximdanilchenko/aiohttp-apispec.git,v1.0.1,2019-02-16,954,691,9,0,1,2,2,A,55.57439651836734,A,71.46920515136013,A,1.0,68.53238859703687,3.8073549220576037,0.022844129532345624
maximdanilchenko/aiohttp-apispec,https://github.com/maximdanilchenko/aiohttp-apispec.git,v1.0.2,2019-02-19,955,692,9,0,1,2,2,A,55.57439651836734,A,71.46920515136013,A,1.0,68.53238859703687,3.8073549220576037,0.022844129532345624
maximdanilchenko/aiohttp-apispec,https://github.com/maximdanilchenko/aiohttp-apispec.git,v1.1.0,2019-03-06,998,725,9,0,1,2,2,A,55.57439651836734,A,71.46920515136013,A,1.0,68.53238859703687,3.8073549220576037,0.022844129532345624
maximdanilchenko/aiohttp-apispec,https://github.com/maximdanilchenko/aiohttp-apispec.git,v1.1.1,2019-03-07,998,725,9,0,1,2,2,A,55.57439651836734,A,71.46920515136013,A,1.0,68.53238859703687,3.8073549220576037,0.022844129532345624
maximdanilchenko/aiohttp-apispec,https://github.com/maximdanilchenko/aiohttp-apispec.git,v1.1.2,2019-03-12,998,725,9,0,1,2,2,A,55.57439651836734,A,71.46920515136013,A,1.0,68.53238859703687,3.8073549220576037,0.022844129532345624
maximdanilchenko/aiohttp-apispec,https://github.com/maximdanilchenko/aiohttp-apispec.git,v1.2.1,2019-05-31,1122,814,13,0,2,3,2,A,71.86923788828112,A,83.27465730529038,A,0.5,2.3774437510817346,0.1320802083934297,0.0015849625007211565
maximdanilchenko/aiohttp-apispec,https://github.com/maximdanilchenko/aiohttp-apispec.git,v1.3.0,2019-06-10,1134,825,13,0,2,3,2,A,71.86923788828112,A,79.86046568624306,A,0.5,2.3774437510817346,0.1320802083934297,0.0015849625007211565
maximdanilchenko/aiohttp-apispec,https://github.com/maximdanilchenko/aiohttp-apispec.git,v1.5.0,2019-09-24,1155,838,13,0,2,3,2,A,71.86923788828112,A,79.86046568624306,A,0.5,2.3774437510817346,0.1320802083934297,0.0015849625007211565
maximdanilchenko/aiohttp-apispec,https://github.com/maximdanilchenko/aiohttp-apispec.git,v2.2.0,2020-02-19,1262,923,15,0,2,4,2,A,71.86923788828112,A,87.43151654414046,A,0.5,3.1699250014423126,0.17610694452457293,0.002113283334294875
maximdanilchenko/aiohttp-apispec,https://github.com/maximdanilchenko/aiohttp-apispec.git,v2.2.1,2020-02-28,1262,923,15,0,2,4,2,A,71.86923788828112,A,87.43151654414046,A,0.5,3.1699250014423126,0.17610694452457293,0.002113283334294875
