nameWithOwner,url,tagName,publishedAt,totalLoc,totalSloc,validFiles,invalidFiles,filesNotRead,filesNoMetric,cc,ccRank,miMultiFalse,miMultiFalseRank,miMultiTrue,miMultiTrueRank,difficulty,effort,timeHas,bugs
pypa/auditwheel,https://github.com/pypa/auditwheel.git,16,2020-05-11,3266,2118,35,0,3,8,3,A,65.414526095638,A,70.44404409360986,A,1.5,74.30169903639559,4.1278721686886435,0.01
pypa/auditwheel,https://github.com/pypa/auditwheel.git,1.4,2016-05-25,1986,1189,20,0,1,3,4,A,66.16565797932873,A,71.54180565117835,A,2.2666666666666666,113.82894759353168,6.323830421862871,0.01915241811417924
pypa/auditwheel,https://github.com/pypa/auditwheel.git,1.6.1,2017-05-02,2040,1232,22,0,1,3,3,A,67.15001128624309,A,71.43389702250757,A,2.2666666666666666,113.82894759353168,6.323830421862871,0.01915241811417924
pypa/auditwheel,https://github.com/pypa/auditwheel.git,1.6,2017-05-24,1986,1189,20,0,1,3,4,A,66.16565797932873,A,71.54180565117835,A,2.2666666666666666,113.82894759353168,6.323830421862871,0.01915241811417924
pypa/auditwheel,https://github.com/pypa/auditwheel.git,1.7,2017-05-26,2045,1237,22,0,1,3,3,A,66.16565797932873,A,71.54180565117835,A,2.416666666666667,113.82894759353168,6.323830421862871,0.01915241811417924
pypa/auditwheel,https://github.com/pypa/auditwheel.git,1.8,2017-12-28,2050,1242,22,0,1,3,3,A,66.16565797932873,A,71.54180565117835,A,2.5,127.63141055105449,7.090633919503027,0.01969824583501603
pypa/auditwheel,https://github.com/pypa/auditwheel.git,1.9,2018-07-04,2105,1282,24,0,1,4,3,A,68.59231186673443,A,71.62455640036897,A,2.416666666666667,80.27351680862662,4.4596398227014795,0.014455114008976196
pypa/auditwheel,https://github.com/pypa/auditwheel.git,1.10rc1,2018-10-27,2182,1328,24,0,1,4,3,A,68.59231186673443,A,71.54402371717637,A,2.416666666666667,80.27351680862662,4.4596398227014795,0.014455114008976196
pypa/auditwheel,https://github.com/pypa/auditwheel.git,1.10,2018-11-17,2182,1328,24,0,1,4,3,A,68.59231186673443,A,71.54402371717637,A,2.416666666666667,80.27351680862662,4.4596398227014795,0.014455114008976196
pypa/auditwheel,https://github.com/pypa/auditwheel.git,2.0rc1,2018-11-18,2321,1433,25,0,1,4,3,A,68.76782142671145,A,71.45979042223188,A,2.5,74.30169903639559,4.1278721686886435,0.009509775004326938
pypa/auditwheel,https://github.com/pypa/auditwheel.git,2.0,2019-01-24,2321,1433,25,0,1,4,3,A,68.76782142671145,A,71.45979042223188,A,2.5,74.30169903639559,4.1278721686886435,0.009509775004326938
pypa/auditwheel,https://github.com/pypa/auditwheel.git,2.1,2019-07-28,3114,1991,33,0,3,6,3,A,63.74472996943002,A,72.20023939505722,A,1.5517241379310345,76.10749561002055,4.228194200556697,0.012684582601670092
pypa/auditwheel,https://github.com/pypa/auditwheel.git,2.1.1,2019-10-08,3068,1949,33,0,3,6,3,A,65.41331832371687,A,72.20023939505722,A,1.5,74.30169903639559,4.1278721686886435,0.01
pypa/auditwheel,https://github.com/pypa/auditwheel.git,3.0.0.0rc1,2019-11-07,3093,1973,33,0,3,6,3,A,65.41331832371687,A,72.20023939505722,A,1.5,74.30169903639559,4.1278721686886435,0.01
pypa/auditwheel,https://github.com/pypa/auditwheel.git,3.0.0,2020-01-11,3125,2005,33,0,3,6,3,A,65.41331832371687,A,70.44404409360986,A,1.5,74.30169903639559,4.1278721686886435,0.01
pypa/auditwheel,https://github.com/pypa/auditwheel.git,3.1.0,2020-01-29,3207,2081,33,0,3,8,3,A,65.41331832371687,A,70.44404409360986,A,1.5,74.30169903639559,4.1278721686886435,0.01
pypa/auditwheel,https://github.com/pypa/auditwheel.git,3.1.1,2020-04-25,3267,2119,35,0,3,8,3,A,65.414526095638,A,70.44404409360986,A,1.5,74.30169903639559,4.1278721686886435,0.01
