nameWithOwner,url,tagName,publishedAt,totalLoc,totalSloc,validFiles,invalidFiles,filesNotRead,filesNoMetric,cc,ccRank,miMultiFalse,miMultiFalseRank,miMultiTrue,miMultiTrueRank,difficulty,effort,timeHas,bugs
pyrogram/pyrogram,https://github.com/pyrogram/pyrogram.git,27,2020-05-13,31306,18546,240,0,0,39,3,A,100.0,A,93.8531774151353,A,0.5,1.0,0.05555555555555555,0.0006666666666666666
pyrogram/pyrogram,https://github.com/pyrogram/pyrogram.git,v0.4.0,2018-01-21,4656,2654,36,0,0,19,2,A,86.91878433920783,A,86.91878433920783,A,1.2666666666666666,33.15971657911106,1.8422064766172812,0.008211032383086406
pyrogram/pyrogram,https://github.com/pyrogram/pyrogram.git,v0.4.2,2018-01-21,4771,2709,36,0,0,19,2,A,86.91878433920783,A,86.91878433920783,A,1.2666666666666666,33.15971657911106,1.8422064766172812,0.008211032383086406
pyrogram/pyrogram,https://github.com/pyrogram/pyrogram.git,v0.5.0,2018-01-30,5097,2877,39,0,0,19,2,A,87.42598789040335,A,87.42598789040335,A,1.2,30.319433158222125,1.6844129532345624,0.008
pyrogram/pyrogram,https://github.com/pyrogram/pyrogram.git,v0.6.0,2018-02-15,11026,9621,40,0,0,20,2,A,90.46591191632288,A,90.46591191632288,A,1.0,17.042599881712917,0.9468111045396064,0.004906890595608518
pyrogram/pyrogram,https://github.com/pyrogram/pyrogram.git,v0.6.1,2018-02-17,11022,9637,39,0,0,20,2,A,93.46205547802147,A,93.46205547802147,A,1.0,18.575424759098897,1.0319680421721609,0.004643856189774725
pyrogram/pyrogram,https://github.com/pyrogram/pyrogram.git,v0.6.2,2018-02-27,11286,9759,44,0,0,24,2,A,93.53604262582104,A,94.37488072367961,A,0.55,6.993542112759273,0.3885301173755151,0.0027274213294333797
pyrogram/pyrogram,https://github.com/pyrogram/pyrogram.git,v0.6.3,2018-03-14,11459,9895,45,0,0,24,2,A,93.46205547802147,A,93.5114754967692,A,0.5,6.965784284662087,0.3869880158145604,0.0038698801581456034
pyrogram/pyrogram,https://github.com/pyrogram/pyrogram.git,v0.6.5,2018-03-27,11514,9929,46,0,0,24,2,A,92.80293435865921,A,93.48676548739533,A,0.55,9.287712379549449,0.5159840210860804,0.0042568681739601644
pyrogram/pyrogram,https://github.com/pyrogram/pyrogram.git,v0.7.1,2018-04-18,12984,10869,55,0,0,27,2,A,93.46205547802147,A,93.46205547802147,A,0.6,11.60964047443681,0.6449800263576005,0.0038698801581456034
pyrogram/pyrogram,https://github.com/pyrogram/pyrogram.git,v0.7.2,2018-05-02,15145,11640,78,0,0,29,2,A,100.0,A,100.0,A,0.0,0.0,0.0,0.0
pyrogram/pyrogram,https://github.com/pyrogram/pyrogram.git,v0.7.3,2018-05-03,15149,11643,78,0,0,29,2,A,100.0,A,100.0,A,0.0,0.0,0.0,0.0
pyrogram/pyrogram,https://github.com/pyrogram/pyrogram.git,v0.7.4,2018-05-13,19718,13548,136,0,0,31,2,A,100.0,A,100.0,A,0.0,0.0,0.0,0.0
pyrogram/pyrogram,https://github.com/pyrogram/pyrogram.git,v0.7.5,2018-06-27,20827,14011,144,0,0,31,2,A,100.0,A,100.0,A,0.0,0.0,0.0,0.0
pyrogram/pyrogram,https://github.com/pyrogram/pyrogram.git,v0.8.0,2018-09-21,22831,15025,165,0,0,34,2,A,100.0,A,100.0,A,0,0,0.0,0.0
pyrogram/pyrogram,https://github.com/pyrogram/pyrogram.git,v0.9.0,2018-11-03,23223,15196,169,0,0,34,2,A,100.0,A,100.0,A,0,0,0.0,0.0
pyrogram/pyrogram,https://github.com/pyrogram/pyrogram.git,v0.9.1,2018-11-04,23209,15182,169,0,0,34,2,A,100.0,A,100.0,A,0,0,0.0,0.0
pyrogram/pyrogram,https://github.com/pyrogram/pyrogram.git,v0.9.3,2018-11-13,23240,15119,169,0,0,34,2,A,100.0,A,100.0,A,0,0,0.0,0.0
pyrogram/pyrogram,https://github.com/pyrogram/pyrogram.git,v0.10.2,2018-12-31,24148,15622,176,0,0,34,3,A,99.11041287266892,A,93.98455163362891,A,0.5,2.3774437510817346,0.1320802083934297,0.0015849625007211565
pyrogram/pyrogram,https://github.com/pyrogram/pyrogram.git,v0.10.3,2019-01-03,24187,15637,177,0,0,34,2,A,99.17663890237498,A,94.35907349363721,A,0.5,2.3774437510817346,0.1320802083934297,0.0015849625007211565
pyrogram/pyrogram,https://github.com/pyrogram/pyrogram.git,v0.11.0,2019-02-04,25243,16102,188,0,0,34,3,A,99.43042190139892,A,94.65834637005946,A,0.5,2.3774437510817346,0.1320802083934297,0.0015849625007211565
pyrogram/pyrogram,https://github.com/pyrogram/pyrogram.git,v0.12.0,2019-04-14,30370,18065,221,0,0,38,2,A,100.0,A,100.0,A,0,0,0.0,0.0
pyrogram/pyrogram,https://github.com/pyrogram/pyrogram.git,v0.13.0,2019-05-25,30679,18230,224,0,0,38,2,A,100.0,A,97.57459087484663,A,0.5,1.0,0.05555555555555555,0.0006666666666666666
pyrogram/pyrogram,https://github.com/pyrogram/pyrogram.git,v0.14.1,2019-06-07,31064,18258,232,0,0,39,2,A,100.0,A,98.23630103748944,A,0.5,1.0,0.05555555555555555,0.0006666666666666666
pyrogram/pyrogram,https://github.com/pyrogram/pyrogram.git,v0.15.1,2019-07-01,31065,18479,220,0,0,40,3,A,99.9964550721598,A,96.48044530373957,A,0.5,2.3774437510817346,0.1320802083934297,0.0015849625007211565
pyrogram/pyrogram,https://github.com/pyrogram/pyrogram.git,v0.16.0,2019-09-25,30400,18245,231,0,0,39,3,A,100.0,A,94.97061883849027,A,0.5,1.0,0.05555555555555555,0.0006666666666666666
pyrogram/pyrogram,https://github.com/pyrogram/pyrogram.git,v0.17.0,2020-04-30,31307,18563,240,0,0,39,3,A,100.0,A,93.8531774151353,A,0.5,1.0,0.05555555555555555,0.0006666666666666666
