nameWithOwner,url,tagName,publishedAt,totalLoc,totalSloc,validFiles,invalidFiles,filesNotRead,filesNoMetric,cc,ccRank,miMultiFalse,miMultiFalseRank,miMultiTrue,miMultiTrueRank,difficulty,effort,timeHas,bugs
samuelcolvin/arq,https://github.com/samuelcolvin/arq.git,47,2020-05-13,2545,1858,22,0,1,7,2,A,66.92442951312155,A,70.49607988622687,A,1.0,29.151881261899078,1.619548958994393,0.007339850002884625
samuelcolvin/arq,https://github.com/samuelcolvin/arq.git,v0.0.4,2016-08-05,1575,1177,13,0,1,3,2,A,50.0327146694212,A,55.20572117228504,A,1.75,246.77308520240734,13.709615844578186,0.042792983340064136
samuelcolvin/arq,https://github.com/samuelcolvin/arq.git,v0.0.5,2016-08-11,1750,1329,16,0,2,3,2,A,56.93722717809164,A,56.93722717809164,A,1.5,86.27977689371401,4.793320938539668,0.02298842904947787
samuelcolvin/arq,https://github.com/samuelcolvin/arq.git,v0.0.6,2016-08-14,2331,1577,18,0,2,4,2,A,59.08807149567024,A,64.51558501271164,A,2.25,279.81255533195497,15.54514196288639,0.04022155653474788
samuelcolvin/arq,https://github.com/samuelcolvin/arq.git,v0.1.0,2016-12-06,2192,1490,18,0,2,4,2,A,60.20550976790313,A,65.6326617246997,A,2.25,279.81255533195497,15.54514196288639,0.04022155653474788
samuelcolvin/arq,https://github.com/samuelcolvin/arq.git,v0.2.0,2016-12-09,2223,1513,18,0,2,4,2,A,59.07322082244775,A,64.33758654666732,A,2.25,319.4843055410906,17.749128085616142,0.045966364684072086
samuelcolvin/arq,https://github.com/samuelcolvin/arq.git,v0.3,2017-01-19,2120,1440,18,0,2,5,2,A,60.20550976790313,A,67.22034566278292,A,2.25,258.2675703274465,14.348198351524806,0.03993072835269423
samuelcolvin/arq,https://github.com/samuelcolvin/arq.git,v0.3.1,2017-01-20,2184,1487,18,0,2,5,2,A,60.20550976790313,A,67.22034566278292,A,2.25,283.484425799034,15.749134766613,0.03993072835269423
samuelcolvin/arq,https://github.com/samuelcolvin/arq.git,v0.3.2,2017-01-24,2183,1486,18,0,2,5,2,A,60.20550976790313,A,67.22034566278292,A,2.25,283.484425799034,15.749134766613,0.03993072835269423
samuelcolvin/arq,https://github.com/samuelcolvin/arq.git,v0.4,2017-02-10,2235,1516,18,0,2,5,2,A,59.775442802263186,A,67.22034566278292,A,2.25,259.13646045425446,14.396470025236361,0.03568535423034288
samuelcolvin/arq,https://github.com/samuelcolvin/arq.git,v0.4.1,2017-02-11,2280,1544,18,0,2,5,2,A,58.94998216004639,A,66.39861761470024,A,2.35,283.484425799034,15.749134766613,0.03993072835269423
samuelcolvin/arq,https://github.com/samuelcolvin/arq.git,v0.5,2017-02-20,2435,1646,19,0,2,5,2,A,59.91867175011985,A,65.30258038823953,A,2.7,332.8421251514428,18.491229175080157,0.04179470570797252
