nameWithOwner,url,tagName,publishedAt,totalLoc,totalSloc,validFiles,invalidFiles,filesNotRead,filesNoMetric,cc,ccRank,miMultiFalse,miMultiFalseRank,miMultiTrue,miMultiTrueRank,difficulty,effort,timeHas,bugs
simonw/datasette,https://github.com/simonw/datasette.git,44,2020-05-13,12207,9861,43,0,3,6,3,A,48.997019591453856,A,48.997019591453856,A,2.175438596491228,357.2367653799337,19.846486965551872,0.056085807424005374
simonw/datasette,https://github.com/simonw/datasette.git,0.12,2017-11-16,1404,1209,5,0,0,4,3,A,41.103704403134074,A,41.103704403134074,A,4.352564102564102,1729.149174901515,96.06384305008416,0.10617582652904038
simonw/datasette,https://github.com/simonw/datasette.git,0.13,2017-11-25,2260,1940,6,0,0,4,3,A,37.521183538681,A,39.15630361542652,A,3.727272727272727,2122.2734050506515,117.90407805836952,0.11886032854308982
simonw/datasette,https://github.com/simonw/datasette.git,0.14,2017-12-10,2808,2413,6,0,0,4,4,A,31.39801172351823,A,36.318526063260144,A,4.185714285714286,2488.1693122591196,138.23162845883996,0.14477536699230437
simonw/datasette,https://github.com/simonw/datasette.git,0.15,2018-04-09,2280,1923,7,0,1,5,3,A,39.84994580275454,A,47.593019502212115,A,2.323809523809524,635.7963860035724,35.32202144464291,0.09305865002596161
simonw/datasette,https://github.com/simonw/datasette.git,0.16,2018-04-13,2378,2009,8,0,1,4,3,A,44.43203086319172,A,49.295278067337954,A,1.9686242960579245,465.6972253959605,25.87206807755336,0.07743609377704336
simonw/datasette,https://github.com/simonw/datasette.git,0.18,2018-04-14,2508,2122,8,0,1,4,3,A,44.425945379752,A,49.28176787801734,A,1.9660079051383401,465.6972253959605,25.87206807755336,0.07743609377704336
simonw/datasette,https://github.com/simonw/datasette.git,0.19,2018-04-17,2614,2210,9,0,1,4,3,A,48.971853453296475,A,50.49509300729649,A,1.6363636363636365,295.59806478834867,16.422114710463816,0.061813537528125094
simonw/datasette,https://github.com/simonw/datasette.git,0.20,2018-04-20,2941,2501,9,0,1,4,3,A,48.83706520676019,A,48.83706520676019,A,2.1538461538461537,295.59806478834867,16.422114710463816,0.061813537528125094
simonw/datasette,https://github.com/simonw/datasette.git,0.21,2018-05-05,3213,2747,9,0,1,4,3,A,47.793536251133354,A,47.793536251133354,A,2.1333333333333333,295.59806478834867,16.422114710463816,0.061813537528125094
simonw/datasette,https://github.com/simonw/datasette.git,0.22,2018-05-20,5547,4803,14,0,2,3,3,A,40.570111018011005,A,44.39624267048249,A,2.446239837398374,554.7388175982916,30.81882319990509,0.09224452690344585
simonw/datasette,https://github.com/simonw/datasette.git,0.22.1,2018-05-23,7913,6260,17,0,2,3,3,A,35.504048316378054,A,41.21371075358561,A,3.5217391304347827,970.6246028264891,53.92358904591606,0.11323866587835398
simonw/datasette,https://github.com/simonw/datasette.git,0.23,2018-06-18,8877,7066,21,0,2,3,3,A,45.06973662139472,A,45.06973662139472,A,2.111111111111111,440.9262648261504,24.4959036014528,0.07902884120328244
simonw/datasette,https://github.com/simonw/datasette.git,0.23.1,2018-06-21,9127,7300,21,0,2,3,3,A,44.58448374949124,A,44.58448374949124,A,2.111111111111111,440.9262648261504,24.4959036014528,0.07902884120328244
simonw/datasette,https://github.com/simonw/datasette.git,0.23.2,2018-07-08,9180,7343,21,0,2,3,3,A,44.19927919457845,A,44.19927919457845,A,2.111111111111111,440.9262648261504,24.4959036014528,0.07902884120328244
simonw/datasette,https://github.com/simonw/datasette.git,0.24,2018-07-24,9422,7550,21,0,2,3,3,A,44.14871019747955,A,44.14871019747955,A,2.111111111111111,440.9262648261504,24.4959036014528,0.09689904067914124
simonw/datasette,https://github.com/simonw/datasette.git,0.25,2018-09-19,10065,8120,27,0,3,4,3,A,51.49608639881446,A,51.49608639881446,A,1.5,240.80930740641406,13.378294855911893,0.04013488456773568
simonw/datasette,https://github.com/simonw/datasette.git,0.25.1,2018-12-16,10071,8126,27,0,3,4,3,A,51.49608639881446,A,51.49608639881446,A,1.5,240.80930740641406,13.378294855911893,0.04013488456773568
simonw/datasette,https://github.com/simonw/datasette.git,0.25.2,2018-12-16,10078,8131,27,0,3,4,3,A,51.49608639881446,A,51.49608639881446,A,1.5,240.80930740641406,13.378294855911893,0.04013488456773568
simonw/datasette,https://github.com/simonw/datasette.git,0.26,2019-01-10,10092,8145,27,0,3,4,3,A,51.49608639881446,A,51.49608639881446,A,1.5,240.80930740641406,13.378294855911893,0.04013488456773568
simonw/datasette,https://github.com/simonw/datasette.git,0.26.1,2019-01-28,10096,8149,27,0,3,4,3,A,51.49608639881446,A,51.49608639881446,A,1.5,240.80930740641406,13.378294855911893,0.04013488456773568
simonw/datasette,https://github.com/simonw/datasette.git,0.27,2019-02-06,10143,8190,27,0,3,4,3,A,51.49608639881446,A,51.49608639881446,A,1.5,240.80930740641406,13.378294855911893,0.04013488456773568
simonw/datasette,https://github.com/simonw/datasette.git,0.28,2019-05-19,10623,8518,38,0,3,5,3,A,52.925060308297915,A,52.925060308297915,A,2.2976190476190474,279.3876051018893,15.521533616771624,0.039089632083266046
simonw/datasette,https://github.com/simonw/datasette.git,0.29,2019-07-08,11990,9706,41,0,3,5,3,A,48.58027123779102,A,48.58027123779102,A,2.5,347.8356662537092,19.32420368076162,0.05013802366017166
simonw/datasette,https://github.com/simonw/datasette.git,0.29.1,2019-07-14,11996,9712,41,0,3,6,3,A,48.58027123779102,A,48.58027123779102,A,2.5,347.8356662537092,19.32420368076162,0.05013802366017166
simonw/datasette,https://github.com/simonw/datasette.git,0.29.2,2019-09-03,12000,9716,41,0,3,6,3,A,48.58027123779102,A,48.58027123779102,A,2.5,347.8356662537092,19.32420368076162,0.05013802366017166
simonw/datasette,https://github.com/simonw/datasette.git,0.29.3,2019-10-18,12003,9718,41,0,3,6,3,A,48.58027123779102,A,48.58027123779102,A,2.5,347.8356662537092,19.32420368076162,0.05013802366017166
simonw/datasette,https://github.com/simonw/datasette.git,0.30,2019-10-30,12050,9758,41,0,3,6,3,A,48.58027123779102,A,48.58027123779102,A,2.5,347.8356662537092,19.32420368076162,0.05013802366017166
simonw/datasette,https://github.com/simonw/datasette.git,0.30.1,2019-11-02,12065,9772,41,0,3,6,3,A,48.58027123779102,A,48.58027123779102,A,2.5,347.8356662537092,19.32420368076162,0.05013802366017166
simonw/datasette,https://github.com/simonw/datasette.git,0.30.2,2019-11-02,12160,9859,41,0,3,6,3,A,48.58027123779102,A,48.58027123779102,A,2.5,347.8356662537092,19.32420368076162,0.05013802366017166
simonw/datasette,https://github.com/simonw/datasette.git,0.31,2019-11-13,12299,9982,41,0,3,6,3,A,48.32736144859814,A,48.32736144859814,A,2.5,347.8356662537092,19.32420368076162,0.05108241808752197
simonw/datasette,https://github.com/simonw/datasette.git,0.31.1,2019-11-13,12299,9982,41,0,3,6,3,A,48.32736144859814,A,48.32736144859814,A,2.5,347.8356662537092,19.32420368076162,0.05108241808752197
simonw/datasette,https://github.com/simonw/datasette.git,0.31.2,2019-11-13,12307,9990,41,0,3,6,3,A,48.997019591453856,A,48.997019591453856,A,2.5,347.8356662537092,19.32420368076162,0.05108241808752197
simonw/datasette,https://github.com/simonw/datasette.git,0.32,2019-11-14,12333,10014,41,0,3,6,3,A,48.997019591453856,A,48.997019591453856,A,2.5,347.8356662537092,19.32420368076162,0.05108241808752197
simonw/datasette,https://github.com/simonw/datasette.git,0.33,2019-12-22,11346,9172,40,0,3,7,3,A,49.06479271461829,A,49.06479271461829,A,2.2976190476190474,334.4625756876379,18.581254204868774,0.04530663744626541
simonw/datasette,https://github.com/simonw/datasette.git,0.34,2020-01-30,11449,9256,42,0,3,7,3,A,50.370253269180914,A,50.370253269180914,A,1.8683737646001797,311.38616984305395,17.299231657947445,0.039214104829497554
simonw/datasette,https://github.com/simonw/datasette.git,0.35,2020-02-05,11478,9285,42,0,3,7,3,A,50.370253269180914,A,50.370253269180914,A,1.8683737646001797,311.38616984305395,17.299231657947445,0.039214104829497554
simonw/datasette,https://github.com/simonw/datasette.git,0.36,2020-02-22,11597,9380,42,0,3,7,3,A,50.370253269180914,A,50.370253269180914,A,2.1385281385281383,311.38616984305395,17.299231657947445,0.039214104829497554
simonw/datasette,https://github.com/simonw/datasette.git,0.37,2020-02-26,11745,9500,42,0,3,7,3,A,49.06479271461829,A,49.06479271461829,A,2.1385281385281383,311.38616984305395,17.299231657947445,0.039214104829497554
simonw/datasette,https://github.com/simonw/datasette.git,0.37.1,2020-03-03,11750,9505,42,0,3,7,3,A,49.06479271461829,A,49.06479271461829,A,2.1385281385281383,311.38616984305395,17.299231657947445,0.039214104829497554
simonw/datasette,https://github.com/simonw/datasette.git,0.38,2020-03-08,11837,9578,43,0,3,6,3,A,49.13256583778273,A,49.13256583778273,A,2.0952380952380953,301.68285456454123,16.76015858691896,0.03953085680500885
simonw/datasette,https://github.com/simonw/datasette.git,0.39,2020-03-25,11906,9629,43,0,3,6,3,A,49.13256583778273,A,49.13256583778273,A,2.0952380952380953,301.68285456454123,16.76015858691896,0.03953085680500885
simonw/datasette,https://github.com/simonw/datasette.git,0.40,2020-04-22,11753,9485,41,0,3,6,3,A,51.6079407005791,A,51.6079407005791,A,2.175438596491228,301.68285456454123,16.76015858691896,0.054838463378312746
simonw/datasette,https://github.com/simonw/datasette.git,0.41,2020-05-06,12140,9808,43,0,3,6,3,A,48.997019591453856,A,48.997019591453856,A,2.175438596491228,357.2367653799337,19.846486965551872,0.056085807424005374
