nameWithOwner,url,tagName,publishedAt,totalLoc,totalSloc,validFiles,invalidFiles,filesNotRead,filesNoMetric,cc,ccRank,miMultiFalse,miMultiFalseRank,miMultiTrue,miMultiTrueRank,difficulty,effort,timeHas,bugs
vmware/vsphere-automation-sdk-python,https://github.com/vmware/vsphere-automation-sdk-python.git,9,2020-05-04,18746,11297,134,0,1,63,2,A,65.38219554066288,A,77.75176230273053,A,1.0931677018633539,36.0,2.0,0.008
vmware/vsphere-automation-sdk-python,https://github.com/vmware/vsphere-automation-sdk-python.git,v6.6.1,2017-08-29,10607,6494,74,0,1,24,2,A,61.96241323702827,A,75.54407832895032,A,1.5,36.0,2.0,0.008565139008495423
vmware/vsphere-automation-sdk-python,https://github.com/vmware/vsphere-automation-sdk-python.git,v6.6.2,2017-12-06,11323,6928,80,0,3,29,2,A,62.19183137617384,A,76.07317372281094,A,1.3035714285714286,36.0,2.0,0.008256868173960163
vmware/vsphere-automation-sdk-python,https://github.com/vmware/vsphere-automation-sdk-python.git,v6.7.0,2018-04-17,13867,8422,93,0,1,32,2,A,63.16326912368281,A,76.71425773408383,A,1.25,36.0,2.0,0.00861654166907052
vmware/vsphere-automation-sdk-python,https://github.com/vmware/vsphere-automation-sdk-python.git,6.8.0,2018-05-16,14348,8724,96,0,1,32,2,A,63.461631889631576,A,76.80796097890786,A,1.225,36.0,2.0,0.008565139008495423
vmware/vsphere-automation-sdk-python,https://github.com/vmware/vsphere-automation-sdk-python.git,v6.8.1,2018-09-21,14761,8981,99,0,1,32,2,A,63.16326912368281,A,76.71425773408383,A,1.25,36.0,2.0,0.00861654166907052
vmware/vsphere-automation-sdk-python,https://github.com/vmware/vsphere-automation-sdk-python.git,v6.8.7,2019-05-31,15638,9498,106,0,1,42,2,A,63.75999465558035,A,76.92808483358938,A,1.1547619047619047,36.0,2.0,0.008
vmware/vsphere-automation-sdk-python,https://github.com/vmware/vsphere-automation-sdk-python.git,v6.9.1,2019-09-17,16999,10355,116,0,1,48,2,A,63.75999465558035,A,76.98032756136037,A,1.0931677018633539,36.0,2.0,0.008
vmware/vsphere-automation-sdk-python,https://github.com/vmware/vsphere-automation-sdk-python.git,7.0.0.0,2020-02-05,18451,11190,128,0,1,56,2,A,64.09323748319807,A,77.21474707518396,A,1.1833333333333333,36.0,2.0,0.008
vmware/vsphere-automation-sdk-python,https://github.com/vmware/vsphere-automation-sdk-python.git,7.0.0.1,2020-04-14,18746,11297,134,0,1,63,2,A,65.38219554066288,A,77.75176230273053,A,1.0931677018633539,36.0,2.0,0.008
