nameWithOwner,url,tagName,publishedAt,totalLoc,totalSloc,validFiles,invalidFiles,filesNotRead,filesNoMetric,cc,ccRank,miMultiFalse,miMultiFalseRank,miMultiTrue,miMultiTrueRank,difficulty,effort,timeHas,bugs
wkentaro/labelme,https://github.com/wkentaro/labelme.git,37,2020-05-13,3740,2994,34,1,3,6,3,A,57.52755695364967,A,57.52755695364967,A,2.4871794871794872,281.0851655928214,15.615842532934522,0.03322175718726329
wkentaro/labelme,https://github.com/wkentaro/labelme.git,v2.10.0,2018-04-08,2104,1622,20,0,0,4,3,A,58.841048339670735,A,58.841048339670735,A,1.7630769230769232,128.01955000865388,7.112197222702994,0.028
wkentaro/labelme,https://github.com/wkentaro/labelme.git,v2.10.4,2018-04-08,2106,1624,20,0,0,4,3,A,58.841048339670735,A,58.841048339670735,A,1.7630769230769232,128.01955000865388,7.112197222702994,0.028
wkentaro/labelme,https://github.com/wkentaro/labelme.git,v2.11.0,2018-04-12,2137,1649,20,0,0,4,3,A,58.261625959545256,A,58.261625959545256,A,1.7630769230769232,135.3272423163462,7.5181801286858985,0.03082642504481195
wkentaro/labelme,https://github.com/wkentaro/labelme.git,v2.12.0,2018-04-24,2123,1623,21,0,0,5,4,A,57.672081882338425,A,57.672081882338425,A,1.8461538461538463,184.6153846153846,10.256410256410255,0.02861223988875238
wkentaro/labelme,https://github.com/wkentaro/labelme.git,v2.13.0,2018-05-02,2152,1640,21,0,0,5,4,A,57.35125146617413,A,57.35125146617413,A,2.0,184.87908851193845,10.27106047288547,0.03333333333333333
wkentaro/labelme,https://github.com/wkentaro/labelme.git,v2.14.0,2018-05-11,2177,1661,21,0,0,5,4,A,58.41164330140553,A,58.41164330140553,A,2.0,184.87908851193845,10.27106047288547,0.03333333333333333
wkentaro/labelme,https://github.com/wkentaro/labelme.git,v3.6.6,2018-12-21,2941,2314,28,1,0,7,4,A,55.04598150231519,A,55.04598150231519,A,2.65625,379.6485227193822,21.091584595521233,0.034675495551681305
wkentaro/labelme,https://github.com/wkentaro/labelme.git,v3.6.7,2018-12-21,2941,2314,28,1,0,7,4,A,55.04598150231519,A,55.04598150231519,A,2.65625,379.6485227193822,21.091584595521233,0.034675495551681305
wkentaro/labelme,https://github.com/wkentaro/labelme.git,v3.6.8,2018-12-21,2941,2314,28,1,0,7,4,A,55.04598150231519,A,55.04598150231519,A,2.65625,379.6485227193822,21.091584595521233,0.034675495551681305
wkentaro/labelme,https://github.com/wkentaro/labelme.git,v3.6.9,2018-12-21,2941,2314,28,1,0,7,4,A,55.04598150231519,A,55.04598150231519,A,2.65625,379.6485227193822,21.091584595521233,0.034675495551681305
wkentaro/labelme,https://github.com/wkentaro/labelme.git,v3.6.10,2018-12-21,2941,2314,28,1,0,7,4,A,55.04598150231519,A,55.04598150231519,A,2.65625,379.6485227193822,21.091584595521233,0.034675495551681305
wkentaro/labelme,https://github.com/wkentaro/labelme.git,v3.6.11,2018-12-25,2938,2313,28,1,0,7,4,A,55.04598150231519,A,55.04598150231519,A,2.65625,379.6485227193822,21.091584595521233,0.034675495551681305
wkentaro/labelme,https://github.com/wkentaro/labelme.git,v3.6.12,2018-12-29,2938,2313,28,1,0,7,4,A,55.04598150231519,A,55.04598150231519,A,2.65625,379.6485227193822,21.091584595521233,0.034675495551681305
wkentaro/labelme,https://github.com/wkentaro/labelme.git,v3.6.13,2019-01-02,3114,2457,29,1,0,6,4,A,54.88430768058555,A,54.88430768058555,A,2.8125,400.31280013846197,22.23960000769233,0.03516201536047667
wkentaro/labelme,https://github.com/wkentaro/labelme.git,v3.6.16,2019-01-02,2938,2313,28,1,0,7,4,A,55.04598150231519,A,55.04598150231519,A,2.65625,379.6485227193822,21.091584595521233,0.034675495551681305
