nameWithOwner,url,tagName,publishedAt,totalLoc,totalSloc,validFiles,invalidFiles,filesNotRead,filesNoMetric,cc,ccRank,miMultiFalse,miMultiFalseRank,miMultiTrue,miMultiTrueRank,difficulty,effort,timeHas,bugs
elceef/dnstwist,https://github.com/elceef/dnstwist.git,10,2020-05-13,109,79,1,1,0,2,2,A,53.20172588917564,A,53.20172588917564,A,2.0,114.22064766172811,6.345591536762672,0.019036774610288017
elceef/dnstwist,https://github.com/elceef/dnstwist.git,v1.00,2015-10-24,-1,-1,-1,-1,-1,-1,-1,Z,-1,Z,-1,Z,-1,-1,-1,-1
elceef/dnstwist,https://github.com/elceef/dnstwist.git,v1.01,2015-10-28,-1,-1,-1,-1,-1,-1,-1,Z,-1,Z,-1,Z,-1,-1,-1,-1
elceef/dnstwist,https://github.com/elceef/dnstwist.git,v1.02,2016-01-11,-1,-1,-1,-1,-1,-1,-1,Z,-1,Z,-1,Z,-1,-1,-1,-1
elceef/dnstwist,https://github.com/elceef/dnstwist.git,20190425,2019-04-26,-1,-1,-1,-1,-1,-1,-1,Z,-1,Z,-1,Z,-1,-1,-1,-1
elceef/dnstwist,https://github.com/elceef/dnstwist.git,20190518,2019-05-18,-1,-1,-1,-1,-1,-1,-1,Z,-1,Z,-1,Z,-1,-1,-1,-1
elceef/dnstwist,https://github.com/elceef/dnstwist.git,20190619,2019-06-18,-1,-1,-1,-1,-1,-1,-1,Z,-1,Z,-1,Z,-1,-1,-1,-1
elceef/dnstwist,https://github.com/elceef/dnstwist.git,20190706,2019-07-06,-1,-1,-1,-1,-1,-1,-1,Z,-1,Z,-1,Z,-1,-1,-1,-1
elceef/dnstwist,https://github.com/elceef/dnstwist.git,20200424,2020-04-23,-1,-1,-1,-1,-1,-1,-1,Z,-1,Z,-1,Z,-1,-1,-1,-1
elceef/dnstwist,https://github.com/elceef/dnstwist.git,20200427,2020-04-27,30,17,1,1,0,1,3,A,86.95503852076949,A,86.95503852076949,A,0.5,2.3774437510817346,0.1320802083934297,0.0015849625007211565
elceef/dnstwist,https://github.com/elceef/dnstwist.git,20200429,2020-04-29,30,17,1,1,0,2,3,A,86.95503852076949,A,86.95503852076949,A,0.5,2.3774437510817346,0.1320802083934297,0.0015849625007211565
