nameWithOwner,url,tagName,publishedAt,totalLoc,totalSloc,validFiles,invalidFiles,filesNotRead,filesNoMetric,cc,ccRank,miMultiFalse,miMultiFalseRank,miMultiTrue,miMultiTrueRank,difficulty,effort,timeHas,bugs
GiacomoLaw/Keylogger,https://github.com/GiacomoLaw/Keylogger.git,10,2020-05-13,918,662,4,0,2,3,4,A,55.27423217111354,A,57.90802553601661,A,3.425,1740.6046605076629,96.7002589170924,0.10468790701247209
GiacomoLaw/Keylogger,https://github.com/GiacomoLaw/Keylogger.git,1.0,2016-11-25,-1,-1,-1,-1,-1,-1,-1,Z,-1,Z,-1,Z,-1,-1,-1,-1
GiacomoLaw/Keylogger,https://github.com/GiacomoLaw/Keylogger.git,2.0,2016-11-30,31,13,1,1,0,0,2,A,91.92319943733168,A,91.92319943733168,A,0.5,2.3774437510817346,0.1320802083934297,0.0015849625007211565
GiacomoLaw/Keylogger,https://github.com/GiacomoLaw/Keylogger.git,2.1,2016-12-16,19,13,1,1,0,0,2,A,91.92319943733168,A,91.92319943733168,A,0.5,2.3774437510817346,0.1320802083934297,0.0015849625007211565
GiacomoLaw/Keylogger,https://github.com/GiacomoLaw/Keylogger.git,V2.4,2017-01-22,491,316,2,0,0,0,2,A,66.18548880163165,A,67.3118678948208,A,3.425,1728.4279794405022,96.02377663558346,0.10062901332341852
GiacomoLaw/Keylogger,https://github.com/GiacomoLaw/Keylogger.git,2.5,2017-04-28,491,316,2,0,0,0,2,A,66.18548880163165,A,67.3118678948208,A,3.425,1728.4279794405022,96.02377663558346,0.10062901332341852
GiacomoLaw/Keylogger,https://github.com/GiacomoLaw/Keylogger.git,V2.6,2017-09-13,491,316,2,0,0,0,2,A,66.18548880163165,A,67.3118678948208,A,3.425,1728.4279794405022,96.02377663558346,0.10062901332341852
GiacomoLaw/Keylogger,https://github.com/GiacomoLaw/Keylogger.git,2.6.1,2018-11-14,491,316,2,0,0,0,2,A,66.18548880163165,A,67.3118678948208,A,3.425,1728.4279794405022,96.02377663558346,0.10062901332341852
GiacomoLaw/Keylogger,https://github.com/GiacomoLaw/Keylogger.git,2.7,2018-12-04,451,319,2,0,1,2,4,A,61.40195659984656,A,64.03574996474963,A,3.425,1734.1730919383388,96.34294955212994,0.10254405082269737
GiacomoLaw/Keylogger,https://github.com/GiacomoLaw/Keylogger.git,2.7.2,2018-12-04,457,329,2,0,1,2,4,A,57.28650234223123,A,59.92029570713429,A,3.175,1724.15598408067,95.78644356003721,0.10036597891758473
GiacomoLaw/Keylogger,https://github.com/GiacomoLaw/Keylogger.git,2.7.3,2018-12-20,914,658,4,0,2,3,4,A,57.28650234223123,A,59.92029570713429,A,3.175,1724.15598408067,95.78644356003721,0.10036597891758473
