nameWithOwner,url,tagName,publishedAt,totalLoc,totalSloc,validFiles,invalidFiles,filesNotRead,filesNoMetric,cc,ccRank,miMultiFalse,miMultiFalseRank,miMultiTrue,miMultiTrueRank,difficulty,effort,timeHas,bugs
exxeleron/qPython,https://github.com/exxeleron/qPython.git,16,2020-04-30,5250,3008,20,0,0,3,2,A,53.619996910033706,A,55.87340663579864,A,4.94751513220771,2029.8616729685277,112.77009294269598,0.1283141465027253
exxeleron/qPython,https://github.com/exxeleron/qPython.git,qPython-1.0-Beta3,2014-05-27,1490,921,8,7,0,2,2,A,50.96060713893698,A,50.96060713893698,A,5.389772727272727,3223.581281918887,179.0878489954937,0.20762609381693178
exxeleron/qPython,https://github.com/exxeleron/qPython.git,qPython-1.0-Beta4,2014-06-04,1571,973,9,7,0,1,1,A,53.7887629513871,A,53.7887629513871,A,5.325,2869.09436327996,159.3941312933311,0.19127295755199733
exxeleron/qPython,https://github.com/exxeleron/qPython.git,qPython-1.0-Beta5,2014-10-01,2469,1123,9,10,0,1,1,A,48.95694616061579,A,59.808647619908065,A,5.454545454545454,2778.718293704936,154.3732385391631,0.19176050724786667
exxeleron/qPython,https://github.com/exxeleron/qPython.git,qPython-1.0-Beta6,2014-10-16,2565,1169,9,10,0,1,1,A,48.28129372449442,A,59.48369711168574,A,5.454545454545454,4120.511313051307,228.91729516951708,0.2605562709246536
exxeleron/qPython,https://github.com/exxeleron/qPython.git,qPython-1.0-RC1,2014-10-22,2779,1311,10,11,0,1,2,A,50.82573953613628,A,56.42694122973195,A,5.62957157784744,3482.479577539146,193.47108764106366,0.20054486327398482
exxeleron/qPython,https://github.com/exxeleron/qPython.git,qPython-1.0-RC2,2015-01-19,2806,1336,10,11,0,1,2,A,48.82020042636318,A,54.431700290436105,A,5.684261974584555,3686.9200480986538,204.82889156103633,0.21489296398531849
exxeleron/qPython,https://github.com/exxeleron/qPython.git,qPython-1.0.0-RC3,2015-04-08,2978,1443,11,9,0,2,2,A,49.35910712823194,A,54.96863512736063,A,5.454545454545454,3238.162488883248,179.89791604906932,0.15990925871028386
exxeleron/qPython,https://github.com/exxeleron/qPython.git,qPython-1.0.0,2015-04-10,2983,1446,11,9,0,2,2,A,49.226564489204115,A,54.96863512736063,A,5.454545454545454,3408.98927868726,189.38829326040334,0.16639114336449723
exxeleron/qPython,https://github.com/exxeleron/qPython.git,qPython-1.1.0b1,2015-08-05,4605,2725,17,2,0,3,2,A,48.16730791590172,A,54.96863512736063,A,5.142857142857143,3103.417312264712,172.41207290359512,0.1745649208989586
exxeleron/qPython,https://github.com/exxeleron/qPython.git,qPython-1.0.2,2015-09-03,3001,1458,11,9,0,2,2,A,49.226564489204115,A,54.96863512736063,A,5.64935064935065,3408.98927868726,189.38829326040334,0.16639114336449723
exxeleron/qPython,https://github.com/exxeleron/qPython.git,qPython-1.1.0b3,2015-09-03,4634,2747,17,2,0,3,2,A,48.16730791590172,A,54.96863512736063,A,5.454545454545454,3851.107864468884,213.950436914938,0.1745649208989586
exxeleron/qPython,https://github.com/exxeleron/qPython.git,qPython-1.1.0,2015-11-27,4639,2751,17,2,0,3,2,A,48.16730791590172,A,54.96863512736063,A,5.454545454545454,3851.107864468884,213.950436914938,0.1745649208989586
exxeleron/qPython,https://github.com/exxeleron/qPython.git,qPython-1.2.0b1,2016-01-13,4618,2735,17,2,0,3,2,A,48.16730791590172,A,54.96863512736063,A,5.454545454545454,3851.107864468884,213.950436914938,0.1745649208989586
exxeleron/qPython,https://github.com/exxeleron/qPython.git,qPython-1.2.0,2016-01-22,4715,2782,18,2,0,3,2,A,51.44704379513159,A,56.95813212041449,A,5.29122621564482,3021.7286047781436,167.8738113765635,0.15853795692624295
exxeleron/qPython,https://github.com/exxeleron/qPython.git,qPython-1.2.2,2017-03-01,4772,2845,18,2,0,3,2,A,51.56137912810041,A,55.87340663579864,A,5.29122621564482,3038.716873710019,168.81760409500106,0.15853795692624295
exxeleron/qPython,https://github.com/exxeleron/qPython.git,2.0.0,2019-01-01,5250,3008,20,0,0,3,2,A,53.619996910033706,A,55.87340663579864,A,4.94751513220771,2029.8616729685277,112.77009294269598,0.1283141465027253
