nameWithOwner,url,tagName,publishedAt,totalLoc,totalSloc,validFiles,invalidFiles,filesNotRead,filesNoMetric,cc,ccRank,miMultiFalse,miMultiFalseRank,miMultiTrue,miMultiTrueRank,difficulty,effort,timeHas,bugs
googlesamples/assistant-sdk-python,https://github.com/googlesamples/assistant-sdk-python.git,12,2020-05-12,2757,1859,17,0,0,11,2,A,82.70260176236158,A,82.70260176236158,A,2.0,93.20902501875007,5.178279167708337,0.015534837503125011
googlesamples/assistant-sdk-python,https://github.com/googlesamples/assistant-sdk-python.git,0.3.0,2017-05-17,2124,1395,10,0,1,8,1,A,82.20819198481831,A,82.61552836699121,A,1.25,34.89699375973561,1.938721875540867,0.009254887502163469
googlesamples/assistant-sdk-python,https://github.com/googlesamples/assistant-sdk-python.git,0.3.1,2017-05-26,2124,1395,10,0,1,8,1,A,82.20819198481831,A,82.61552836699121,A,1.25,34.89699375973561,1.938721875540867,0.009254887502163469
googlesamples/assistant-sdk-python,https://github.com/googlesamples/assistant-sdk-python.git,0.3.2,2017-06-06,2124,1395,10,0,1,8,1,A,82.20819198481831,A,82.61552836699121,A,1.25,34.89699375973561,1.938721875540867,0.009254887502163469
googlesamples/assistant-sdk-python,https://github.com/googlesamples/assistant-sdk-python.git,0.3.3,2017-07-20,2124,1395,10,0,1,8,1,A,82.20819198481831,A,82.61552836699121,A,1.25,34.89699375973561,1.938721875540867,0.009254887502163469
googlesamples/assistant-sdk-python,https://github.com/googlesamples/assistant-sdk-python.git,0.4.0,2017-12-20,2489,1637,16,0,1,11,3,A,81.68572705768793,A,81.68572705768793,A,1.8333333333333335,101.92235508987852,5.662353060548806,0.0184807935569469
googlesamples/assistant-sdk-python,https://github.com/googlesamples/assistant-sdk-python.git,0.4.1,2017-12-28,2515,1644,16,0,1,11,3,A,81.68572705768793,A,81.68572705768793,A,1.8333333333333335,101.92235508987852,5.662353060548806,0.0184807935569469
googlesamples/assistant-sdk-python,https://github.com/googlesamples/assistant-sdk-python.git,0.4.2,2018-01-11,2516,1645,16,0,1,11,3,A,81.68572705768793,A,81.68572705768793,A,1.8333333333333335,101.92235508987852,5.662353060548806,0.0184807935569469
googlesamples/assistant-sdk-python,https://github.com/googlesamples/assistant-sdk-python.git,0.4.3,2018-02-21,2600,1721,16,0,1,11,3,A,75.16027049015142,A,77.20124740443802,A,2.0,142.11032383086405,7.8950179906035585,0.020851720638477345
googlesamples/assistant-sdk-python,https://github.com/googlesamples/assistant-sdk-python.git,0.4.4,2018-03-08,2625,1741,16,0,1,11,3,A,75.16027049015142,A,77.20124740443802,A,2.0,142.11032383086405,7.8950179906035585,0.020851720638477345
googlesamples/assistant-sdk-python,https://github.com/googlesamples/assistant-sdk-python.git,0.5.0,2018-05-08,2927,1977,18,0,1,11,3,A,77.63184349422514,A,79.67282040851174,A,2.0384615384615383,131.60451250937504,7.311361806076391,0.01910075208489584
googlesamples/assistant-sdk-python,https://github.com/googlesamples/assistant-sdk-python.git,0.5.1,2018-12-20,2940,1987,18,0,1,11,3,A,77.63184349422514,A,79.67282040851174,A,2.0384615384615383,131.60451250937504,7.311361806076391,0.01910075208489584
googlesamples/assistant-sdk-python,https://github.com/googlesamples/assistant-sdk-python.git,0.6.0,2020-03-04,2757,1859,17,0,0,11,2,A,82.70260176236158,A,82.70260176236158,A,2.0,93.20902501875007,5.178279167708337,0.015534837503125011
