nameWithOwner,url,tagName,publishedAt,totalLoc,totalSloc,validFiles,invalidFiles,filesNotRead,filesNoMetric,cc,ccRank,miMultiFalse,miMultiFalseRank,miMultiTrue,miMultiTrueRank,difficulty,effort,timeHas,bugs
jeromerobert/pdfarranger,https://github.com/jeromerobert/pdfarranger.git,12,2020-05-12,667,450,5,0,1,3,2,A,57.83528949803005,A,61.55791585708205,A,5.769230769230769,1910.2835926453135,106.12686625807298,0.1098375958475161
jeromerobert/pdfarranger,https://github.com/jeromerobert/pdfarranger.git,1.0,2018-11-26,154,103,1,0,1,3,4,A,49.2557359228524,A,58.48784470798203,A,7.597938144329897,10418.61313490906,578.8118408282811,0.4570807209797281
jeromerobert/pdfarranger,https://github.com/jeromerobert/pdfarranger.git,1.1,2018-12-15,154,103,1,0,1,3,4,A,49.2557359228524,A,58.48784470798203,A,7.597938144329897,10418.61313490906,578.8118408282811,0.4570807209797281
jeromerobert/pdfarranger,https://github.com/jeromerobert/pdfarranger.git,1.1.1,2018-12-31,154,103,1,0,1,3,4,A,49.2557359228524,A,58.48784470798203,A,7.597938144329897,10418.61313490906,578.8118408282811,0.4570807209797281
jeromerobert/pdfarranger,https://github.com/jeromerobert/pdfarranger.git,1.2.0,2019-05-08,295,229,2,0,1,3,3,A,47.51140774277449,A,52.1274621353393,A,4.414353687549564,5267.00833625121,292.6115742361783,0.2441679228722981
jeromerobert/pdfarranger,https://github.com/jeromerobert/pdfarranger.git,1.2.1,2019-05-14,294,229,2,0,1,3,3,A,47.00309437612419,A,51.9491736230392,A,4.414353687549564,5267.00833625121,292.6115742361783,0.2441679228722981
jeromerobert/pdfarranger,https://github.com/jeromerobert/pdfarranger.git,1.3.0,2019-07-29,499,351,4,0,1,3,3,A,59.0347348309994,A,59.757347917459754,A,5.077369439071567,1741.804136091834,96.76689644954632,0.10449407599498356
jeromerobert/pdfarranger,https://github.com/jeromerobert/pdfarranger.git,1.3.1,2019-09-21,503,353,4,0,1,3,3,A,59.08969937187991,A,59.727405573160496,A,5.118371212121212,1823.0058724411158,101.27810402450643,0.1077827038863479
jeromerobert/pdfarranger,https://github.com/jeromerobert/pdfarranger.git,1.4.0,2020-01-26,568,386,5,0,1,3,3,A,69.42579721477203,A,72.24830510865885,A,4.090909090909091,441.8181818181818,24.545454545454547,0.041778638250577836
jeromerobert/pdfarranger,https://github.com/jeromerobert/pdfarranger.git,1.4.1,2020-02-09,623,418,5,0,1,3,2,A,58.07918374452867,A,62.16117209115007,A,5.052631578947368,1950.3728932189672,108.35404962327596,0.11229419688230416
jeromerobert/pdfarranger,https://github.com/jeromerobert/pdfarranger.git,1.4.2,2020-03-16,646,436,5,0,1,3,2,A,58.14509417111635,A,62.06801191024247,A,5.052631578947368,1910.2835926453135,106.12686625807298,0.1098375958475161
jeromerobert/pdfarranger,https://github.com/jeromerobert/pdfarranger.git,1.5.0,2020-04-14,653,443,5,0,1,3,2,A,58.14509417111635,A,62.06801191024247,A,5.052631578947368,1910.2835926453135,106.12686625807298,0.1098375958475161
jeromerobert/pdfarranger,https://github.com/jeromerobert/pdfarranger.git,1.5.1,2020-04-20,654,444,5,0,1,3,2,A,58.14509417111635,A,62.06801191024247,A,5.769230769230769,1910.2835926453135,106.12686625807298,0.1098375958475161
jeromerobert/pdfarranger,https://github.com/jeromerobert/pdfarranger.git,1.5.2,2020-05-16,667,450,5,0,1,3,2,A,57.83528949803005,A,61.55791585708205,A,5.769230769230769,1910.2835926453135,106.12686625807298,0.1098375958475161
jeromerobert/pdfarranger,https://github.com/jeromerobert/pdfarranger.git,1.5.3,2020-05-16,667,450,5,0,1,3,2,A,57.83528949803005,A,61.55791585708205,A,5.769230769230769,1910.2835926453135,106.12686625807298,0.1098375958475161
