nameWithOwner,url,tagName,publishedAt,totalLoc,totalSloc,validFiles,invalidFiles,filesNotRead,filesNoMetric,cc,ccRank,miMultiFalse,miMultiFalseRank,miMultiTrue,miMultiTrueRank,difficulty,effort,timeHas,bugs
lmcinnes/umap,https://github.com/lmcinnes/umap.git,19,2020-05-13,8578,5550,23,0,0,13,2,A,57.78450182183894,A,58.836498751689795,A,5.142857142857143,3016.0508326891963,167.55837959384425,0.18431421755322866
lmcinnes/umap,https://github.com/lmcinnes/umap.git,v0.1.4,2017-11-20,1972,944,3,0,0,3,3,A,26.722005607137273,A,39.9832463970921,A,7.286324786324786,26948.277528528688,1497.1265293627048,1.232824426525066
lmcinnes/umap,https://github.com/lmcinnes/umap.git,0.2.0,2018-01-27,3237,1819,7,0,1,3,3,A,41.466501184747955,A,47.7447598216597,A,7.333333333333333,11383.149781981925,632.3972101101069,0.39181131495952276
lmcinnes/umap,https://github.com/lmcinnes/umap.git,0.2.1,2018-02-16,3238,1820,7,0,1,3,3,A,41.466501184747955,A,47.7447598216597,A,7.333333333333333,11383.149781981925,632.3972101101069,0.39181131495952276
lmcinnes/umap,https://github.com/lmcinnes/umap.git,0.2.4,2018-06-17,3257,1836,7,0,1,3,3,A,41.466501184747955,A,47.7447598216597,A,7.378048780487805,11383.149781981925,632.3972101101069,0.39181131495952276
lmcinnes/umap,https://github.com/lmcinnes/umap.git,0.2.5,2018-06-20,3262,1840,7,0,1,3,3,A,41.466501184747955,A,47.7447598216597,A,7.378048780487805,11383.149781981925,632.3972101101069,0.39181131495952276
lmcinnes/umap,https://github.com/lmcinnes/umap.git,0.3.0,2018-07-12,5266,3171,11,0,1,7,2,A,32.342451432438956,A,47.89304761088857,A,6.791946308724833,9996.05574285268,555.3364301584822,0.46023653408483095
lmcinnes/umap,https://github.com/lmcinnes/umap.git,0.3.1,2018-08-01,5270,3173,11,0,1,7,2,A,32.342451432438956,A,47.89304761088857,A,6.791946308724833,9996.05574285268,555.3364301584822,0.46023653408483095
lmcinnes/umap,https://github.com/lmcinnes/umap.git,0.3.3,2018-09-01,5333,3209,11,0,1,8,2,A,32.342451432438956,A,46.881959190643634,A,6.791946308724833,9996.05574285268,555.3364301584822,0.46023653408483095
lmcinnes/umap,https://github.com/lmcinnes/umap.git,0.3.4,2018-10-06,5345,3212,11,0,1,8,2,A,32.342451432438956,A,46.881959190643634,A,6.836538461538462,9996.05574285268,555.3364301584822,0.46023653408483095
lmcinnes/umap,https://github.com/lmcinnes/umap.git,0.3.5,2018-10-08,5378,3246,11,0,1,8,2,A,31.723535136340434,A,46.881959190643634,A,6.791946308724833,9996.05574285268,555.3364301584822,0.46023653408483095
lmcinnes/umap,https://github.com/lmcinnes/umap.git,0.3.7,2018-11-30,5380,3248,11,0,1,8,2,A,31.723535136340434,A,46.881959190643634,A,6.791946308724833,9996.05574285268,555.3364301584822,0.46023653408483095
lmcinnes/umap,https://github.com/lmcinnes/umap.git,0.3.8,2019-03-26,5414,3275,11,0,1,8,2,A,31.18593986287391,A,46.881959190643634,A,6.791946308724833,9996.05574285268,555.3364301584822,0.46023653408483095
lmcinnes/umap,https://github.com/lmcinnes/umap.git,0.3.9,2019-05-27,5657,3402,11,0,1,8,2,A,31.578670658084143,A,46.832968308615165,A,6.693396226415095,9381.158950783612,521.1754972657562,0.46718480093167153
lmcinnes/umap,https://github.com/lmcinnes/umap.git,0.3.10,2019-08-14,5640,3381,11,0,1,8,2,A,31.578670658084143,A,46.832968308615165,A,6.682242990654205,9474.247614397249,526.3470896887361,0.4726081560561798
lmcinnes/umap,https://github.com/lmcinnes/umap.git,0.4.0rc1,2020-02-08,8147,5419,15,0,1,12,3,A,31.060741504927833,A,44.82238615810644,A,7.327586206896552,18830.647044497284,1046.1470580276268,0.5776256949812095
lmcinnes/umap,https://github.com/lmcinnes/umap.git,0.4.0rc2,2020-03-20,8298,5525,15,0,1,12,3,A,31.060741504927833,A,44.91618159667728,A,7.666666666666667,18830.647044497284,1046.1470580276268,0.5776256949812095
lmcinnes/umap,https://github.com/lmcinnes/umap.git,0.4.0,2020-04-08,8320,5544,15,0,1,12,3,A,31.060741504927833,A,44.91618159667728,A,7.666666666666667,18830.647044497284,1046.1470580276268,0.5776256949812095
lmcinnes/umap,https://github.com/lmcinnes/umap.git,0.4.1,2020-04-10,8329,5550,15,0,1,12,3,A,31.060741504927833,A,44.91618159667728,A,7.666666666666667,18830.647044497284,1046.1470580276268,0.5776256949812095
lmcinnes/umap,https://github.com/lmcinnes/umap.git,0.4.2,2020-04-29,8554,5527,23,0,0,13,2,A,57.78450182183894,A,61.061624068788525,A,5.142857142857143,3016.0508326891963,167.55837959384425,0.18431421755322866
lmcinnes/umap,https://github.com/lmcinnes/umap.git,0.4.3,2020-05-15,8578,5550,23,0,0,13,2,A,57.78450182183894,A,58.836498751689795,A,5.142857142857143,3016.0508326891963,167.55837959384425,0.18431421755322866
