nameWithOwner,url,tagName,publishedAt,totalLoc,totalSloc,validFiles,invalidFiles,filesNotRead,filesNoMetric,cc,ccRank,miMultiFalse,miMultiFalseRank,miMultiTrue,miMultiTrueRank,difficulty,effort,timeHas,bugs
panzarino/mlbgame,https://github.com/panzarino/mlbgame.git,25,2020-05-13,3711,2326,14,0,0,2,2,A,54.10977122083159,A,55.51581102704983,A,1.1322115384615383,85.80786356404515,4.767103531335842,0.022274067947381126
panzarino/mlbgame,https://github.com/panzarino/mlbgame.git,v0.1.1,2015-11-19,289,144,2,1,0,2,6,B,38.16882907130319,A,50.64004672489621,A,4.916666666666666,2013.6502092947155,111.86945607192864,0.14188889231871898
panzarino/mlbgame,https://github.com/panzarino/mlbgame.git,v0.1.2,2015-11-21,304,144,2,1,0,2,6,B,37.99238233084262,A,52.84307278359776,A,4.916666666666666,2013.6502092947155,111.86945607192864,0.14188889231871898
panzarino/mlbgame,https://github.com/panzarino/mlbgame.git,v0.2.0,2015-11-26,395,212,2,1,0,2,6,B,32.79679901457565,A,49.83877436166266,A,5.656140350877193,4865.853924629357,270.3252180349643,0.2755164171572775
panzarino/mlbgame,https://github.com/panzarino/mlbgame.git,v0.2.1,2015-11-27,410,212,2,1,0,2,6,B,32.79679901457565,A,48.142735687054014,A,5.656140350877193,4865.853924629357,270.3252180349643,0.2755164171572775
panzarino/mlbgame,https://github.com/panzarino/mlbgame.git,v0.2.2,2015-12-01,406,212,2,1,0,2,6,B,33.581213310672474,A,48.927149983150834,A,5.9080459770114935,3371.0654090370413,187.28141161316896,0.18029592798183436
panzarino/mlbgame,https://github.com/panzarino/mlbgame.git,v0.3.1,2015-12-07,589,311,2,1,0,2,4,A,26.20479676490776,A,43.24094282952577,A,6.1985294117647065,5045.459838689544,280.30332437164134,0.25987853157280016
panzarino/mlbgame,https://github.com/panzarino/mlbgame.git,v0.4.0,2015-12-18,574,323,3,1,0,3,3,A,34.86656752205575,A,49.928729510753904,A,5.647058823529412,2222.903558754915,123.49464215305085,0.1312130572876165
panzarino/mlbgame,https://github.com/panzarino/mlbgame.git,v1.0.0,2016-01-27,730,351,4,1,0,3,3,A,61.53935632021317,A,59.22572654187822,A,4.123529411764706,1349.8698294149576,74.99276830083099,0.09617294531528264
panzarino/mlbgame,https://github.com/panzarino/mlbgame.git,v1.0.1,2016-01-27,730,351,4,1,0,3,3,A,61.53935632021317,A,59.22572654187822,A,4.123529411764706,1349.8698294149576,74.99276830083099,0.09617294531528264
panzarino/mlbgame,https://github.com/panzarino/mlbgame.git,v1.0.2,2016-01-30,735,351,4,1,0,3,3,A,61.53935632021317,A,59.22572654187822,A,4.123529411764706,1349.8698294149576,74.99276830083099,0.09617294531528264
panzarino/mlbgame,https://github.com/panzarino/mlbgame.git,v1.0.3,2016-02-05,728,348,4,1,0,3,3,A,61.84688667953062,A,59.34401494815383,A,4.123529411764706,1349.8698294149576,74.99276830083099,0.09617294531528264
panzarino/mlbgame,https://github.com/panzarino/mlbgame.git,v2.0.0,2016-03-25,898,512,5,0,0,3,3,A,62.75322159136599,A,48.679864889959724,A,6.0,1985.2512005538479,110.29173336410265,0.11029173336410265
panzarino/mlbgame,https://github.com/panzarino/mlbgame.git,v2.0.1,2016-04-01,900,512,5,0,0,3,3,A,62.75322159136599,A,48.679864889959724,A,6.0,1985.2512005538479,110.29173336410265,0.11029173336410265
panzarino/mlbgame,https://github.com/panzarino/mlbgame.git,v2.0.2,2016-04-07,900,512,5,0,0,3,3,A,62.75322159136599,A,48.679864889959724,A,6.0,1985.2512005538479,110.29173336410265,0.11029173336410265
panzarino/mlbgame,https://github.com/panzarino/mlbgame.git,v2.1.0,2016-07-05,1106,624,6,0,0,3,3,A,62.19738088013807,A,57.04287838396455,A,4.3,1231.0436503144242,68.39131390635688,0.08571228335352571
panzarino/mlbgame,https://github.com/panzarino/mlbgame.git,v2.2.0,2016-07-19,1226,705,6,0,0,3,3,A,61.83755858066795,A,56.80634778054319,A,4.3,1231.0436503144242,68.39131390635688,0.08571228335352571
