nameWithOwner,url,tagName,publishedAt,totalLoc,totalSloc,validFiles,invalidFiles,filesNotRead,filesNoMetric,cc,ccRank,miMultiFalse,miMultiFalseRank,miMultiTrue,miMultiTrueRank,difficulty,effort,timeHas,bugs
reiinakano/xcessiv,https://github.com/reiinakano/xcessiv.git,20,2020-05-12,3410,2354,20,0,4,10,3,A,54.80105382238303,A,62.952075215757546,A,0.696969696969697,51.06645313705985,2.837025174281103,0.018418917621841585
reiinakano/xcessiv,https://github.com/reiinakano/xcessiv.git,v0.1.1,2017-05-23,1977,1431,14,0,3,9,2,A,60.14205872352835,A,65.76466044517,A,0.5,17.840700607175783,0.9911500337319881,0.011893800404783857
reiinakano/xcessiv,https://github.com/reiinakano/xcessiv.git,v0.1.2,2017-05-24,1977,1431,14,0,3,9,2,A,60.14205872352835,A,65.76466044517,A,0.5,17.840700607175783,0.9911500337319881,0.011893800404783857
reiinakano/xcessiv,https://github.com/reiinakano/xcessiv.git,v0.1.3,2017-05-24,1982,1435,14,0,3,9,2,A,58.74237514699735,A,64.36497686863899,A,0.5961538461538461,38.04897249137052,2.11383180507614,0.015856206656586748
reiinakano/xcessiv,https://github.com/reiinakano/xcessiv.git,v0.1.4,2017-05-25,2001,1442,14,0,3,9,2,A,58.74237514699735,A,64.36497686863899,A,0.5961538461538461,38.04897249137052,2.11383180507614,0.015856206656586748
reiinakano/xcessiv,https://github.com/reiinakano/xcessiv.git,v0.1.5,2017-05-26,2111,1524,14,0,3,9,2,A,58.74237514699735,A,62.68194487072468,A,0.5961538461538461,38.04897249137052,2.11383180507614,0.015856206656586748
reiinakano/xcessiv,https://github.com/reiinakano/xcessiv.git,v0.1.6,2017-05-28,1983,1416,14,0,3,10,2,A,58.74237514699735,A,62.68194487072468,A,0.6136363636363636,38.04897249137052,2.11383180507614,0.015856206656586748
reiinakano/xcessiv,https://github.com/reiinakano/xcessiv.git,v0.2.0,2017-05-28,1984,1424,14,0,3,10,2,A,58.74237514699735,A,62.68194487072468,A,0.6136363636363636,38.04897249137052,2.11383180507614,0.015856206656586748
reiinakano/xcessiv,https://github.com/reiinakano/xcessiv.git,v0.2.1,2017-05-29,1992,1430,14,0,3,10,2,A,58.53492407594187,A,62.474493799669204,A,0.6136363636363636,47.786863299370594,2.654825738853922,0.01802018239169787
reiinakano/xcessiv,https://github.com/reiinakano/xcessiv.git,v0.2.2,2017-05-29,1990,1429,14,0,3,10,2,A,58.53492407594187,A,62.474493799669204,A,0.6136363636363636,47.786863299370594,2.654825738853922,0.01802018239169787
reiinakano/xcessiv,https://github.com/reiinakano/xcessiv.git,v0.2.3,2017-05-30,1990,1429,14,0,3,10,2,A,58.53492407594187,A,62.474493799669204,A,0.6136363636363636,47.786863299370594,2.654825738853922,0.01802018239169787
reiinakano/xcessiv,https://github.com/reiinakano/xcessiv.git,v0.2.5,2017-05-31,1990,1429,14,0,3,10,2,A,58.53492407594187,A,62.474493799669204,A,0.6136363636363636,47.786863299370594,2.654825738853922,0.01802018239169787
reiinakano/xcessiv,https://github.com/reiinakano/xcessiv.git,v0.3.0,2017-06-02,2340,1665,14,0,3,10,2,A,58.53492407594187,A,62.096140801265136,A,0.6136363636363636,47.786863299370594,2.654825738853922,0.01802018239169787
reiinakano/xcessiv,https://github.com/reiinakano/xcessiv.git,v0.3.4,2017-06-02,2332,1659,14,0,3,10,2,A,59.39085849043428,A,62.952075215757546,A,0.6136363636363636,47.786863299370594,2.654825738853922,0.01802018239169787
reiinakano/xcessiv,https://github.com/reiinakano/xcessiv.git,v0.3.5,2017-06-04,2587,1802,15,0,3,10,2,A,55.3637448890143,A,65.52047682396905,A,0.7272727272727273,62.26976913547136,3.4594316186372978,0.016906266674359
reiinakano/xcessiv,https://github.com/reiinakano/xcessiv.git,v0.3.6,2017-06-06,2609,1819,15,0,3,10,2,A,55.3637448890143,A,65.52047682396905,A,0.7272727272727273,62.26976913547136,3.4594316186372978,0.016906266674359
reiinakano/xcessiv,https://github.com/reiinakano/xcessiv.git,v0.3.7,2017-06-07,2737,1908,15,0,3,10,2,A,55.5892819499672,A,65.52047682396905,A,0.7272727272727273,62.26976913547136,3.4594316186372978,0.016906266674359
reiinakano/xcessiv,https://github.com/reiinakano/xcessiv.git,v0.3.8,2017-06-07,2715,1888,15,0,3,10,2,A,57.48424884355931,A,65.52047682396905,A,0.7272727272727273,62.26976913547136,3.4594316186372978,0.016906266674359
reiinakano/xcessiv,https://github.com/reiinakano/xcessiv.git,v0.4.0,2017-06-15,3177,2197,19,0,4,10,2,A,57.48424884355931,A,65.52047682396905,A,0.7272727272727273,62.26976913547136,3.4594316186372978,0.016906266674359
reiinakano/xcessiv,https://github.com/reiinakano/xcessiv.git,v0.5.0,2017-06-23,3350,2307,19,0,4,10,2,A,57.48424884355931,A,65.52047682396905,A,0.7272727272727273,62.26976913547136,3.4594316186372978,0.016906266674359
reiinakano/xcessiv,https://github.com/reiinakano/xcessiv.git,v0.5.1,2017-08-21,3410,2354,20,0,4,10,3,A,54.80105382238303,A,62.952075215757546,A,0.696969696969697,51.06645313705985,2.837025174281103,0.018418917621841585
