nameWithOwner,url,tagName,publishedAt,totalLoc,totalSloc,validFiles,invalidFiles,filesNotRead,filesNoMetric,cc,ccRank,miMultiFalse,miMultiFalseRank,miMultiTrue,miMultiTrueRank,difficulty,effort,timeHas,bugs
23andMe/Yamale,https://github.com/23andMe/Yamale.git,12,5/13/2020,1893,1315,22,0,3,6,2,A,62.19708208,A,64.25932003,A,1.5,95.40582267,5.300323482,0.027007784
23andMe/Yamale,https://github.com/23andMe/Yamale.git,1.0.1,3/26/2014,626,408,17,3,3,3,2,A,71.25457794,A,85.03685594,A,0.5,16.84412953,0.935784974,0.008422065
23andMe/Yamale,https://github.com/23andMe/Yamale.git,1.0.2,5/1/2014,644,421,17,3,3,3,2,A,71.25457794,A,85.03685594,A,0.5,16.84412953,0.935784974,0.01122942
23andMe/Yamale,https://github.com/23andMe/Yamale.git,1.1.3,5/5/2014,933,608,20,0,3,3,2,A,73.13099571,A,83.42101472,A,0.75,28.93324039,1.607402244,0.011704911
23andMe/Yamale,https://github.com/23andMe/Yamale.git,1.2.0,11/7/2014,936,618,19,0,3,5,2,A,67.44700007,A,72.20711474,A,0.5,16.84412953,0.935784974,0.01122942
23andMe/Yamale,https://github.com/23andMe/Yamale.git,1.3.0,2/18/2015,974,640,19,0,3,5,2,A,72.38160238,A,80.20917708,A,0.5,42.79398752,2.377443751,0.01122942
23andMe/Yamale,https://github.com/23andMe/Yamale.git,1.4.0,3/16/2015,1084,717,19,0,3,5,2,A,72.38160238,A,80.20917708,A,0.5,42.79398752,2.377443751,0.012684583
23andMe/Yamale,https://github.com/23andMe/Yamale.git,1.7.1,11/6/2018,1423,938,20,0,3,6,2,A,60.37567792,A,63.84316703,A,1.5,79.94820335,4.441566853,0.023249498
23andMe/Yamale,https://github.com/23andMe/Yamale.git,1.8.0,11/26/2018,1450,954,20,0,3,6,2,A,60.37567792,A,63.84316703,A,1.5,79.94820335,4.441566853,0.023249498
23andMe/Yamale,https://github.com/23andMe/Yamale.git,1.8.1,2/19/2019,1461,960,20,0,3,6,2,A,60.33418583,A,63.60153359,A,1.5,79.94820335,4.441566853,0.023249498
23andMe/Yamale,https://github.com/23andMe/Yamale.git,1.9.0,3/4/2019,1521,1004,20,0,3,6,2,A,60.33418583,A,63.60153359,A,1.5,84.32520881,4.684733823,0.023249498
23andMe/Yamale,https://github.com/23andMe/Yamale.git,2,8/20/2019,1759,1205,20,0,3,6,2,A,60.33238343,A,64.46235107,A,1.5,93.36597582,5.186998657,0.025392176
23andMe/Yamale,https://github.com/23andMe/Yamale.git,2.0.1,9/10/2019,1773,1215,20,0,3,6,2,A,60.33238343,A,64.46235107,A,1.5,93.36597582,5.186998657,0.025392176
