nameWithOwner,url,tagName,publishedAt,totalLoc,totalSloc,validFiles,invalidFiles,filesNotRead,filesNoMetric,cc,ccRank,miMultiFalse,miMultiFalseRank,miMultiTrue,miMultiTrueRank,difficulty,effort,timeHas,bugs
awslabs/aws-sam-cli,https://github.com/awslabs/aws-sam-cli.git,61,2020-05-13,50141,33902,279,0,112,15,1,A,74.82369965354236,A,79.75125781992534,A,0.5,2.3774437510817346,0.1320802083934297,0.0015849625007211565
awslabs/aws-sam-cli,https://github.com/awslabs/aws-sam-cli.git,v0.1.0,2017-08-11,204,144,4,0,0,0,3,A,86.00437763187476,A,91.1649511888169,A,0.25,1.1887218755408673,0.06604010419671485,0.0007924812503605782
awslabs/aws-sam-cli,https://github.com/awslabs/aws-sam-cli.git,v0.1.1,2017-08-16,102,72,2,0,0,0,3,A,86.00437763187476,A,91.1649511888169,A,0.25,1.1887218755408673,0.06604010419671485,0.0007924812503605782
awslabs/aws-sam-cli,https://github.com/awslabs/aws-sam-cli.git,v0.2.0,2017-08-20,-1,-1,-1,-1,-1,-1,-1,Z,-1,Z,-1,Z,-1,-1,-1,-1
awslabs/aws-sam-cli,https://github.com/awslabs/aws-sam-cli.git,v0.2.2,2017-09-20,-1,-1,-1,-1,-1,-1,-1,Z,-1,Z,-1,Z,-1,-1,-1,-1
awslabs/aws-sam-cli,https://github.com/awslabs/aws-sam-cli.git,v0.2.3,2017-12-07,119,84,4,0,0,2,2,A,86.5351656708554,A,91.1649511888169,A,0.25,1.1887218755408673,0.06604010419671485,0.0007924812503605782
awslabs/aws-sam-cli,https://github.com/awslabs/aws-sam-cli.git,v0.2.4,2017-12-07,119,84,4,0,0,2,2,A,86.5351656708554,A,91.1649511888169,A,0.25,1.1887218755408673,0.06604010419671485,0.0007924812503605782
awslabs/aws-sam-cli,https://github.com/awslabs/aws-sam-cli.git,v0.2.5,2018-01-23,119,84,4,0,0,2,2,A,86.5351656708554,A,91.1649511888169,A,0.25,1.1887218755408673,0.06604010419671485,0.0007924812503605782
awslabs/aws-sam-cli,https://github.com/awslabs/aws-sam-cli.git,v0.2.6,2018-01-23,119,84,4,0,0,2,2,A,86.5351656708554,A,91.1649511888169,A,0.25,1.1887218755408673,0.06604010419671485,0.0007924812503605782
awslabs/aws-sam-cli,https://github.com/awslabs/aws-sam-cli.git,v0.2.7,2018-02-23,125,88,5,0,0,2,1,A,100.0,A,100.0,A,0,0,0.0,0.0
awslabs/aws-sam-cli,https://github.com/awslabs/aws-sam-cli.git,v0.2.8,2018-03-02,125,88,5,0,0,2,1,A,100.0,A,100.0,A,0,0,0.0,0.0
awslabs/aws-sam-cli,https://github.com/awslabs/aws-sam-cli.git,v0.2.9,2018-04-05,125,88,5,0,0,2,1,A,100.0,A,100.0,A,0,0,0.0,0.0
awslabs/aws-sam-cli,https://github.com/awslabs/aws-sam-cli.git,v0.2.10,2018-04-05,125,88,5,0,0,2,1,A,100.0,A,100.0,A,0,0,0.0,0.0
awslabs/aws-sam-cli,https://github.com/awslabs/aws-sam-cli.git,v0.2.11,2018-04-11,125,88,5,0,0,2,1,A,100.0,A,100.0,A,0,0,0.0,0.0
awslabs/aws-sam-cli,https://github.com/awslabs/aws-sam-cli.git,v0.3.0,2018-05-08,15662,9736,115,0,69,3,1,A,100.0,A,100.0,A,0,0,0.0,0.0
awslabs/aws-sam-cli,https://github.com/awslabs/aws-sam-cli.git,v0.4.0,2018-06-18,16287,10129,118,0,70,3,1,A,89.48092484982436,A,96.82287783543046,A,0.5,1.0,0.05555555555555555,0.0006666666666666666
awslabs/aws-sam-cli,https://github.com/awslabs/aws-sam-cli.git,v0.5.0,2018-07-16,20211,12381,148,0,84,4,1,A,100.0,A,100.0,A,0.0,0.0,0.0,0.0
awslabs/aws-sam-cli,https://github.com/awslabs/aws-sam-cli.git,v0.6.0,2018-08-28,20387,12259,140,0,74,4,1,A,83.8374968079113,A,89.74198779440842,A,0.5,2.3774437510817346,0.1320802083934297,0.0015849625007211565
awslabs/aws-sam-cli,https://github.com/awslabs/aws-sam-cli.git,v0.6.1,2018-10-19,21259,12820,145,0,74,4,1,A,83.59624846296195,A,88.24195878240741,A,0.5,2.3774437510817346,0.1320802083934297,0.0015849625007211565
awslabs/aws-sam-cli,https://github.com/awslabs/aws-sam-cli.git,v0.6.2,2018-11-07,21339,12882,145,0,74,4,1,A,83.59624846296195,A,88.24195878240741,A,0.5,2.3774437510817346,0.1320802083934297,0.0015849625007211565
awslabs/aws-sam-cli,https://github.com/awslabs/aws-sam-cli.git,v0.7.0,2018-11-19,23358,14247,161,0,81,5,1,A,80.29024029870625,A,87.97179012295327,A,0.5,2.3774437510817346,0.1320802083934297,0.0015849625007211565
awslabs/aws-sam-cli,https://github.com/awslabs/aws-sam-cli.git,v0.8.0,2018-11-29,26022,15859,176,0,88,5,1,A,81.68014603907787,A,86.45495306517839,A,0.5,2.3774437510817346,0.1320802083934297,0.0015849625007211565
awslabs/aws-sam-cli,https://github.com/awslabs/aws-sam-cli.git,v0.8.1,2018-11-30,26050,15882,176,0,88,5,1,A,81.68014603907787,A,86.45495306517839,A,0.5,2.3774437510817346,0.1320802083934297,0.0015849625007211565
awslabs/aws-sam-cli,https://github.com/awslabs/aws-sam-cli.git,v0.9.0,2018-12-12,26264,16023,176,0,88,5,1,A,81.68014603907787,A,86.45495306517839,A,0.5,2.3774437510817346,0.1320802083934297,0.0015849625007211565
awslabs/aws-sam-cli,https://github.com/awslabs/aws-sam-cli.git,v0.10.0,2018-12-21,27174,16624,183,0,90,6,1,A,83.59624846296195,A,87.97179012295327,A,0.5,2.3774437510817346,0.1320802083934297,0.0015849625007211565
awslabs/aws-sam-cli,https://github.com/awslabs/aws-sam-cli.git,v0.11.0,2019-02-05,27358,16780,183,0,91,5,1,A,79.75724885880425,A,87.32284408106062,A,0.5,2.3774437510817346,0.1320802083934297,0.0015849625007211565
awslabs/aws-sam-cli,https://github.com/awslabs/aws-sam-cli.git,v0.12.0,2019-03-01,27991,17167,185,0,91,6,1,A,79.0668339861606,A,86.8145079068046,A,0.5,2.3774437510817346,0.1320802083934297,0.0015849625007211565
awslabs/aws-sam-cli,https://github.com/awslabs/aws-sam-cli.git,v0.13.0,2019-03-11,28086,17257,186,0,92,7,1,A,78.12222917570115,A,84.95819289268229,A,0.5,2.3774437510817346,0.1320802083934297,0.0015849625007211565
awslabs/aws-sam-cli,https://github.com/awslabs/aws-sam-cli.git,v0.14.0,2019-03-25,28098,17268,186,0,92,8,1,A,78.12222917570115,A,84.95819289268229,A,0.5,2.3774437510817346,0.1320802083934297,0.0015849625007211565
