nameWithOwner,url,tagName,publishedAt,totalLoc,totalSloc,validFiles,invalidFiles,filesNotRead,filesNoMetric,cc,ccRank,miMultiFalse,miMultiFalseRank,miMultiTrue,miMultiTrueRank,difficulty,effort,timeHas,bugs
cirosantilli/linux-kernel-module-cheat,https://github.com/cirosantilli/linux-kernel-module-cheat.git,11,2020-05-13,2487,1853,17,0,1,6,3,A,73.15124981438153,A,73.15124981438153,A,0.5,6.965784284662087,0.3869880158145604,0.004643856189774725
cirosantilli/linux-kernel-module-cheat,https://github.com/cirosantilli/linux-kernel-module-cheat.git,test-replay-arm,2018-02-13,-1,-1,-1,-1,-1,-1,-1,Z,-1,Z,-1,Z,-1,-1,-1,-1
cirosantilli/linux-kernel-module-cheat,https://github.com/cirosantilli/linux-kernel-module-cheat.git,uploads,2018-04-11,-1,-1,-1,-1,-1,-1,-1,Z,-1,Z,-1,Z,-1,-1,-1,-1
cirosantilli/linux-kernel-module-cheat,https://github.com/cirosantilli/linux-kernel-module-cheat.git,sha-dbecf15f8ff9169e64e5f9402a692647174860ae,2018-05-23,-1,-1,-1,-1,-1,-1,-1,Z,-1,Z,-1,Z,-1,-1,-1,-1
cirosantilli/linux-kernel-module-cheat,https://github.com/cirosantilli/linux-kernel-module-cheat.git,sha-19f4d00f9b13aa67369e32ec7cd3518950c6f30e,2018-08-07,-1,-1,-1,-1,-1,-1,-1,Z,-1,Z,-1,Z,-1,-1,-1,-1
cirosantilli/linux-kernel-module-cheat,https://github.com/cirosantilli/linux-kernel-module-cheat.git,sha-f5a997b2b67e151a37d93e372f5731b624bd5f1d,2018-08-09,-1,-1,-1,-1,-1,-1,-1,Z,-1,Z,-1,Z,-1,-1,-1,-1
cirosantilli/linux-kernel-module-cheat,https://github.com/cirosantilli/linux-kernel-module-cheat.git,sha-0bf7c7cb81cf905e1e50b873f8bb01d1d38eff3f,2018-09-16,435,362,1,0,0,0,2,A,30.821360740087595,A,39.14406803669999,A,8.444444444444445,5869.778289243654,326.0987938468697,0.2317017745754074
cirosantilli/linux-kernel-module-cheat,https://github.com/cirosantilli/linux-kernel-module-cheat.git,sha-74b51fc0444bc82d108f05b7ef7ff60f91d75eb6,2018-09-23,612,522,1,0,0,0,2,A,22.41532142451459,A,29.37118829218322,A,8.522727272727273,10701.893351142811,594.549630619045,0.4185629399558077
cirosantilli/linux-kernel-module-cheat,https://github.com/cirosantilli/linux-kernel-module-cheat.git,sha-c53ccb02782e6b5ba94c38c72597101cde86c4ff,2018-09-23,609,519,1,0,0,0,2,A,22.514837537731722,A,29.483983509557937,A,8.522727272727273,10701.893351142811,594.549630619045,0.4185629399558077
cirosantilli/linux-kernel-module-cheat,https://github.com/cirosantilli/linux-kernel-module-cheat.git,v3.0-rc1,2019-01-20,1125,950,7,1,0,0,3,A,71.88621556846499,A,71.88621556846499,A,0.5,12.63309714925922,0.701838730514401,0.008422064766172813
cirosantilli/linux-kernel-module-cheat,https://github.com/cirosantilli/linux-kernel-module-cheat.git,v3.0,2019-01-22,2049,1584,12,1,0,0,3,A,72.51873269142325,A,72.51873269142325,A,0.5,9.799440716960653,0.5444133731644807,0.006532960477973769
cirosantilli/linux-kernel-module-cheat,https://github.com/cirosantilli/linux-kernel-module-cheat.git,sha-70682288c4c0efb3cc1cc11a4c6f6b0fe15292f3,2019-06-30,2111,1520,16,0,1,1,3,A,72.51873269142325,A,72.51873269142325,A,0.5,6.965784284662087,0.3869880158145604,0.004643856189774725
