nameWithOwner,url,tagName,publishedAt,totalLoc,totalSloc,validFiles,invalidFiles,filesNotRead,filesNoMetric,cc,ccRank,miMultiFalse,miMultiFalseRank,miMultiTrue,miMultiTrueRank,difficulty,effort,timeHas,bugs
deepmipt/DeepPavlov,https://github.com/deepmipt/DeepPavlov.git,35,2020-05-13,42781,23939,251,0,41,36,3,A,68.7169573160002,A,72.13004797280243,A,2.5714285714285716,250.3445281256086,13.90802934031159,0.03256744426973415
deepmipt/DeepPavlov,https://github.com/deepmipt/DeepPavlov.git,0.0.1,2018-02-05,6602,3984,59,0,23,6,2,A,56.72720898802999,A,76.8343815790098,A,1.7727272727272727,62.26976913547136,3.4594316186372978,0.01729715809318649
deepmipt/DeepPavlov,https://github.com/deepmipt/DeepPavlov.git,0.0.2,2018-03-26,6901,4208,67,0,24,6,3,A,56.70333761915268,A,75.31913599569508,A,1.875,79.70097146483529,4.427831748046405,0.01729715809318649
deepmipt/DeepPavlov,https://github.com/deepmipt/DeepPavlov.git,0.0.3,2018-03-26,10269,6465,89,0,30,5,3,A,54.35898235782633,A,70.59640936936319,A,2.4,164.4777326328885,9.13765181293825,0.02150977500432694
deepmipt/DeepPavlov,https://github.com/deepmipt/DeepPavlov.git,0.0.4,2018-05-17,14144,8944,115,0,30,6,3,A,54.35898235782633,A,71.84116335787932,A,2.25,167.59699690871406,9.310944272706337,0.021909733584702887
deepmipt/DeepPavlov,https://github.com/deepmipt/DeepPavlov.git,0.0.5,2018-06-06,16466,10395,127,0,34,10,3,A,53.16805770682305,A,70.5986495423884,A,2.5,208.46060490376735,11.581144716875963,0.029189475010096184
deepmipt/DeepPavlov,https://github.com/deepmipt/DeepPavlov.git,0.0.5.1,2018-06-19,16492,10420,127,0,34,10,3,A,53.093715382895375,A,70.5986495423884,A,2.5,284.5973813484378,15.810965630468766,0.03196942501105773
deepmipt/DeepPavlov,https://github.com/deepmipt/DeepPavlov.git,0.0.5.3,2018-06-29,16647,10546,130,0,33,14,3,A,53.13088654485921,A,69.3919203863318,A,2.5,246.5289931261026,13.696055173672365,0.03266441251129811
deepmipt/DeepPavlov,https://github.com/deepmipt/DeepPavlov.git,0.0.6b,2018-07-10,17997,11439,137,0,33,17,3,A,51.97175871634011,A,68.51759715690335,A,2.5,272.28146997790384,15.12674833210577,0.03196942501105773
deepmipt/DeepPavlov,https://github.com/deepmipt/DeepPavlov.git,0.0.6,2018-07-10,17997,11439,137,0,33,17,3,A,51.97175871634011,A,68.51759715690335,A,2.5,272.28146997790384,15.12674833210577,0.03196942501105773
deepmipt/DeepPavlov,https://github.com/deepmipt/DeepPavlov.git,0.0.6.1,2018-07-13,18122,11546,137,0,33,17,3,A,51.97175871634011,A,68.51759715690335,A,2.5,272.28146997790384,15.12674833210577,0.03196942501105773
deepmipt/DeepPavlov,https://github.com/deepmipt/DeepPavlov.git,0.0.6.5,2018-08-08,20477,12054,129,0,28,15,3,A,60.78369198252917,A,70.17610694298003,A,2.75,272.28146997790384,15.12674833210577,0.03367443357463716
deepmipt/DeepPavlov,https://github.com/deepmipt/DeepPavlov.git,0.0.6.6,2018-08-11,20445,12027,129,0,29,15,3,A,60.78369198252917,A,70.25125290066771,A,2.75,272.28146997790384,15.12674833210577,0.03367443357463716
deepmipt/DeepPavlov,https://github.com/deepmipt/DeepPavlov.git,0.0.7,2018-09-01,22414,13024,144,0,28,16,3,A,66.6543890315188,A,72.51117039481466,A,2.5,224.62466250325735,12.47914791684763,0.029026498336913474
deepmipt/DeepPavlov,https://github.com/deepmipt/DeepPavlov.git,0.0.8,2018-10-10,25020,14315,172,0,39,17,3,A,72.05929153335236,A,74.08181575720961,A,2.2111111111111112,132.87153234482872,7.38175179693493,0.020944899364539818
deepmipt/DeepPavlov,https://github.com/deepmipt/DeepPavlov.git,0.0.9,2018-10-25,25665,14632,171,0,39,19,3,A,69.27247069676594,A,72.18994021809452,A,2.4,167.59699690871406,9.310944272706337,0.02344134357365111
deepmipt/DeepPavlov,https://github.com/deepmipt/DeepPavlov.git,0.1.0a,2018-11-08,26021,14845,176,0,41,17,3,A,68.58639573900001,A,72.51419382166816,A,2.3666666666666667,194.877360423129,10.826520023507168,0.024056623919849078
deepmipt/DeepPavlov,https://github.com/deepmipt/DeepPavlov.git,0.1.0b,2018-11-13,26021,14845,176,0,41,17,3,A,68.58639573900001,A,72.51419382166816,A,2.3666666666666667,194.877360423129,10.826520023507168,0.024056623919849078
deepmipt/DeepPavlov,https://github.com/deepmipt/DeepPavlov.git,0.1.0,2018-11-26,29775,16999,192,0,42,16,3,A,67.15670268565827,A,71.96570229156978,A,2.4,208.32299210877602,11.573499561598668,0.027899750004807707
deepmipt/DeepPavlov,https://github.com/deepmipt/DeepPavlov.git,0.1.1,2018-12-12,29809,16990,192,0,41,16,3,A,66.80599129231123,A,71.89371037073835,A,2.4,208.32299210877602,11.573499561598668,0.027524626142308842
deepmipt/DeepPavlov,https://github.com/deepmipt/DeepPavlov.git,0.1.5,2018-12-27,31554,18101,199,0,42,16,3,A,66.80493481670193,A,71.83123473344395,A,2.3684210526315788,193.39108448262166,10.743949137923426,0.027249752275002266
deepmipt/DeepPavlov,https://github.com/deepmipt/DeepPavlov.git,0.1.5.1,2018-12-30,31589,18131,199,0,42,16,3,A,66.80493481670193,A,71.83123473344395,A,2.3684210526315788,193.39108448262166,10.743949137923426,0.027249752275002266
deepmipt/DeepPavlov,https://github.com/deepmipt/DeepPavlov.git,0.1.6,2019-01-23,31701,18187,200,0,44,17,3,A,66.75805685561212,A,71.89371037073835,A,2.327067669172932,190.46091653591526,10.581162029773072,0.027524626142308842
deepmipt/DeepPavlov,https://github.com/deepmipt/DeepPavlov.git,0.2.0,2019-03-22,34113,19600,210,0,47,17,3,A,65.63292022479527,A,70.11956844503379,A,2.656862745098039,280.8967028961636,15.605372383120201,0.033275432188641416
deepmipt/DeepPavlov,https://github.com/deepmipt/DeepPavlov.git,0.3.0,2019-05-06,38016,21834,223,0,50,17,3,A,64.79481659337691,A,69.7477936223547,A,2.75,333.54160429226215,18.530089127347896,0.03752932501298081
deepmipt/DeepPavlov,https://github.com/deepmipt/DeepPavlov.git,0.3.1,2019-06-03,38058,21870,223,0,50,17,3,A,64.79481659337691,A,69.7477936223547,A,2.75,333.54160429226215,18.530089127347896,0.03752932501298081
deepmipt/DeepPavlov,https://github.com/deepmipt/DeepPavlov.git,0.4.0,2019-06-27,38536,22118,226,0,50,17,3,A,64.74820001607476,A,70.11956844503379,A,2.763888888888889,343.1708021461311,19.06504456367395,0.03853009090899483
deepmipt/DeepPavlov,https://github.com/deepmipt/DeepPavlov.git,0.5.0,2019-07-29,39026,22278,234,0,51,18,3,A,66.13551565478645,A,70.447189823483,A,2.6726190476190474,266.9920735727052,14.832892976261402,0.03269970273000272
deepmipt/DeepPavlov,https://github.com/deepmipt/DeepPavlov.git,0.5.1,2019-08-13,39041,22288,234,0,51,18,3,A,66.13551565478645,A,70.447189823483,A,2.6726190476190474,266.9920735727052,14.832892976261402,0.03269970273000272
deepmipt/DeepPavlov,https://github.com/deepmipt/DeepPavlov.git,0.6.0,2019-09-06,39836,22773,237,0,53,18,3,A,66.0148814559959,A,70.44487064485634,A,2.6785714285714284,283.7003783908171,15.761132132823171,0.03269970273000272
deepmipt/DeepPavlov,https://github.com/deepmipt/DeepPavlov.git,0.6.1,2019-09-26,39837,22776,237,0,53,18,3,A,66.0148814559959,A,70.44487064485634,A,2.6785714285714284,283.7003783908171,15.761132132823171,0.03269970273000272
deepmipt/DeepPavlov,https://github.com/deepmipt/DeepPavlov.git,0.7.0,2019-11-28,40750,22763,237,0,40,35,3,A,68.7169573160002,A,72.12115876705668,A,2.6666666666666665,272.28146997790384,15.12674833210577,0.03269970273000272
deepmipt/DeepPavlov,https://github.com/deepmipt/DeepPavlov.git,0.7.1,2019-11-29,40966,22878,238,0,40,35,3,A,68.63232233370456,A,71.6809144100576,A,2.6726190476190474,277.99092418436044,15.44394023246447,0.03269970273000272
deepmipt/DeepPavlov,https://github.com/deepmipt/DeepPavlov.git,0.8.0,2020-02-26,41448,23146,243,0,40,36,3,A,70.89984007554685,A,72.18994021809452,A,2.6666666666666665,250.3445281256086,13.90802934031159,0.03256744426973415
deepmipt/DeepPavlov,https://github.com/deepmipt/DeepPavlov.git,0.9.0,2020-04-20,42781,23939,251,0,41,36,3,A,68.7169573160002,A,72.13004797280243,A,2.5714285714285716,250.3445281256086,13.90802934031159,0.03256744426973415
deepmipt/DeepPavlov,https://github.com/deepmipt/DeepPavlov.git,0.9.1,2020-04-27,42781,23939,251,0,41,36,3,A,68.7169573160002,A,72.13004797280243,A,2.5714285714285716,250.3445281256086,13.90802934031159,0.03256744426973415
