nameWithOwner,url,tagName,publishedAt,totalLoc,totalSloc,validFiles,invalidFiles,filesNotRead,filesNoMetric,cc,ccRank,miMultiFalse,miMultiFalseRank,miMultiTrue,miMultiTrueRank,difficulty,effort,timeHas,bugs
dropbox/PyHive,https://github.com/dropbox/PyHive.git,16,2020-05-13,3065,2128,15,0,1,5,1,A,49.58008152267182,A,56.05847495694953,A,2.4705882352941178,143.39850002884626,7.966583334935903,0.01911980000384617
dropbox/PyHive,https://github.com/dropbox/PyHive.git,v0.1.2,2014-10-25,3067,2043,16,0,2,2,1,A,65.75082361219191,A,65.75082361219191,A,1.0,11.60964047443681,0.6449800263576005,0.0038698801581456034
dropbox/PyHive,https://github.com/dropbox/PyHive.git,v0.1.1,2014-10-25,3010,1986,16,0,2,2,1,A,65.75082361219191,A,65.75082361219191,A,1.0,11.60964047443681,0.6449800263576005,0.0038698801581456034
dropbox/PyHive,https://github.com/dropbox/PyHive.git,v0.1.0,2014-10-25,2998,1977,16,0,2,2,1,A,65.75082361219191,A,65.75082361219191,A,1.0,11.60964047443681,0.6449800263576005,0.0038698801581456034
dropbox/PyHive,https://github.com/dropbox/PyHive.git,v0.1.3,2015-01-31,3078,2050,16,0,2,2,1,A,65.75082361219191,A,65.75082361219191,A,1.0,11.60964047443681,0.6449800263576005,0.0038698801581456034
dropbox/PyHive,https://github.com/dropbox/PyHive.git,v0.1.4,2015-01-31,3084,2053,16,0,2,2,1,A,65.75082361219191,A,65.75082361219191,A,1.0,11.60964047443681,0.6449800263576005,0.0038698801581456034
dropbox/PyHive,https://github.com/dropbox/PyHive.git,v0.1.5,2015-03-23,2668,1650,14,0,1,1,1,A,58.68877312089497,A,62.9249898772269,A,1.0,13.559707739381874,0.7533170966323263,0.004519902579793958
dropbox/PyHive,https://github.com/dropbox/PyHive.git,v0.1.6,2015-10-02,2760,1725,14,0,1,5,1,A,54.22647272514041,A,60.41017320829533,A,1.875,96.4585745037513,5.35880969465285,0.016834799060470307
dropbox/PyHive,https://github.com/dropbox/PyHive.git,v0.1.7,2016-03-29,2826,1778,14,0,1,5,1,A,54.161020389136695,A,58.25653077527414,A,2.551086956521739,405.5381875768764,22.529899309826465,0.047588735155559406
dropbox/PyHive,https://github.com/dropbox/PyHive.git,v0.1.8,2016-06-02,2861,1807,14,0,1,5,1,A,53.279328670194836,A,58.03396477338068,A,2.5135869565217392,417.6219415409338,23.20121897449632,0.050230350044921754
dropbox/PyHive,https://github.com/dropbox/PyHive.git,v0.2.0,2016-06-02,2468,1551,12,2,1,5,1,A,52.66776302184371,A,57.970916213139674,A,2.5760869565217392,376.39916308177897,20.911064615654386,0.04242386109653141
dropbox/PyHive,https://github.com/dropbox/PyHive.git,v0.2.1,2016-06-24,2524,1599,12,2,1,5,1,A,51.98700567771749,A,57.2144040680236,A,2.5760869565217392,376.39916308177897,20.911064615654386,0.04242386109653141
dropbox/PyHive,https://github.com/dropbox/PyHive.git,v0.3.0,2017-04-23,2634,1688,13,2,1,5,1,A,50.562745442760374,A,55.99785745399987,A,2.0,86.03910001730776,4.779950000961542,0.014339850002884626
dropbox/PyHive,https://github.com/dropbox/PyHive.git,v0.4.0,2017-07-17,2732,1759,13,2,1,5,1,A,47.34235769480961,A,54.14910328497079,A,2.0,86.03910001730776,4.779950000961542,0.014339850002884626
dropbox/PyHive,https://github.com/dropbox/PyHive.git,v0.5.0,2017-09-01,2100,1485,12,2,1,5,1,A,48.17123856104588,A,55.07348036948533,A,2.2608695652173916,306.81243925911417,17.04513551439523,0.03735499023497802
dropbox/PyHive,https://github.com/dropbox/PyHive.git,v0.5.1,2018-02-15,2088,1473,12,2,1,5,1,A,48.17123856104588,A,55.21348323139057,A,2.2608695652173916,306.81243925911417,17.04513551439523,0.03735499023497802
dropbox/PyHive,https://github.com/dropbox/PyHive.git,v0.6.2,2020-03-16,3022,2093,15,0,1,5,1,A,49.70565571055779,A,56.903429350537145,A,2.4705882352941178,143.39850002884626,7.966583334935903,0.01911980000384617
