nameWithOwner,url,tagName,publishedAt,totalLoc,totalSloc,validFiles,invalidFiles,filesNotRead,filesNoMetric,cc,ccRank,miMultiFalse,miMultiFalseRank,miMultiTrue,miMultiTrueRank,difficulty,effort,timeHas,bugs
eventable/vobject,https://github.com/eventable/vobject.git,9,2020-05-09,3414,1990,15,0,0,5,2,A,49.70206869583706,A,64.85769636073324,A,3.847826086956522,1886.3498562944287,104.79721423857937,0.15923154708142562
eventable/vobject,https://github.com/eventable/vobject.git,0.8.2,2016-01-31,1615,1185,6,4,0,1,2,A,56.052643548382726,A,63.71360061139546,A,4.201767676767677,1564.0535930992871,86.89186628329374,0.11655462831559553
eventable/vobject,https://github.com/eventable/vobject.git,0.9.0,2016-02-03,2073,1225,8,0,0,3,2,A,47.451313418044805,A,61.22561705903805,A,3.771135265700483,1231.4994190596517,68.41663439220287,0.10576765480261188
eventable/vobject,https://github.com/eventable/vobject.git,0.9.1,2016-02-17,2073,1225,8,0,0,3,2,A,47.451313418044805,A,61.22561705903805,A,3.771135265700483,1231.4994190596517,68.41663439220287,0.10576765480261188
eventable/vobject,https://github.com/eventable/vobject.git,0.9.2,2016-03-14,2090,1236,8,0,0,3,2,A,47.451313418044805,A,61.22561705903805,A,3.771135265700483,1231.4994190596517,68.41663439220287,0.10576765480261188
eventable/vobject,https://github.com/eventable/vobject.git,0.9.3,2016-08-26,2134,1267,8,0,0,3,2,A,47.451313418044805,A,61.22561705903805,A,3.771135265700483,1231.4994190596517,68.41663439220287,0.10576765480261188
eventable/vobject,https://github.com/eventable/vobject.git,0.9.4,2017-01-20,2168,1278,8,0,0,3,2,A,47.81511571029831,A,61.53421682687644,A,3.761413043478261,1231.4994190596517,68.41663439220287,0.10576765480261188
eventable/vobject,https://github.com/eventable/vobject.git,0.9.4.1,2017-01-22,2168,1278,8,0,0,3,2,A,47.81511571029831,A,61.53421682687644,A,3.761413043478261,1231.4994190596517,68.41663439220287,0.10576765480261188
eventable/vobject,https://github.com/eventable/vobject.git,0.9.5,2017-06-29,3411,1988,15,0,0,5,2,A,49.70206869583706,A,64.85769636073324,A,3.847826086956522,1886.3498562944287,104.79721423857937,0.15923154708142562
eventable/vobject,https://github.com/eventable/vobject.git,0.9.6,2018-07-08,3421,1995,15,0,0,5,2,A,49.70206869583706,A,64.85769636073324,A,3.847826086956522,1886.3498562944287,104.79721423857937,0.15923154708142562
