nameWithOwner,url,tagName,publishedAt,totalLoc,totalSloc,validFiles,invalidFiles,filesNotRead,filesNoMetric,cc,ccRank,miMultiFalse,miMultiFalseRank,miMultiTrue,miMultiTrueRank,difficulty,effort,timeHas,bugs
localstack/localstack,https://github.com/localstack/localstack.git,14,2020-05-13,24484,18259,112,0,38,7,2,A,59.334155954651244,A,60.50493365863111,A,2.0,143.08229141070296,7.949016189483498,0.02723308333814104
localstack/localstack,https://github.com/localstack/localstack.git,v0.1.16,2016-12-11,394,245,6,12,6,3,2,A,70.73680293921497,A,81.81429334514729,A,1.0714285714285714,29.491516083482182,1.6384175601934545,0.008924812503605783
localstack/localstack,https://github.com/localstack/localstack.git,v0.2.0,2016-12-19,394,245,6,12,6,3,2,A,70.73680293921497,A,81.81429334514729,A,1.0714285714285714,29.491516083482182,1.6384175601934545,0.008924812503605783
localstack/localstack,https://github.com/localstack/localstack.git,v0.3.0,2017-02-10,394,245,6,13,6,3,2,A,70.73680293921497,A,81.81429334514729,A,1.0714285714285714,29.491516083482182,1.6384175601934545,0.008924812503605783
localstack/localstack,https://github.com/localstack/localstack.git,v0.3.10,2017-04-22,1312,968,17,12,8,2,3,A,64.37973346349891,A,65.39947613567185,A,1.8,119.8942468677714,6.660791492653967,0.022202638308846556
localstack/localstack,https://github.com/localstack/localstack.git,v0.10.0,2019-08-03,17119,12777,77,0,27,2,2,A,56.92390530462239,A,59.682217755685265,A,2.5,327.95824181413343,18.219902323007414,0.04372776557521779
localstack/localstack,https://github.com/localstack/localstack.git,v0.10.2,2019-08-13,17179,12823,77,0,27,2,2,A,56.88261456446979,A,59.682217755685265,A,2.5,327.95824181413343,18.219902323007414,0.04372776557521779
localstack/localstack,https://github.com/localstack/localstack.git,v0.10.3,2019-09-15,17891,13327,78,0,27,2,2,A,56.77725247877008,A,59.99556883289211,A,2.5,302.28081994346235,16.793378885747906,0.044481692567893964
localstack/localstack,https://github.com/localstack/localstack.git,v0.10.4,2019-11-07,18073,13463,78,0,27,2,2,A,56.77725247877008,A,59.99556883289211,A,2.5,302.28081994346235,16.793378885747906,0.044481692567893964
localstack/localstack,https://github.com/localstack/localstack.git,v0.10.5,2019-11-07,18757,13999,79,0,27,2,2,A,56.88261456446979,A,58.97517965989682,A,2.5,327.95824181413343,18.219902323007414,0.04372776557521779
localstack/localstack,https://github.com/localstack/localstack.git,v0.10.6,2020-01-02,20354,15186,86,0,30,2,2,A,59.32869870779104,A,60.63258400771665,A,2.1880341880341883,207.97439931335452,11.554133295186361,0.0345754247590989
localstack/localstack,https://github.com/localstack/localstack.git,v0.10.8,2020-03-02,20271,15085,92,0,32,4,2,A,58.33632660398155,A,60.21316915540119,A,2.179604261796043,213.64106171309632,11.868947872949796,0.0345754247590989
localstack/localstack,https://github.com/localstack/localstack.git,v0.10.9,2020-04-04,21453,15952,99,0,36,6,2,A,59.50022318553894,A,60.30891991009896,A,2.0,175.1368500605771,9.729825003365395,0.029189475010096184
localstack/localstack,https://github.com/localstack/localstack.git,v0.11.0,2020-04-04,22574,16790,101,0,36,6,2,A,58.39818944262271,A,60.30891991009896,A,2.0,175.1368500605771,9.729825003365395,0.029189475010096184
localstack/localstack,https://github.com/localstack/localstack.git,v0.11.1,2020-05-04,24012,17902,111,0,38,7,2,A,58.98609415361722,A,60.117418400703414,A,2.0,140.10698055481055,7.78372114193392,0.02666666666666667
