nameWithOwner,url,tagName,publishedAt,totalLoc,totalSloc,validFiles,invalidFiles,filesNotRead,filesNoMetric,cc,ccRank,miMultiFalse,miMultiFalseRank,miMultiTrue,miMultiTrueRank,difficulty,effort,timeHas,bugs
pyro-ppl/pyro,https://github.com/pyro-ppl/pyro.git,20,2020-05-13,78915,47548,428,0,23,37,2,A,56.3796471549341,A,61.32739318991276,A,4.109848484848484,1137.404291616895,63.18912731204972,0.09696889706559919
pyro-ppl/pyro,https://github.com/pyro-ppl/pyro.git,0.1.0,2017-11-03,14697,9034,98,0,2,14,2,A,53.003362631204354,A,66.22347818526175,A,3.8424242424242427,764.8898416350208,42.493880090834494,0.0663689911444565
pyro-ppl/pyro,https://github.com/pyro-ppl/pyro.git,0.1.1,2017-11-05,14563,8937,97,0,2,14,2,A,52.925188671291494,A,66.03962983015462,A,3.888888888888889,760.4948430554256,42.2497135030792,0.06634557535550285
pyro-ppl/pyro,https://github.com/pyro-ppl/pyro.git,0.1.2,2017-11-10,14637,8943,98,0,2,14,2,A,53.01548824681879,A,66.28567158850872,A,3.853535353535354,755.5406716575209,41.97448175875116,0.06444722518856877
pyro-ppl/pyro,https://github.com/pyro-ppl/pyro.git,0.2.0,2018-04-25,23391,14338,159,0,7,27,2,A,54.01033978105616,A,63.459363617974155,A,3.5294117647058822,669.8447768672787,37.213598714848814,0.06267252957521456
pyro-ppl/pyro,https://github.com/pyro-ppl/pyro.git,0.2.1,2018-05-22,25572,15673,171,0,7,27,2,A,54.434304240923154,A,62.89278847358474,A,3.6,724.435740827104,40.24643004595023,0.06973835003173089
pyro-ppl/pyro,https://github.com/pyro-ppl/pyro.git,0.3.0,2018-12-07,44420,27548,276,0,8,37,2,A,53.637316393225206,A,59.986797767572995,A,3.8614617940199336,872.155440644196,48.453080035788666,0.07567367902816463
pyro-ppl/pyro,https://github.com/pyro-ppl/pyro.git,0.3.1,2019-02-13,46009,28559,282,0,9,37,2,A,53.764424413414794,A,59.88840309207809,A,3.9,889.7466793936832,49.43037107742684,0.07765783646324474
pyro-ppl/pyro,https://github.com/pyro-ppl/pyro.git,0.3.2,2019-04-23,49229,30485,297,0,10,37,2,A,53.61381451439481,A,59.840102267332924,A,3.9,941.1051285836174,52.28361825464541,0.08175624634168378
pyro-ppl/pyro,https://github.com/pyro-ppl/pyro.git,0.3.3,2019-05-03,49375,30592,299,0,10,37,2,A,53.6608182720556,A,59.840102267332924,A,3.888888888888889,909.1045705122438,50.50580947290243,0.08147428844777893
pyro-ppl/pyro,https://github.com/pyro-ppl/pyro.git,0.3.4,2019-07-16,53731,32972,315,0,10,39,2,A,53.77454057527057,A,59.74744855674148,A,3.888888888888889,890.3293958827976,49.46274421571098,0.08175624634168378
pyro-ppl/pyro,https://github.com/pyro-ppl/pyro.git,0.4.0,2019-08-10,55484,34146,329,0,20,31,2,A,53.74608492243942,A,59.936703916823255,A,3.8857142857142857,882.6923076923077,49.03846153846154,0.08099549168926289
pyro-ppl/pyro,https://github.com/pyro-ppl/pyro.git,0.4.1,2019-08-19,55687,34260,329,0,20,31,2,A,53.77454057527057,A,59.936703916823255,A,3.888888888888889,882.6923076923077,49.03846153846154,0.08099549168926289
pyro-ppl/pyro,https://github.com/pyro-ppl/pyro.git,0.5.0,2019-10-23,56288,34684,339,0,20,31,2,A,53.74608492243942,A,59.936703916823255,A,3.8043478260869565,875.6182492152503,48.645458289736126,0.08091853973631898
pyro-ppl/pyro,https://github.com/pyro-ppl/pyro.git,0.5.1,2019-10-24,56286,34682,339,0,20,31,2,A,53.74608492243942,A,59.936703916823255,A,3.8043478260869565,875.6182492152503,48.645458289736126,0.08091853973631898
pyro-ppl/pyro,https://github.com/pyro-ppl/pyro.git,1.0.0,2019-11-16,59876,36881,354,0,20,32,2,A,53.61846551130051,A,59.91428550711918,A,3.8873015873015873,967.4656417108739,53.74809120615966,0.08609890564403222
pyro-ppl/pyro,https://github.com/pyro-ppl/pyro.git,1.1.0,2019-12-07,62836,38914,368,0,20,32,2,A,53.548733991500086,A,59.91428550711918,A,3.9180602006688963,1030.2711796599012,57.2372877588834,0.09017564390425392
pyro-ppl/pyro,https://github.com/pyro-ppl/pyro.git,1.2.0,2020-01-17,67116,40891,390,0,21,34,2,A,58.20474233797903,A,62.241607271161385,A,3.9180602006688963,984.2833779460173,54.68240988588984,0.08504386915263643
pyro-ppl/pyro,https://github.com/pyro-ppl/pyro.git,1.2.1,2020-01-23,67123,40895,390,0,21,34,2,A,58.20474233797903,A,62.241607271161385,A,3.9180602006688963,984.2833779460173,54.68240988588984,0.08614277479666865
pyro-ppl/pyro,https://github.com/pyro-ppl/pyro.git,1.3.0,2020-03-08,71134,43397,404,0,21,35,2,A,57.37785002293095,A,62.05937512132978,A,3.9642857142857144,1070.5464244017394,59.474801355652176,0.09240271271611554
pyro-ppl/pyro,https://github.com/pyro-ppl/pyro.git,1.3.1,2020-04-07,72612,44052,406,0,21,35,2,A,57.174720150507625,A,61.854168746511235,A,4.0131578947368425,1081.0885689111803,60.06047605062113,0.0931644010577756
