nameWithOwner,url,tagName,publishedAt,totalLoc,totalSloc,validFiles,invalidFiles,filesNotRead,filesNoMetric,cc,ccRank,miMultiFalse,miMultiFalseRank,miMultiTrue,miMultiTrueRank,difficulty,effort,timeHas,bugs
quodlibet/quodlibet,https://github.com/quodlibet/quodlibet.git,81,2020-05-13,107169,73937,596,8,0,50,2,A,62.32555891456555,A,65.8993900614725,A,2.2,167.58597649126392,9.310332027292441,0.027833875462775097
quodlibet/quodlibet,https://github.com/quodlibet/quodlibet.git,release-3.9.0,2017-05-25,104571,72039,578,9,0,50,2,A,63.00172456496904,A,65.95870604843587,A,2.2857142857142856,193.75590866502813,10.764217148057117,0.027634418465507696
quodlibet/quodlibet,https://github.com/quodlibet/quodlibet.git,release-3.8.1,2017-05-25,95078,66441,517,9,0,41,2,A,62.81258170904876,A,64.20784630378924,A,2.2857142857142856,193.92384229111377,10.773546793950764,0.02792060276175576
quodlibet/quodlibet,https://github.com/quodlibet/quodlibet.git,release-3.8.0,2017-05-25,94928,66334,516,9,0,41,2,A,62.882721247110624,A,64.17071030357901,A,2.2857142857142856,195.25301046526852,10.847389470292697,0.028120059759023163
quodlibet/quodlibet,https://github.com/quodlibet/quodlibet.git,release-3.7.1,2017-05-25,90502,63715,492,9,0,34,2,A,63.06167417283716,A,64.429111897936,A,2.267857142857143,192.79398751947122,10.710777084415067,0.027960301380877878
quodlibet/quodlibet,https://github.com/quodlibet/quodlibet.git,release-3.7.0,2017-05-25,90459,63692,492,9,0,34,2,A,63.06167417283716,A,64.429111897936,A,2.267857142857143,192.79398751947122,10.710777084415067,0.027960301380877878
quodlibet/quodlibet,https://github.com/quodlibet/quodlibet.git,release-3.6.2,2017-05-25,88137,62308,480,9,0,33,2,A,62.504111965132005,A,64.10954224629518,A,2.3875,204.13683135390454,11.340935075216919,0.028645969947260815
quodlibet/quodlibet,https://github.com/quodlibet/quodlibet.git,release-3.6.1,2017-05-25,88136,62307,480,9,0,33,2,A,62.504111965132005,A,64.10954224629518,A,2.3875,204.13683135390454,11.340935075216919,0.028645969947260815
quodlibet/quodlibet,https://github.com/quodlibet/quodlibet.git,release-3.6.0,2017-05-25,88079,62268,480,9,0,33,2,A,62.71200833225552,A,64.10954224629518,A,2.3875,205.82293466762212,11.434607481534563,0.028645969947260815
quodlibet/quodlibet,https://github.com/quodlibet/quodlibet.git,release-3.5.3,2017-05-25,72470,51046,424,35,0,30,2,A,63.06775876367999,A,63.77533581776029,A,2.170909090909091,190.9082750331732,10.606015279620731,0.028465878322521475
quodlibet/quodlibet,https://github.com/quodlibet/quodlibet.git,release-3.5.2,2017-05-25,72469,51045,424,35,0,30,2,A,63.06775876367999,A,63.77533581776029,A,2.170909090909091,190.9082750331732,10.606015279620731,0.028465878322521475
quodlibet/quodlibet,https://github.com/quodlibet/quodlibet.git,release-3.5.1,2017-05-25,72408,51005,424,35,0,30,2,A,63.06775876367999,A,63.77533581776029,A,2.170909090909091,190.9082750331732,10.606015279620731,0.028465878322521475
quodlibet/quodlibet,https://github.com/quodlibet/quodlibet.git,release-3.5.0,2017-05-25,72396,50996,424,35,0,30,2,A,63.06775876367999,A,63.77533581776029,A,2.170909090909091,190.9082750331732,10.606015279620731,0.028465878322521475
quodlibet/quodlibet,https://github.com/quodlibet/quodlibet.git,release-3.4.1,2017-05-25,66543,47042,391,41,0,29,2,A,62.25843058036756,A,63.31768144133801,A,2.2,191.81655006634637,10.656475003685909,0.02792060276175576
quodlibet/quodlibet,https://github.com/quodlibet/quodlibet.git,release-3.4.0,2017-05-25,66566,47068,391,41,0,29,2,A,62.25843058036756,A,63.31768144133801,A,2.2,191.81655006634637,10.656475003685909,0.028319516756290568
quodlibet/quodlibet,https://github.com/quodlibet/quodlibet.git,release-3.3.1,2017-05-25,63275,45179,380,43,9,16,2,A,61.27478007167847,A,62.404693745875775,A,2.190909090909091,161.7492568250068,8.986069823611489,0.026284872346827158
