nameWithOwner,url,tagName,publishedAt,totalLoc,totalSloc,validFiles,invalidFiles,filesNotRead,filesNoMetric,cc,ccRank,miMultiFalse,miMultiFalseRank,miMultiTrue,miMultiTrueRank,difficulty,effort,timeHas,bugs
readbeyond/aeneas,https://github.com/readbeyond/aeneas.git,23,2020-05-13,41639,23874,155,0,0,20,2,A,67.07271118677055,A,67.07271118677055,A,1.5,83.25989365817458,4.625549647676365,0.01850219859070546
readbeyond/aeneas,https://github.com/readbeyond/aeneas.git,v1.0.4,2015-10-27,11244,6937,59,11,0,4,2,A,67.88017263974315,A,69.3754226360774,A,0.5,2.3774437510817346,0.1320802083934297,0.0015849625007211565
readbeyond/aeneas,https://github.com/readbeyond/aeneas.git,v1.1.2,2015-10-27,11892,7369,61,14,0,4,2,A,67.88017263974315,A,68.6676234150052,A,0.5,2.3774437510817346,0.1320802083934297,0.0015849625007211565
readbeyond/aeneas,https://github.com/readbeyond/aeneas.git,v1.2.0,2015-10-27,13630,8261,62,17,0,4,2,A,70.39663973838823,A,72.97738376233579,A,0.5,2.3774437510817346,0.1320802083934297,0.0015849625007211565
readbeyond/aeneas,https://github.com/readbeyond/aeneas.git,v1.3.0,2015-10-27,15524,9530,64,20,0,4,2,A,63.6824338724607,A,67.52954680388572,A,1.1666666666666665,36.468046888521684,2.0260026049178714,0.009
readbeyond/aeneas,https://github.com/readbeyond/aeneas.git,v1.3.1,2015-10-28,15064,9229,44,20,0,5,2,A,47.39500618403025,A,53.903665343652634,A,3.1428571428571432,321.81752837392776,17.87875157632932,0.0337823404771628
readbeyond/aeneas,https://github.com/readbeyond/aeneas.git,v1.3.1.1,2015-11-03,15064,9229,44,20,0,5,2,A,47.39500618403025,A,53.903665343652634,A,3.1428571428571432,321.81752837392776,17.87875157632932,0.0337823404771628
readbeyond/aeneas,https://github.com/readbeyond/aeneas.git,v1.3.2,2015-11-11,15567,9522,44,20,0,5,2,A,47.39500618403025,A,53.84257044503239,A,3.1428571428571432,432.56493352475513,24.03138519581973,0.0511647066242135
readbeyond/aeneas,https://github.com/readbeyond/aeneas.git,v1.3.2.1,2015-11-12,15567,9522,44,21,0,5,2,A,47.39500618403025,A,53.84257044503239,A,3.1428571428571432,432.56493352475513,24.03138519581973,0.0511647066242135
readbeyond/aeneas,https://github.com/readbeyond/aeneas.git,v1.3.2.8,2015-11-13,15567,9522,44,21,0,5,2,A,47.39500618403025,A,53.84257044503239,A,3.1428571428571432,432.56493352475513,24.03138519581973,0.0511647066242135
readbeyond/aeneas,https://github.com/readbeyond/aeneas.git,v1.3.3.0,2015-12-20,15631,9556,44,21,0,5,2,A,47.39500618403025,A,53.212740818934755,A,3.1428571428571432,432.56493352475513,24.03138519581973,0.0511647066242135
readbeyond/aeneas,https://github.com/readbeyond/aeneas.git,v1.4.0.0,2016-01-15,21877,14066,82,0,0,10,1,A,51.550219845340806,A,58.45600750005717,A,2.0,159.58874669790103,8.866041483216723,0.027286043608079496
readbeyond/aeneas,https://github.com/readbeyond/aeneas.git,v1.4.1.0,2016-02-13,22635,14605,86,0,0,15,1,A,51.550219845340806,A,58.372646847627266,A,2.0,154.00976062568247,8.556097812537914,0.029654030417917913
readbeyond/aeneas,https://github.com/readbeyond/aeneas.git,v1.5.0.0,2016-04-01,28775,17518,99,0,0,18,2,A,52.181814043302076,A,58.02074406201068,A,2.0,167.17749339580206,9.287638521989003,0.030579450010576957
readbeyond/aeneas,https://github.com/readbeyond/aeneas.git,v1.5.0.1,2016-04-03,28877,17590,100,0,0,17,2,A,52.20858042470783,A,58.2673390180081,A,2.0,165.33800352290783,9.185444640161545,0.03157344714015556
readbeyond/aeneas,https://github.com/readbeyond/aeneas.git,v1.5.0.2,2016-04-09,28888,17590,100,0,0,17,2,A,52.20858042470783,A,58.2673390180081,A,2.0,165.33800352290783,9.185444640161545,0.03157344714015556
readbeyond/aeneas,https://github.com/readbeyond/aeneas.git,v1.5.0.3,2016-04-23,28888,17590,100,0,0,17,2,A,52.20858042470783,A,58.2673390180081,A,2.0,165.33800352290783,9.185444640161545,0.03157344714015556
