nameWithOwner,url,tagName,publishedAt,totalLoc,totalSloc,validFiles,invalidFiles,filesNotRead,filesNoMetric,cc,ccRank,miMultiFalse,miMultiFalseRank,miMultiTrue,miMultiTrueRank,difficulty,effort,timeHas,bugs
sevagas/macro_pack,https://github.com/sevagas/macro_pack.git,9,2020-05-10,4787,3159,39,0,6,18,2,A,67.11201348475394,A,68.80091736712666,A,1.2,77.43519001557698,4.301955000865387,0.02343611821489358
sevagas/macro_pack,https://github.com/sevagas/macro_pack.git,v1.0,2017-10-07,1175,853,10,0,3,1,3,A,68.10594496809736,A,68.10594496809736,A,2.9909090909090907,539.191590084808,29.955088338044888,0.061740092857736656
sevagas/macro_pack,https://github.com/sevagas/macro_pack.git,v1.1,2017-10-13,1416,1008,13,0,3,1,3,A,70.41553673884027,A,70.41553673884027,A,2.840909090909091,513.3117189835564,28.517317721308686,0.05929071070537711
sevagas/macro_pack,https://github.com/sevagas/macro_pack.git,v1.2,2017-10-23,1780,1243,15,0,3,1,3,A,66.25425960347732,A,66.25425960347732,A,2.857142857142857,498.2535076464657,27.68075042480365,0.05929071070537711
sevagas/macro_pack,https://github.com/sevagas/macro_pack.git,v1.3,2017-12-19,2796,1946,22,0,4,11,3,A,65.55396799282076,A,65.55396799282076,A,2.1571428571428575,433.7300316380806,24.096112868782257,0.058969851277987845
sevagas/macro_pack,https://github.com/sevagas/macro_pack.git,v1.4,2018-02-06,3022,2102,24,0,4,11,3,A,65.67858090133825,A,65.67858090133825,A,1.975,433.7300316380806,24.096112868782257,0.05492495879442448
sevagas/macro_pack,https://github.com/sevagas/macro_pack.git,v1.5,2018-04-30,3660,2460,30,0,4,11,2,A,68.45740696944796,A,69.44490867138225,A,1.5,177.5598124266545,9.86443402370303,0.03576542840250442
sevagas/macro_pack,https://github.com/sevagas/macro_pack.git,v1.6,2018-09-03,4181,2798,34,0,4,11,2,A,72.42421972766468,A,73.37935981230248,A,1.3214285714285714,102.78212305802275,5.71011794766793,0.027720671786825555
sevagas/macro_pack,https://github.com/sevagas/macro_pack.git,v1.7,2019-09-08,4547,3041,37,0,4,17,2,A,73.94359425512484,A,75.85387442440047,A,1.5,100.07820003461549,5.559900001923083,0.02344134357365111
sevagas/macro_pack,https://github.com/sevagas/macro_pack.git,v1.9.1,2020-05-09,5046,3322,41,0,4,18,2,A,67.11201348475394,A,68.80091736712666,A,1.2,77.43519001557698,4.301955000865387,0.02343611821489358
