nameWithOwner,url,stars,releases,primaryLanguage,createdAt,updatedAt
ageitgey/face_recognition,https://github.com/ageitgey/face_recognition,34103,2,Python,2017-03-03,2020-05-13
bazelbuild/rules_android,https://github.com/bazelbuild/rules_android,122,2,Python,2018-01-30,2020-04-19
facebookresearch/ParlAI,https://github.com/facebookresearch/ParlAI,6061,2,Python,2017-04-24,2020-05-13
nucypher/nucypher,https://github.com/nucypher/nucypher,319,2,Python,2017-08-16,2020-05-13
open-mmlab/mmskeleton,https://github.com/open-mmlab/mmskeleton,1757,2,Python,2017-11-21,2020-05-13
pytorch/captum,https://github.com/pytorch/captum,1404,2,Python,2019-08-27,2020-05-13
secureworks/dalton,https://github.com/secureworks/dalton,249,2,Python,2017-08-15,2020-05-07
stepjam/RLBench,https://github.com/stepjam/RLBench,281,2,Python,2019-09-26,2020-05-12
ustream/openduty,https://github.com/ustream/openduty,767,2,Python,2014-05-22,2020-04-21
VertaAI/modeldb,https://github.com/VertaAI/modeldb,931,2,Python,2016-10-19,2020-05-14
DMOJ/online-judge,https://github.com/DMOJ/online-judge,235,3,Python,2014-03-12,2020-05-12
P1sec/pycrate,https://github.com/P1sec/pycrate,188,3,Python,2017-07-03,2020-05-07
pyvideo/data,https://github.com/pyvideo/data,315,4,Python,2016-08-15,2020-05-05
Tuhinshubhra/ExtAnalysis,https://github.com/Tuhinshubhra/ExtAnalysis,236,4,Python,2019-05-06,2020-05-13
tensortrade-org/tensortrade,https://github.com/tensortrade-org/tensortrade,1498,5,Python,2019-07-30,2020-05-13
Pirate-Crew/IPTV,https://github.com/Pirate-Crew/IPTV,233,6,Python,2015-12-08,2020-05-10
pwndbg/pwndbg,https://github.com/pwndbg/pwndbg,2788,6,Python,2015-02-22,2020-05-13
zentralopensource/zentral,https://github.com/zentralopensource/zentral,448,6,Python,2015-10-20,2020-05-11
apache/incubator-tvm,https://github.com/apache/incubator-tvm,5287,7,Python,2016-10-12,2020-05-14
google/aiyprojects-raspbian,https://github.com/google/aiyprojects-raspbian,1344,7,Python,2017-04-20,2020-05-13
janeczku/calibre-web,https://github.com/janeczku/calibre-web,3205,7,Python,2015-08-02,2020-05-13
Gerapy/Gerapy,https://github.com/Gerapy/Gerapy,1997,8,Python,2017-06-30,2020-05-13
kyper-data/python-highcharts,https://github.com/kyper-data/python-highcharts,280,8,Python,2015-08-29,2020-05-12
NVIDIA/OpenSeq2Seq,https://github.com/NVIDIA/OpenSeq2Seq,1219,8,Python,2017-09-08,2020-05-13
quantumlib/Cirq,https://github.com/quantumlib/Cirq,2313,8,Python,2017-12-14,2020-05-13
landlab/landlab,https://github.com/landlab/landlab,179,9,Python,2014-05-09,2020-05-13
vmware/vsphere-automation-sdk-python,https://github.com/vmware/vsphere-automation-sdk-python,352,9,Python,2016-05-14,2020-05-04
WoLpH/numpy-stl,https://github.com/WoLpH/numpy-stl,259,9,Python,2014-10-16,2020-05-13
autonomio/talos,https://github.com/autonomio/talos,1231,10,Python,2018-05-04,2020-05-13
CPJKU/madmom,https://github.com/CPJKU/madmom,577,10,Python,2015-09-08,2020-05-09
elceef/dnstwist,https://github.com/elceef/dnstwist,2348,10,Python,2015-06-11,2020-05-13
GeospatialPython/pyshp,https://github.com/GeospatialPython/pyshp,712,10,Python,2014-03-04,2020-04-17
GiacomoLaw/Keylogger,https://github.com/GiacomoLaw/Keylogger,787,10,Python,2016-11-25,2020-05-13
google/pywebsocket,https://github.com/google/pywebsocket,269,10,Python,2015-08-20,2020-05-11
Jahaja/psdash,https://github.com/Jahaja/psdash,2287,10,Python,2014-02-12,2020-05-13
notadamking/RLTrader,https://github.com/notadamking/RLTrader,1054,10,Python,2019-04-27,2020-05-12
pyexcel-webwares/django-excel,https://github.com/pyexcel-webwares/django-excel,273,10,Python,2015-01-26,2020-05-13
tensorflow/model-optimization,https://github.com/tensorflow/model-optimization,774,10,Python,2018-10-31,2020-05-13
varietywalls/variety,https://github.com/varietywalls/variety,392,10,Python,2017-10-01,2020-05-13
