nameWithOwner,url,releases,createdAt,totalLoc,totalSloc,validFiles,invalidFiles,filesNotRead,filesNoMetric,cc,ccRank,miMultiFalse,miMultiFalseRank,miMultiTrue,miMultiTrueRank,difficulty,effort,timeHas,bugs,totalFiles,stars
10se1ucgo/DisableWinTracking,https://github.com/10se1ucgo/DisableWinTracking.git,27,2015-08-02,1070,712,3,0,0,0,0,X,45.772581492297576,A,51.6703231684392,A,4.097560975609756,1518.4366524768152,84.35759180426751,0.12352361657053458,3,4947
521xueweihan/HelloGitHub,https://github.com/521xueweihan/HelloGitHub.git,9,2016-05-04,313,197,2,0,0,0,0,X,62.03525869178377,A,67.8546128522097,A,3.7478991596638656,923.0114021112452,51.27841122840251,0.0781713780286579,2,31545
a1studmuffin/SpaceshipGenerator,https://github.com/a1studmuffin/SpaceshipGenerator.git,3,2016-06-14,905,700,3,0,0,0,0,X,61.92176833167995,A,61.92176833167995,A,1.0,15.509775004326936,0.861654166907052,0.005169925001442312,3,6389
ab77/netflix-proxy,https://github.com/ab77/netflix-proxy.git,2,2015-03-17,1118,856,5,1,0,0,0,X,100.0,A,100.0,A,0,0,0.0,0.0,6,2743
aboul3la/Sublist3r,https://github.com/aboul3la/Sublist3r.git,2,2015-12-15,671,487,2,0,1,1,0,X,57.08164336972633,A,57.08164336972633,A,5.128048780487805,8057.746423689462,447.652579093859,0.2760582027290029,4,4885
achael/eht-imaging,https://github.com/achael/eht-imaging.git,6,2015-09-22,16490,9983,64,0,0,11,0,X,65.85867364936865,A,65.4045381717098,A,3.6000733137829912,1025.1448439274086,56.95249132930048,0.08934159922993602,75,5145
ActivityWatch/activitywatch,https://github.com/ActivityWatch/activitywatch.git,30,2016-04-27,339,201,4,0,0,0,0,X,68.24915562499146,A,68.24915562499146,A,1.8928571428571428,59.15215726477474,3.2862309591541523,0.0100803976744353,4,3313
aidlearning/AidLearning-FrameWork,https://github.com/aidlearning/AidLearning-FrameWork.git,18,2019-04-19,2383,1598,27,1,6,0,0,X,69.20339057783822,A,69.20339057783822,A,2.0,223.01619445578822,12.389788580877124,0.029333333333333333,34,3629
aio-libs/aiohttp,https://github.com/aio-libs/aiohttp.git,119,2013-10-01,37242,27401,122,0,0,11,0,X,46.18761464450914,A,48.2821974531549,A,2.745977011494253,670.2769415469585,37.237607863719916,0.05797103198503581,133,9869
airbnb/knowledge-repo,https://github.com/airbnb/knowledge-repo.git,29,2016-08-17,10510,7145,103,0,3,0,0,X,67.77529548450627,A,72.37870934172363,A,1.0,24.8156400069231,1.3786466670512834,0.008,106,4339
ajenti/ajenti,https://github.com/ajenti/ajenti.git,16,2010-03-03,8797,6724,145,0,11,0,0,X,68.13400766457683,A,70.55562609205698,A,0.625,9.509775004326938,0.5283208335737188,0.0038698801581456034,156,6034
aleju/imgaug,https://github.com/aleju/imgaug.git,3,2015-07-10,50976,21759,115,0,1,32,0,X,54.24314464747354,A,55.959141169410216,A,2.9347826086956523,578.450206382366,32.13612257679811,0.061813537528125094,148,9368
alexjc/neural-enhance,https://github.com/alexjc/neural-enhance.git,3,2016-10-01,587,429,1,0,0,0,0,X,19.31686086903665,A,21.303773343854,A,12.857142857142858,59044.86084836368,3280.2700471313156,1.5307926886612804,1,10326
alicevision/meshroom,https://github.com/alicevision/meshroom.git,3,2015-04-22,13153,9951,78,0,4,1,0,X,74.82141639621506,A,75.42417966846843,A,0.5,2.3774437510817346,0.1320802083934297,0.0015849625007211565,83,4721
allenai/allennlp,https://github.com/allenai/allennlp.git,28,2017-05-15,55811,35899,388,0,31,0,0,X,60.346308199690384,A,69.01359186846358,A,1.9583333333333335,204.94543713822975,11.385857618790542,0.03051307796896463,419,8678
altair-viz/altair,https://github.com/altair-viz/altair.git,8,2015-09-19,69775,19638,236,0,10,2,0,X,96.60595331738998,A,100.0,A,0.5,2.3774437510817346,0.1320802083934297,0.0015849625007211565,248,5655
amperser/proselint,https://github.com/amperser/proselint.git,28,2015-01-14,11014,7392,227,0,0,0,0,X,100.0,A,100.0,A,0,0,0.0,0.0,227,3380
amueller/word_cloud,https://github.com/amueller/word_cloud.git,2,2012-11-04,5508,3144,24,0,0,0,0,X,80.18334357774026,A,84.68145737809085,A,1.0,15.509775004326936,0.861654166907052,0.005169925001442312,24,7181
ankitects/anki,https://github.com/ankitects/anki.git,9,2012-12-21,27719,20473,114,0,3,7,0,X,53.3064974195464,A,55.54058230118409,A,3.046875,660.3192123574158,36.6844006865231,0.07936621285810222,124,6615
apachecn/AiLearning,https://github.com/apachecn/AiLearning.git,2,2017-02-25,23652,10568,128,3,0,0,0,X,69.61357014156891,A,60.96322536997809,A,3.888888888888889,1119.0538244259822,62.169656912554565,0.09403685531065772,131,25643
apprenticeharper/DeDRM_tools,https://github.com/apprenticeharper/DeDRM_tools.git,77,2015-03-09,8426,5967,30,24,0,1,0,X,53.39150165802696,A,56.74951750364849,A,5.058566433566433,2423.9294019429813,134.66274455238784,0.1358260744403333,55,7762
arc298/instagram-scraper,https://github.com/arc298/instagram-scraper.git,44,2013-04-09,116,93,4,0,1,1,0,X,87.64483837224591,A,87.64483837224591,A,0.25,1.1887218755408673,0.06604010419671485,0.0007924812503605782,6,3780
asciimoo/searx,https://github.com/asciimoo/searx.git,11,2013-10-15,15105,9522,132,0,2,0,0,X,71.32879040185829,A,76.4342854634217,A,2.0,143.68074213050622,7.98226345169479,0.023720671786825555,134,6925
asciinema/asciinema,https://github.com/asciinema/asciinema.git,12,2011-11-21,2000,1463,28,0,3,0,0,X,60.991721372033425,A,60.991721372033425,A,1.5,59.37873483889085,3.298818602160603,0.014704762504567323,31,8239
automagica/automagica,https://github.com/automagica/automagica.git,2,2018-02-08,1581,1045,9,0,0,1,0,X,71.47119618719404,A,81.82939347736989,A,1.5,47.548875021634686,2.6416041678685938,0.010566416671474375,10,2887
automl/auto-sklearn,https://github.com/automl/auto-sklearn.git,12,2015-07-02,32958,24490,265,1,18,1,0,X,67.98269949196528,A,68.95615024824835,A,1.0,15.509775004326936,0.861654166907052,0.005169925001442312,285,4601
awslabs/aws-sam-cli,https://github.com/awslabs/aws-sam-cli.git,66,2017-05-23,51016,34525,296,0,114,0,0,X,81.03738681592446,A,84.90800035168058,A,0.5,2.3774437510817346,0.1320802083934297,0.0015849625007211565,410,5047
awslabs/serverless-application-model,https://github.com/awslabs/serverless-application-model.git,31,2016-10-10,21857,14088,132,3,38,0,0,X,91.55640153024964,A,95.57142003028012,A,0.5,1.6887218755408673,0.09381788197449263,0.0011258145836939115,173,7136
bear/python-twitter,https://github.com/bear/python-twitter.git,12,2012-09-12,5928,4225,36,0,1,1,0,X,77.07100502300673,A,77.07100502300673,A,0.5,7.9828921423310435,0.4434940079072802,0.0026416041678685937,38,2995
beetbox/beets,https://github.com/beetbox/beets.git,31,2010-08-09,48414,31792,169,0,0,5,0,X,61.43375618602753,A,63.83043278139795,A,2.1666666666666665,182.79363081286928,10.155201711826072,0.027484712505528867,174,9436
belluzj/fantasque-sans,https://github.com/belluzj/fantasque-sans.git,17,2013-11-18,362,211,3,0,0,0,0,X,73.10113131709564,A,77.98921411135925,A,2.0,171.67343933251428,9.537413296250794,0.02861223988875238,3,4956
benoitc/gunicorn,https://github.com/benoitc/gunicorn.git,25,2009-11-30,11102,7614,150,0,8,1,0,X,100.0,A,100.0,A,0.0,0.0,0.0,0.0,159,6937
bigchaindb/bigchaindb,https://github.com/bigchaindb/bigchaindb.git,50,2016-02-08,19093,11529,116,0,17,0,0,X,71.1327825306059,A,75.11260464674896,A,1.0,57.29506831497366,3.1830593508318703,0.01550233110947436,133,3470
binux/pyspider,https://github.com/binux/pyspider.git,13,2014-02-21,16127,12204,102,0,5,1,0,X,64.90746241529524,A,65.56255635653679,A,2.196428571428571,241.486241820984,13.415902323388,0.03360955925340616,108,14402
bitcoinbook/bitcoinbook,https://github.com/bitcoinbook/bitcoinbook.git,3,2013-08-11,448,261,12,0,0,0,0,X,79.88949336358252,A,79.88949336358252,A,1.7159090909090908,113.95736655224945,6.330964808458303,0.018342916075119065,12,13413
blaze/blaze,https://github.com/blaze/blaze.git,14,2012-10-26,27427,17451,126,0,3,4,0,X,50.74037327046008,A,56.410818538305044,A,2.5166666666666666,413.23906347322304,22.957725748512388,0.05064280713292747,133,2884
Blizzard/s2client-proto,https://github.com/Blizzard/s2client-proto.git,2,2017-07-22,351,276,3,0,1,0,0,X,59.85677776409543,A,59.85677776409543,A,2.0,114.22064766172811,6.345591536762672,0.019036774610288017,4,3264
boto/boto3,https://github.com/boto/boto3.git,14,2014-10-03,17714,11154,94,0,4,0,0,X,100.0,A,100.0,A,0.0,0.0,0.0,0.0,98,5542
buildbot/buildbot,https://github.com/buildbot/buildbot.git,30,2010-07-06,181085,126946,805,1,31,6,0,X,71.90310300908152,A,72.2506904720574,A,1.5,67.92696431662098,3.7737202398122767,0.01403677461028802,843,4378
burnash/gspread,https://github.com/burnash/gspread.git,27,2011-12-02,2817,1492,9,0,1,1,0,X,68.31153527785627,A,73.15733362637157,A,1.0,11.60964047443681,0.6449800263576005,0.0038698801581456034,11,4766
